CorrectionAssignMapTitle#0,"""操作設定の修復"""
Config_097_Hint_PS4#0,"""他のプレイヤーがダークブラストを使用した時の<br>見た目を設定します。<br><br>【他者の設定に従う】<br>他のプレイヤーの設定に従って表示します。<br><br>【オーラ表示】<br>ダークブラストの見た目をオーラ表示にします。<br>透明度は他プレイヤーの設定が反映されます。<br><br>【キャラクター表示】<br>ダークブラストを表示せず<br>常にキャラクターを表示します。"""
Config_097_Hint_Switch#0,"""他のプレイヤーがダークブラストを使用した時の<br>見た目を設定します。<br><br>【他者の設定に従う】<br>他のプレイヤーの設定に従って表示します。<br><br>【オーラ表示】<br>ダークブラストの見た目をオーラ表示にします。<br>透明度は他プレイヤーの設定が反映されます。<br><br>【キャラクター表示】<br>ダークブラストを表示せず<br>常にキャラクターを表示します。"""
Config_097_Hint_PCCloud#0,"""他のプレイヤーがダークブラストを使用した時の<br>見た目を設定します。<br><br>【他者の設定に従う】<br>他のプレイヤーの設定に従って表示します。<br><br>【オーラ表示】<br>ダークブラストの見た目をオーラ表示にします。<br>透明度は他プレイヤーの設定が反映されます。<br><br>【キャラクター表示】<br>ダークブラストを表示せず<br>常にキャラクターを表示します。"""
Config_098_Hint#0,"""BGMの音量を設定します。"""
Config_099_Hint#0,"""SEの音量を設定します。"""
Config_100_Hint#0,"""ボイスの音量を設定します。"""
Config_101_Hint#0,"""アークス・ロビーに設置されている<br>巨大モニターなどで表示される動画の<br>音量を設定します。"""
Config_102_Name#0,"""サラウンド設定"""
Config_102_Choices_0#0,"""ON"""
Config_102_Choices_1#0,"""OFF"""
Config_102_Hint#0,"""サラウンド効果のON/OFFを切り替えます。"""
Config_103_Name#0,"""グローバルフォーカスサウンド設定"""
Config_103_Hint#0,"""ゲームがアクティブになっていない状態で、<br>サウンドを再生するかどうか設定します。"""
Config_104_Name#0,"""エフェクト光源"""
Config_104_Hint#0,"""エフェクトに関係するライティングの<br>ON/OFFを切り替えます。<br><br>OFFにすると処理がやや軽くなります。"""
Config_105_Name#0,"""地形光源"""
Config_105_Hint#0,"""地形に関係するライティングの<br>ON/OFFを切り替えます。<br><br>OFFにすると処理がやや軽くなります。"""
Config_105_Hint_PS4#0,"""地形に関係するライティングの<br>ON/OFFを切り替えます。<br><br>OFFにすると処理がやや軽くなります。"""
Config_105_Hint_Switch#0,"""地形に関係するライティングの<br>ON/OFFを切り替えます。"""
Config_105_Hint_PCCloud#0,"""地形に関係するライティングの<br>ON/OFFを切り替えます。"""
Config_106_Name#0,"""ブルーム処理"""
Config_106_Hint#0,"""明るい部分にフィルターをかけ、<br>画面全体をよりきれいに見せる効果の<br>ON/OFFを切り替えます。<br><br>OFFにすると処理がやや軽くなります。"""
Config_106_Hint_PS4#0,"""明るい部分にフィルターをかけ、<br>画面全体をよりきれいに見せる効果の<br>ON/OFFを切り替えます。<br><br>OFFにすると処理がやや軽くなります。"""
Config_107_Name#0,"""被写界深度"""
Config_107_Hint#0,"""一部のイベントシーンなどで、<br>背景をぼかす効果のON/OFFを切り替えます。<br><br>OFFにすると処理がやや軽くなります。"""
Config_107_Hint_PS4#0,"""一部のイベントシーンなどで、<br>背景をぼかす効果のON/OFFを切り替えます。<br><br>OFFにすると処理がやや軽くなります。"""
Config_108_Name#0,"""ブラー"""
Config_108_Hint#0,"""カメラやキャラクターなどの動きに、<br>残像のような効果を付ける機能の<br>ON/OFFを切り替えます。<br><br>OFFにすると処理がやや軽くなります。"""
Config_109_Name#0,"""ライトシャフト"""
Config_109_Hint#0,"""光が太陽を中心に拡散する表現の<br>ON/OFFを切り替えます。<br><br>OFFにすると処理が多少軽くなります。"""
Config_109_Hint_PS4#0,"""光が太陽を中心に拡散する表現の<br>ON/OFFを切り替えます。<br><br>OFFにすると処理が多少軽くなります。"""
Config_110_Name#0,"""アンチエイリアシング"""
Config_110_Hint#0,"""曲線や斜めの線を滑らかに描写する機能の<br>ON/OFFを切り替えます。<br>設定によって処理負荷が異なり、<br>OFFにすると処理がやや軽くなります。<br><br><yellow>※TAAを含む設定にすると、<br>\u3000『PSO2』の一部アイテムなどの<br>\u3000見た目が変わる場合があります。<c>"""
Config_111_Name#0,"""ソフトパーティクル"""
Config_111_Hint#0,"""エフェクトの粒子（パーティクル）が<br>地面に近づいた際に薄くなる効果です。<br>一部エフェクトにのみ適用されます。<br><br>OFFにすると処理が多少軽くなります。"""
Config_111_Hint_PS4#0,"""エフェクトの粒子（パーティクル）が<br>地面に近づいた際に薄くなる効果です。<br>一部エフェクトにのみ適用されます。<br><br>OFFにすると処理が多少軽くなります。"""
Config_112_Name#0,"""一部のエフェクトの発光を軽減する"""
Config_112_Choices_0#0,"""通常"""
Config_112_Choices_1#0,"""軽減する"""
Config_112_Hint#0,"""一部のエフェクトの光り方の強弱を切り替えます。<br>「軽減する」を選択すると、光り方が弱くなります。"""
Config_112_Hint_Switch#0,"""一部のエフェクトの光り方の強弱を切り替えます。<br>「軽減する」を選択すると、光り方が弱くなります。"""
Config_112_Hint_PCCloud#0,"""一部のエフェクトの光り方の強弱を切り替えます。<br>「軽減する」を選択すると、光り方が弱くなります。"""
Config_113_Name#0,"""他者の一部エフェクトを透過する範囲"""
Config_113_Choices_0#0,"""近くのエフェクトのみ"""
Config_113_Choices_1#0,"""距離に関わらず透過"""
Config_113_Hint#0,"""他プレイヤーからの一部のエフェクトを<br>透過する範囲を設定します。<br><br>「距離に関わらず透過」を選択すると<br>すべての範囲で一部エフェクトを透過します。"""
Config_114_Name#0,"""アンビエントオクルージョン"""
Config_114_Hint#0,"""物体の外縁部にできる影を、<br>より精密に描写する機能の<br>ON/OFFを切り替えます。<br><br>OFFにすると処理がやや軽くなります。"""
Config_114_Hint_PS4#0,"""物体の外縁部にできる影を、<br>より精密に描写する機能の<br>ON/OFFを切り替えます。<br><br>OFFにすると処理がやや軽くなります。"""
Config_115_Name#0,"""周辺減光"""
Config_115_Hint#0,"""画面の外縁部を暗めにする機能の<br>ON/OFFを切り替えます。<br><br>OFFにすると処理がやや軽くなります。"""
Config_115_Hint_PS4#0,"""画面の外縁部を暗めにする機能の<br>ON/OFFを切り替えます。<br><br>OFFにすると処理がやや軽くなります。"""
Config_116_Name#0,"""色調トーンカーブ"""
Config_116_Hint#0,"""画面全体の色調やコントラスト、明るさを<br>フィールドごとに調整する機能の<br>ON/OFFを切り替えます。<br><br>OFFにすると処理がやや軽くなります。"""
Config_116_Hint_PS4#0,"""画面全体の色調やコントラスト、明るさを<br>フィールドごとに調整する機能の<br>ON/OFFを切り替えます。<br><br>OFFにすると処理がやや軽くなります。"""
Config_116_Hint_Switch#0,"""画面全体の色調やコントラスト、明るさを<br>フィールドごとに調整する機能の<br>ON/OFFを切り替えます。<br><br>OFFにすると処理がやや軽くなります。"""
Config_116_Hint_PCCloud#0,"""画面全体の色調やコントラスト、明るさを<br>フィールドごとに調整する機能の<br>ON/OFFを切り替えます。<br><br>OFFにすると処理がやや軽くなります。"""
Config_117_Name#0,"""エッジライト"""
Config_117_Hint#0,"""オブジェクトの周囲にかかる光量を調整します。<br><br>OFFにすると処理が多少軽くなります。<br><br>ゲームランチャーの環境設定からシェーダー品質を<br>「高品質」に設定することで使用できるようになります。"""
Config_117_Hint_PS4#0,"""オブジェクトの周囲にかかる光量を調整します。<br><br>OFFにすると処理が多少軽くなります。"""
Config_117_Hint_Switch#0,"""オブジェクトの周囲にかかる光量を調整します。"""
Config_117_Hint_PCCloud#0,"""オブジェクトの周囲にかかる光量を調整します。"""
Config_118_Name#0,"""解像度の自動縮小機能"""
Config_118_Hint_PS4#0,"""負荷が高い時に解像度を下げて、<br>フレームレートを維持する機能の<br>ON/OFFを切り替えます。<br><br>OFFにすると戦闘中などの時に、<br>フレームレートが低くなる場合があります。"""
Config_119_Hint#0,"""武器などを詳細に描写する<br>キャラクターの最大数を設定します。<br><br>数値を下げると処理がやや軽くなります。"""
Config_120_Hint#0,"""フォトンブラストの表示数を設定します。<br><br>数値を下げると処理が多少軽くなります。"""
Config_121_Hint#0,"""水面への映り込みのクオリティを設定します。<br><br>数値を下げると処理が多少軽くなります。"""
Config_122_Hint#0,"""物体に落ちる影を、<br>どの程度精密に描写するかを設定します。<br><br>数値を下げると処理がやや軽くなります。"""
Config_124_Hint_PS4#0,"""画面の明るさを設定します。<br>数値を下げると画面全体の明るさを<br>おさえることができます。"""
Config_123_Hint#0,"""カメラが向いている方向の光量を調節して<br>画面の明るさを設定します。<br><br>数値を0にすると処理が多少軽くなります。"""
Config_125_Hint#0,"""マウス操作時のカメラ回転速度を補正します。<br>数値を下げることでマウス操作時の<br>カメラ回転速度がゆっくりになります。"""
Config_127_Name#0,"""他者のアクセサリー非表示機能"""
Config_127_Choices_0#0,"""使用しない"""
Config_127_Choices_1#0,"""ブラックリスト対象者"""
Config_127_Choices_2#0,"""すべてのキャラクター"""
Config_127_Hint#0,"""他者のアクセサリーを表示するかを設定します。<br>「ブラックリスト対象者」「すべてのキャラクター」<br>を選択すると、対象となるプレイヤーキャラクターの<br>アクセサリーが非表示になります。"""
Config_128_Name#0,"""ボイスチャットの使用"""
Config_128_Choices_0#0,"""使用する"""
Config_128_Choices_1#0,"""使用しない"""
Config_128_Hint#0,"""ボイスチャットを使用するかを設定します。<br><br><yellow>※“使用しない”を選ぶと、<br>\u3000自分からも他プレイヤーからも<br>\u3000ボイスが届かなくなります。<c>"""
Config_129_Name#0,"""ウィッシュリスト、プレゼントリスト項目"""
Config_129_Choices_0#0,"""表示しない"""
Config_129_Choices_1#0,"""表示する"""
Config_129_Hint#0,"""アイテムメニューに<br>「ウィッシュリストに追加」<br>「プレゼントリストに追加」の項目を<br>表示するかを設定します。"""
Config_130_Name#0,"""素材倉庫への自動送り"""
Config_130_Choices_0#0,"""使用する"""
Config_130_Choices_1#0,"""使用しない"""
Config_130_Hint#0,"""『オーダーアイテム／素材』カテゴリーの<br>アイテムを取得した際、素材倉庫が有効な場合に<br>自動で素材倉庫へ送るかを設定します。<br><br>【対象となる取得方法】<br>・ドロップアイテム<br>・ギャザリング<br>・Eトライアル報酬<br>・クエストのリザルト報酬"""
Config_Reb_001_Name#0,"""レーダーマップの回転"""
Config_Reb_001_Hint#0,"""レーダーマップを、カメラの向きに合わせて<br>回転させるかを設定します。"""
Config_Reb_001_Select_0#0,"""回転しない"""
Config_Reb_001_Select_1#0,"""回転する"""
Config_Reb_002_Name#0,"""攻撃属性によるHPバーのカラー"""
Config_Reb_002_Hint#0,"""ダメージを受けた際に表示されるHPバーの色を<br>攻撃属性（打撃、射撃、法撃）に依存した色で<br>表示するかしないか設定します。"""
Config_Reb_002_Select_0#0,"""攻撃属性に依存しない"""
Config_Reb_002_Select_1#0,"""攻撃属性に依存する"""
Config_Reb_003_Name#0,"""サブパレットのアイコン名称表示"""
Config_Reb_003_Hint#0,"""サブパレットの選択時に、<br>アイコンの名称を表示するかを設定します。"""
Config_Reb_003_Select_0#0,"""表示しない"""
Config_Reb_003_Select_1#0,"""切り替え時のみ表示する"""
Config_Reb_003_Select_2#0,"""常に表示する"""
Config_Reb_004_Name#0,"""レアアイテムのドロップ演出表示"""
Config_Reb_004_Hint#0,"""レアアイテムのドロップ演出を<br>表示するかを設定します。"""
Config_Reb_004_Select_0#0,"""表示しない"""
Config_Reb_004_Select_1#0,"""SEのみ再生する"""
Config_Reb_004_Select_2#0,"""表示する"""
Config_Reb_005_Name#0,"""ボリュームフォグ"""
Config_Reb_005_Hint#0,"""光が霧やちりに反射する表現の<br>ON/OFFを切り替えます。<br><br>OFFにすると処理がやや軽くなります。"""
Config_Reb_006_Name#0,"""キャラクターメニューの表示形式"""
Config_Reb_006_Hint#0,"""周囲のキャラクターを選択した時などに表示される<br>キャラクターメニューの形式を設定します。"""
Config_Reb_006_Select_0#0,"""カテゴリー"""
Config_Reb_006_Select_1#0,"""一覧"""
Config_Reb_007_Name#0,"""復帰プレイヤーアイコン表示"""
Config_Reb_007_Hint#0,"""復帰プレイヤーアイコンを<br>表示するかしないかを設定します。<br>※アイコンを表示しなくても<br>\u3000各ボーナスは受けられます。"""
Config_Reb_007_Select_0#0,"""表示しない"""
Config_Reb_007_Select_1#0,"""表示する"""
Config_Reb_008_Name#0,"""ゲーム内モニターの動画再生"""
Config_Reb_008_Hint#0,"""シティなどに設置されたモニターで<br>動画を再生するかを設定します。"""
Config_Reb_008_Select_0#0,"""再生しない"""
Config_Reb_008_Select_1#0,"""再生する"""
Config_Reb_009_Name#0,"""パーティー設定/マッチングワードの保存"""
Config_Reb_009_Hint#0,"""パーティー設定/マッチングワードを<br>一時的に保存し、ブロック移動やログアウトを<br>行っても設定を維持するかを設定します。<br><br><yellow>※保存されたパーティー設定/マッチングワードは<br>\u3000ゲームを終了するまで有効です。<c><br><br><yellow>※“保存しない”を選択した場合でも、<br>\u3000パスワードの設定はログアウトするまで有効です。<c>"""
Config_Reb_009_Select_0#0,"""保存しない"""
Config_Reb_009_Select_1#0,"""保存する"""
Config_Reb_010_Name#0,"""イベント注目機能"""
Config_Reb_010_Hint#0,"""イベント発生時にアクセスボタンをホールドして<br>イベント注目をする機能を使用するか設定します。"""
Config_Reb_010_Select_0#0,"""使用しない"""
Config_Reb_010_Select_1#0,"""使用する"""
Config_Reb_011_Name#0,"""他パーティーのキャラクター名表示色"""
Config_Reb_011_Hint#0,"""他パーティーのキャラクター名を、<br>何色で表示するかを設定します。"""
Config_Reb_011_Select_0#0,"""白"""
Config_Reb_011_Select_1#0,"""青"""
Config_Reb_012_Name#0,"""クエスト受注時のパーティー名"""
Config_Reb_012_Hint#0,"""パーティー名を入力せずにクエストを受注した時に<br>自動的につけられるパーティー名を選択します。 <br><br>【クエスト名】<br>受注したクエスト名を表示します。<br><br>【キャラクター名】<br>受注したキャラクター名を表示します。"""
Config_Reb_012_Select_0#0,"""クエスト名"""
Config_Reb_012_Select_1#0,"""キャラクター名"""
Config_Reb_013_Name#0,"""ビギナーブロック優先ログイン設定"""
Config_Reb_013_Hint#0,"""レベル20以下のキャラクターでログインする時、<br>優先的にビギナーブロックへ入るか選択します。"""
Config_Reb_013_Select_0#0,"""優先しない"""
Config_Reb_013_Select_1#0,"""優先する"""
Config_Reb_014_Name#0,"""倉庫の初期カーソル位置設定"""
Config_Reb_014_Hint#0,"""倉庫端末やマイショップ出品時<br>NPCショップでのアイテム売買において<br>倉庫UIが表示された時の<br>初期カーソル位置を設定します。"""
Config_Reb_014_Select_0#0,"""すべての倉庫"""
Config_Reb_014_Select_1#0,"""基本倉庫"""
Config_Reb_014_Select_2#0,"""キャラ倉庫"""
Config_Reb_014_Select_3#0,"""プレミアム倉庫"""
Config_Reb_014_Select_4#0,"""ＯＴＰ倉庫"""
Config_Reb_014_Select_5#0,"""PSO2es倉庫"""
Config_Reb_015_Name#0,"""クエスト受注時の初期カーソル位置"""
Config_Reb_015_Hint#0,"""複数ブロックマッチング可能なクエストの受注時<br>カーソル位置をどちらのボタンにするか設定します。<br><br>※一部クエストを除きます。"""
Config_Reb_015_Select_0#0,"""複数のブロックを検索"""
Config_Reb_015_Select_1#0,"""現在のブロックで受注"""
Config_Reb_016_Name#0,"""パーティーの招待通知"""
Config_Reb_016_Hint#0,"""パーティーに招待された時に、<br>新着通知のウィンドウを表示するかを設定します。"""
Config_Reb_016_Select_0#0,"""表示しない"""
Config_Reb_016_Select_1#0,"""表示する"""
Config_Reb_017_Name#0,"""フレンド登録の通知"""
Config_Reb_017_Hint#0,"""フレンド登録を申し込まれた時に、<br>新着通知のウィンドウを表示するかを設定します。"""
Config_Reb_017_Select_0#0,"""表示しない"""
Config_Reb_017_Select_1#0,"""表示する"""
Config_Reb_018_Name#0,"""チームスカウトの通知"""
Config_Reb_018_Hint#0,"""チームにスカウトされた時に、<br>新着通知のウィンドウを表示するかを設定します。"""
Config_Reb_018_Select_0#0,"""表示しない"""
Config_Reb_018_Select_1#0,"""表示する"""
Config_Reb_019_Name#0,"""トレード申し込み通知"""
Config_Reb_019_Hint#0,"""トレードを提案された時、<br>返答選択ウィンドウを表示するかを設定します。"""
Config_Reb_019_Select_0#0,"""表示しない"""
Config_Reb_019_Select_1#0,"""表示する"""
Config_Reb_020_Name#0,"""アイテム取得時のログ表示"""
Config_Reb_020_Hint#0,"""アイテムを取得した時に、<br>ログに表示するかを設定します。"""
Config_Reb_020_Select_0#0,"""表示しない"""
Config_Reb_020_Select_1#0,"""表示する"""
Config_Reb_021_Name#0,"""プレミアムセットの有効期限切れ通知"""
Config_Reb_021_Hint#0,"""プレミアムセットの<br>有効期限が切れる７日より前に、<br>ログイン時にその旨を通知するかを設定します。"""
Config_Reb_021_Select_0#0,"""表示しない"""
Config_Reb_021_Select_1#0,"""表示する"""
Config_Reb_022_Name#0,"""おすすめオーダーの通知"""
Config_Reb_022_Hint#0,"""おすすめクエストを受注した時<br>おすすめオーダーの受注メニューを<br>表示するかを設定します。"""
Config_Reb_022_Select_0#0,"""表示しない"""
Config_Reb_022_Select_1#0,"""表示する"""
Config_Reb_023_Name#0,"""パーティー内のレアアイテム取得通知"""
Config_Reb_023_Hint#0,"""パーティーメンバーが<br>レアアイテムを取得した時に、<br>通知をするかを設定します。"""
Config_Reb_023_Select_0#0,"""表示しない"""
Config_Reb_023_Select_1#0,"""表示する"""
Config_Reb_024_Name#0,"""探索セクションのキャラクター表示数"""
Config_Reb_024_Hint#0,"""探索セクションで表示する<br>キャラクターの最大数を設定します。<br><br>数値を下げると処理がやや軽くなります。"""
Config_Reb_024_Select_0#0,"""表示しない"""
Config_Reb_024_Select_1#0,"""表示する"""
Config_Reb_025_Name#0,"""ログインコールの送信"""
Config_Reb_025_Hint#0,"""自分がログインした時に、<br>フレンドにログインコールを送るかを設定します。<br><br><yellow>※ログインコールを送るには、<br>\u3000フレンド側で受信を許可する必要があります。<br>\u3000“フレンドリスト”から受信する相手を選び、<br>\u3000“コミュニケーション”の<br>\u3000“ログインコールを受け取る”を<br>\u3000選択してください。<c>"""
Config_Reb_025_Select_0#0,"""送らない"""
Config_Reb_025_Select_1#0,"""送る"""
Config_Reb_026_Name#0,"""他プレイヤーの戦闘不能通知"""
Config_Reb_026_Hint#0,"""パーティーメンバーを含め、<br>他プレイヤーの戦闘不能通知を<br>表示するかを設定します。"""
Config_Reb_026_Select_0#0,"""表示しない"""
Config_Reb_026_Select_1#0,"""表示する"""
Config_Reb_027_Name#0,"""自分の戦闘不能通知"""
Config_Reb_027_Hint#0,"""自分が戦闘不能になった時に、<br>周囲のプレイヤーに戦闘不能アイコンを<br>表示するかを設定します。<br><br><yellow>※相手側の表示設定がOFFの場合、<br>\u3000相手に戦闘不能アイコンは表示されません。<c>"""
Config_Reb_027_Select_0#0,"""表示しない"""
Config_Reb_027_Select_1#0,"""表示する"""
Config_Reb_028_Name#0,"""エステでの体型変更の同期設定１"""
Config_Reb_028_Hint#0,"""エステで、コスチュームや<br>キャストのパーツなどを変更する時に、<br><yellow>ヒト型とキャスト型の体型<c>を<br>自動的に切り替えるか、<br>個別に編集するかを設定します。"""
Config_Reb_028_Select_0#0,"""自動的に切り替える"""
Config_Reb_028_Select_1#0,"""個別に編集する"""
Config_Reb_029_Name#0,"""ロックオンの切り替え"""
Config_Reb_029_Hint#0,"""ロックオン操作で、<br>ボタンやキーを押すたびに<br>ロックオンのON/OFFを切り替えるか、<br>押している間のみロックオンするかを選択します。"""
Config_Reb_029_Select_0#0,"""ワンプッシュ"""
Config_Reb_029_Select_1#0,"""ホールド"""
Config_Reb_030_Name#0,"""<%RStick>によるロックオン対象の切り替え"""
Config_Reb_030_Hint#0,"""ロックオン中に、<br><%RStick>で対象を切り替える機能を<br>使用するかを設定します。"""
Config_Reb_030_Select_0#0,"""使用しない"""
Config_Reb_030_Select_1#0,"""使用する"""
Config_Reb_031_Name#0,"""裏パレットの切り替え"""
Config_Reb_031_Hint#0,"""裏パレットの切り替え操作で、<br>ボタンやキーを押すたびに切り替えるか、<br>押している間のみ切り替えるかを選択します。"""
Config_Reb_031_Select_0#0,"""ワンプッシュ"""
Config_Reb_031_Select_1#0,"""ホールド"""
Config_Reb_032_Name#0,"""回避操作の移動キー２回押し間隔"""
Config_Reb_032_Hint#0,"""キーボードのキャラクター移動キー<br>（初期設定で[W]/[A]/[S]/[D]キー）を<br>２回押しして、“回避アクション”をする時の<br>入力受け付け間隔を設定します。"""
Config_Reb_032_Select_0#0,"""長間隔"""
Config_Reb_032_Select_1#0,"""中間隔"""
Config_Reb_032_Select_2#0,"""短間隔"""
Config_Reb_032_Select_3#0,"""２回押し無効"""
Config_Reb_033_Name#0,"""通常視点：カメラの左右回転方向"""
Config_Reb_033_Hint#0,"""カメラの左右回転方向を設定します。<br><br><yellow>※通常視点にのみ適用されます。<c>"""
Config_Reb_033_Select_0#0,"""標準"""
Config_Reb_033_Select_1#0,"""反転"""
Config_Reb_034_Name#0,"""通常視点：カメラの上下回転方向"""
Config_Reb_034_Hint#0,"""カメラの上下回転方向を設定します。<br><br><yellow>※通常視点にのみ適用されます。<c>"""
Config_Reb_034_Select_0#0,"""標準"""
Config_Reb_034_Select_1#0,"""反転"""
Config_Reb_035_Name#0,"""通常視点：カメラの左右回転速度"""
Config_Reb_035_Hint#0,"""カメラの左右回転の速さを設定します。<br>数値を下げることで回転速度が遅くなります。<br><br><yellow>※通常視点にのみ適用されます。<c>"""
Config_Reb_036_Name#0,"""通常視点：カメラの上下回転速度"""
Config_Reb_036_Hint#0,"""カメラの上下回転の速さを設定します。<br>数値を下げることで回転速度が遅くなります。<br><br><yellow>※通常視点にのみ適用されます。<c>"""
Config_Reb_037_Name#0,"""通常視点：マウスの優先操作"""
Config_Reb_037_Hint#0,"""マウスで操作する時に、<br>カメラの操作を優先するか、<br>マウスカーソルの操作を優先するかを設定します。<br><br><yellow>※通常視点にのみ適用されます。<c>"""
Config_Reb_037_Select_0#0,"""カメラ"""
Config_Reb_037_Select_1#0,"""マウスカーソル"""
Config_Reb_038_Name#0,"""肩越し視点：カメラの左右回転方向"""
Config_Reb_038_Hint#0,"""カメラの左右回転方向を設定します。<br><br><yellow>※肩越し視点にのみ適用されます。<c>"""
Config_Reb_038_Select_0#0,"""標準"""
Config_Reb_038_Select_1#0,"""反転"""
Config_Reb_039_Name#0,"""肩越し視点：カメラの上下回転方向"""
Config_Reb_039_Hint#0,"""カメラの上下回転方向を設定します。<br><br><yellow>※肩越し視点にのみ適用されます。<c>"""
Config_Reb_039_Select_0#0,"""標準"""
Config_Reb_039_Select_1#0,"""反転"""
Config_Reb_040_Name#0,"""肩越し視点：カメラの左右回転速度"""
Config_Reb_040_Hint#0,"""カメラの左右回転の速さを設定します。<br>数値を下げることで回転速度が遅くなります。<br><br><yellow>※肩越し視点にのみ適用されます。<c>"""
Config_Reb_041_Name#0,"""肩越し視点：カメラの上下回転速度"""
Config_Reb_041_Hint#0,"""カメラの上下回転の速さを設定します。<br>数値を下げることで回転速度が遅くなります。<br><br><yellow>※肩越し視点にのみ適用されます。<c>"""
Config_Reb_042_Name#0,"""肩越し視点：マウスの優先操作"""
Config_Reb_042_Hint#0,"""マウスで操作する時に、<br>カメラの操作を優先するか、<br>マウスカーソルの操作を優先するかを設定します。<br><br><yellow>※肩越し視点にのみ適用されます。<c>"""
Config_Reb_042_Select_0#0,"""カメラ"""
Config_Reb_042_Select_1#0,"""マウスカーソル"""
Config_Reb_047_Name#0,"""ダイレクトチャットの使用"""
Config_Reb_047_Hint#0,"""キーボードをチャットなどの文字入力のみに<br>使用するかを設定します。<br><br><yellow>※“使用する”を選ぶと、キャラクターの<br>\u3000移動などのアクション機能が無効化されます。<c>"""
Config_Reb_047_Select_0#0,"""使用しない"""
Config_Reb_047_Select_1#0,"""使用する"""
Config_Reb_048_Name#0,"""オートワードの使用"""
Config_Reb_048_Hint#0,"""オートワードを使用するかを設定します。<br><br><yellow>※“使用しない”を選ぶと、<br>\u3000オートワードを設定していても<br>\u3000発言しなくなります。<c>"""
Config_Reb_048_Select_0#0,"""使用しない"""
Config_Reb_048_Select_1#0,"""使用する"""
Config_Reb_049_Name#0,"""他プレイヤーのオートワード表示：イベント"""
Config_Reb_049_Hint#0,"""他プレイヤーのオートワード“イベント”を、<br>表示するかを設定します。"""
Config_Reb_049_Select_0#0,"""表示しない"""
Config_Reb_049_Select_1#0,"""表示する"""
Config_Reb_091_Name#0,"""他プレイヤーのオートワード表示：メンバー"""
Config_Reb_091_Hint#0,"""他プレイヤーのオートワード“メンバー”を、<br>表示するかを設定します。"""
Config_Reb_091_Select_0#0,"""表示しない"""
Config_Reb_091_Select_1#0,"""表示する"""
Config_Reb_092_Name#0,"""他プレイヤーのオートワード表示：アクション"""
Config_Reb_092_Hint#0,"""他プレイヤーのオートワード“アクション”を、<br>表示するかを設定します。"""
Config_Reb_092_Select_0#0,"""表示しない"""
Config_Reb_092_Select_1#0,"""表示する"""
Config_Reb_050_Name#0,"""オートワードのログ表示"""
Config_Reb_050_Hint#0,"""オートワードをログに表示するかを設定します。"""
Config_Reb_050_Select_0#0,"""表示しない"""
Config_Reb_050_Select_1#0,"""表示する"""
Config_Reb_051_Name#0,"""メール返信時の相手文章引用"""
Config_Reb_051_Hint#0,"""メール返信時に、<br>相手の文章を引用するかを設定します。"""
Config_Reb_051_Select_0#0,"""引用しない"""
Config_Reb_051_Select_1#0,"""引用する"""
Config_Reb_052_Name#0,"""ドロップ演出表示のレアリティ設定：武器/防具"""
Config_Reb_151_Name#0,"""ドロップ演出表示のレアリティ設定：その他アイテム"""
Config_Reb_052_Hint#0,"""レアアイテムのドロップ演出を、<br>どのレアリティから表示するかを設定します。<br><br>【対象となる主なアイテム】<br>・武器<br>・防具"""
Config_Reb_151_Hint#0,"""レアアイテムのドロップ演出を、<br>どのレアリティから表示するかを設定します。<br><br>【対象となる主なアイテム】<br>・コスチューム/パーツ<br>・武器迷彩<br>・消費アイテム<br>・素材アイテム"""
Config_Reb_053_Name#0,"""他プレイヤーのチームチャット表示"""
Config_Reb_053_Hint#0,"""他プレイヤーのチームチャットを<br>表示するかを設定します。"""
Config_Reb_053_Select_0#0,"""すべて表示する"""
Config_Reb_053_Select_1#0,"""同ルーム内でのみ表示する"""
Config_Reb_053_Select_2#0,"""表示しない"""
Config_Reb_054_Name#0,"""シンボルアートの表示"""
Config_Reb_054_Hint#0,"""シンボルアートを表示するかを設定します。<br><br><yellow>※“表示しない”を選ぶと、<br>\u3000自分のシンボルアートも<br>\u3000他プレイヤーのシンボルアートも<br>\u3000表示されなくなります。<c>"""
Config_Reb_054_Select_0#0,"""表示しない"""
Config_Reb_054_Select_1#0,"""表示する"""
Config_Reb_118_Name#0,"""シンボルアートの表示：周囲"""
Config_Reb_118_Hint#0,"""“周囲”へのチャットで、<br>シンボルアートを表示するかを選択します。<br><br><yellow>※“一部のみ表示する”を選ぶと、<br>\u3000自分とフレンド、チームメンバー、<br>\u3000パーティーメンバーのシンボルアートのみ<br>\u3000表示されます。<c>"""
Config_Reb_118_Select_0#0,"""表示しない"""
Config_Reb_118_Select_1#0,"""一部のみ表示する"""
Config_Reb_118_Select_2#0,"""表示する"""
Config_Reb_119_Name#0,"""シンボルアートの表示：パーティー"""
Config_Reb_119_Hint#0,"""パーティーチャットで、<br>シンボルアートを表示するかを選択します。<br><br><yellow>※“表示しない”を選ぶと、<br>\u3000自分のシンボルアートも<br>\u3000他プレイヤーのシンボルアートも<br>\u3000表示されなくなります。<c>"""
Config_Reb_120_Name#0,"""シンボルアートの表示：チーム"""
Config_Reb_120_Hint#0,"""チームチャットで、<br>シンボルアートを表示するかを選択します。<br><br><yellow>※“表示しない”を選ぶと、<br>\u3000自分のシンボルアートも<br>\u3000他プレイヤーのシンボルアートも<br>\u3000表示されなくなります。<c>"""
Config_Reb_121_Name#0,"""シンボルアートの表示：グループ"""
