EnemyWeak#0,"""こ、このぐらいの敵なら<br>わたしでもなんとか……"""
DestroyEnemy3#32,"""どんどん行くぜ！"""
CondFreeze#33,"""くっそ、凍結かよ……！"""
CondBurn#33,"""うおっ！<br>燃えてんじゃねえか！"""
CondShock#33,"""ぐっ……身体が痺れちまった！"""
CondPoison#33,"""毒なんてしゃらくせえ！"""
CondPanic#33,"""っと、どうすりゃいいんだ！？"""
CondStan#33,"""何っ！？\u3000身体が動かねえ！"""
CondMirage#33,"""視界を奪うとか卑怯だろ！<br>正々堂々と戦え！"""
Die#33,"""ちくしょう、やられちまった！"""
ThankHeal#33,"""回復、ありがとな！"""
ThankBuff#33,"""よっしゃ、気が効くな！"""
ThankCure#33,"""ありがとな、すっきりしたぜ！"""
DefeatEnemy#33,"""ここは片付いたな！<br>先に進もうぜ！"""
LevelUp#33,"""またレベルが上がったみたいだな！"""
InvokeSkill1#31,"""/toge ここで決めてやる！"""
InvokeSkill2#30,"""やってやる！"""
InvokeSkill3#30,"""/toge 全力でいくぜ！"""
PBFull#33,"""本気を出す！"""
PBRelease#33,"""/toge 相手にとって、不足はねぇ！"""
Avoid#33,"""はっ！"""
HealSelf#33,"""回復も必要ってな！"""
BuffSelf#33,"""準備を忘れずに、ってな！"""
HealOther#33,"""無茶すんなって！"""
BuffOther#33,"""これでバッチリだぜ！"""
QuestStart1#33,"""さあ、やってやろうぜ！"""
QuestEnd1#33,"""/toge 楽しかったな！<br>また一緒に行こうぜ！"""
IncidentStart#33,"""むっ！？\u3000何か来るぞ！"""
IncidentSuccess#33,"""最高の結果だな！"""
IncidentFailure#33,"""やれやれ……<br>納得できねえ結果だぜ。"""
PSE#33,"""お、フォトンが<br>活性化してきたみたいだな！"""
PSELevelUp#33,"""このまま暴れとけって話だ！<br>続けんぞ！"""
PSEBurst#33,"""/toge すっげーな、これ！<br>うおおおお！\u3000熱くなってきた！"""
HP30#33,"""やるじゃねぇか……！"""
HP10#33,"""くっそ……！\u3000まだまだ！"""
ItemRare#33,"""/toge そいつはいいもんだぜ！<br>大事にしろよ！"""
DamageSmall#33,"""ぐっ！"""
DamageMiddle#33,"""うおっ！"""
DamageLarge#33,"""やるな！"""
Trap#33,"""面倒なモンを……！"""
ThankTrapRescue#33,"""悪い、迷惑かけた！"""
TrapRescueOther#33,"""大丈夫か！"""
MemberDamaged#33,"""無理すんな！<br>後ろに下がってろ！"""
MemberDead#33,"""/toge 俺を怒らせたな！"""
AbilityExe#33,"""/toge 燃えてきたぜ！"""
AbilitySpecial#32,"""/toge よっしゃあ！\u3000俺に任せろ！"""
Resurrect#33,"""/toge まだまだいけるぜ、俺はよ！"""
PartyJoin#33,"""/toge /ci2 1 よろしく頼むぜ！"""
Marvelous#33,"""流石だな！"""
IncidentJsApcBegin#31,"""/toge /ci2 1 ちょっと手伝ってくれるか！<br>頼む！"""
IncidentJsApcFailure#31,"""ちっ……しくじった……！"""
IncidentJsApcSuccess#31,"""/toge /ci2 2 お前のおかげで助かったぜ！<br>ありがとな！"""
IncidentJsApcBeginEvo#31,"""/toge /ci2 1 まだまだ何か起きるってか！<br>よっしゃ、楽しもうぜ！"""
EnemyWeak#34,"""大丈夫、大したことない"""
EnemyLarge#34,"""大きいだけ"""
EnemyBoss#34,"""油断しちゃダメ"""
EnemyRare#34,"""珍しいやつだ"""
EnemyBoost#34,"""なんか、不気味"""
DestroyEnemy1#34,"""これで終わり"""
DestroyEnemy2#34,"""命中"""
DestroyEnemy3#33,"""捉えた"""
CondFreeze#34,"""冷たい……"""
CondBurn#34,"""熱い……"""
CondShock#34,"""痺れる……"""
CondPoison#34,"""気持ち悪い……"""
CondPanic#34,"""ぐるぐるする……"""
CondStan#34,"""動けないかも……"""
CondMirage#34,"""照準があわない……"""
Die#34,"""やられちゃった……"""
ThankHeal#34,"""回復、ありがとう"""
ThankBuff#34,"""補助、ありがとう"""
ThankCure#34,"""すっきりした、ありがとう"""
DefeatEnemy#34,"""全部、倒したね<br>次へ行こう"""
LevelUp#34,"""おめでとう"""
InvokeSkill1#32,"""これで決める"""
InvokeSkill2#31,"""絶対当てる"""
InvokeSkill3#31,"""命中させる"""
PBFull#34,"""準備できた"""
PBRelease#34,"""好き勝手、させない"""
Avoid#34,"""甘い"""
HealSelf#34,"""回復は大切だから"""
BuffSelf#34,"""補助も必要だよ"""
HealOther#34,"""回復するね"""
BuffOther#34,"""援護するね"""
QuestStart1#34,"""行くよ"""
QuestEnd1#34,"""終わったね、お疲れさま"""
IncidentStart#34,"""何か起きそうだよ、気をつけて"""
IncidentSuccess#34,"""成功したね"""
IncidentFailure#34,"""失敗しちゃったね……"""
PSE#34,"""フォトンが活性化してる？"""
PSELevelUp#34,"""続けていく"""
PSEBurst#34,"""これがＰＳＥバースト……<br>すごく、きれい"""
HP30#34,"""まだ、大丈夫"""
HP10#34,"""ピンチかもしれない……"""
ItemRare#34,"""とてもいいものだよ、それ"""
DamageSmall#34,"""つっ"""
DamageMiddle#34,"""ううっ"""
DamageLarge#34,"""あいたっ！"""
Trap#34,"""トラップ……！"""
ThankTrapRescue#34,"""助けてくれてありがとう"""
TrapRescueOther#34,"""大丈夫？"""
MemberDamaged#34,"""無理は禁物"""
MemberDead#34,"""……許さない"""
AbilityExe#34,"""全部、命中させる"""
AbilitySpecial#33,"""今なら……！"""
Resurrect#34,"""もう少し、がんばる"""
PartyJoin#34,"""/ci1 1 よろしく"""
Marvelous#34,"""……すごい"""
IncidentJsApcBegin#32,"""/ci1 1 ごめん。<br>手伝ってくれると、嬉しい。"""
IncidentJsApcFailure#32,"""力不足だった、ごめん……"""
IncidentJsApcSuccess#32,"""/ci1 2 おかげで助かった。<br>ありがとう。"""
IncidentJsApcBeginEvo#32,"""/ci1 1 まだ、終わってないみたい。<br>気をつけて。"""
EnemyWeak#35,"""ニャン！"""
EnemyLarge#35,"""おっきいニャン！"""
EnemyBoss#35,"""むっ、要注意ニャン！"""
EnemyRare#35,"""ニャニャ？<br>レアなやつニャン！"""
EnemyBoost#35,"""気合入りすぎニャン！"""
DestroyEnemy1#35,"""やっつけたニャン！"""
DestroyEnemy2#35,"""楽勝ニャン！"""
DestroyEnemy3#34,"""順調ニャン！"""
CondFreeze#35,"""冷たいニャン！"""
CondBurn#35,"""熱いニャン！"""
CondShock#35,"""しびれるニャアアア……！"""
CondPoison#35,"""気持ち悪いニャン……"""
CondPanic#35,"""ぐるぐるするニャン……"""
CondStan#35,"""動けないニャン……"""
CondMirage#35,"""フニャンフニャンだニャン……"""
Die#35,"""やられてしまったニャンー……"""
ThankHeal#35,"""ありがとニャン！"""
ThankBuff#35,"""助かるニャン！"""
ThankCure#35,"""すっきり快適ニャン！"""
DefeatEnemy#35,"""次へ行くニャン！"""
LevelUp#35,"""レベルアップニャン！"""
InvokeSkill1#33,"""バシっと決めるニャン！"""
InvokeSkill2#32,"""喰らえニャン！"""
InvokeSkill3#32,"""覚悟を決めるニャン！"""
PBFull#35,"""準備万全、バッチリニャン！"""
PBRelease#35,"""もう謝っても許してあげないんだからニャン！"""
Avoid#35,"""ニャっと！"""
HealSelf#35,"""よっし、回復ニャン！"""
BuffSelf#35,"""万全にしておくニャン！"""
HealOther#35,"""回復は大切ニャン！"""
BuffOther#35,"""補助も忘れちゃだめニャン！"""
QuestStart1#35,"""さあいくニャン！"""
QuestEnd1#35,"""やったニャン！\u3000"""
IncidentStart#35,"""何かが起きそうニャン！"""
IncidentSuccess#35,"""やったニャン！\u3000成功ニャン！"""
IncidentFailure#35,"""ニャアア……ごめんニャン"""
PSE#35,"""フォトンがざわざわしてるニャン！"""
PSELevelUp#35,"""この調子で続けていくニャン！"""
PSEBurst#35,"""すっごいニャン……<br>フォトンがキラキラしてるニャン！"""
HP30#35,"""油断しすぎちゃったかニャ？"""
HP10#35,"""ピ、ピンチかもニャン……"""
ItemRare#35,"""それ、いいものニャン！"""
DamageSmall#35,"""ニャン！？"""
DamageMiddle#35,"""いったいニャ！"""
DamageLarge#35,"""ま、まずいニャン……！"""
Trap#35,"""ギニャアアア！\u3000罠ニャアアー！"""
ThankTrapRescue#35,"""救助ありがとうニャン！"""
TrapRescueOther#35,"""よかった、大丈夫ニャン？"""
MemberDamaged#35,"""無理は禁物ニャン！"""
MemberDead#35,"""よくもやったニャ……！"""
AbilityExe#35,"""調子が上がってきてるニャン！"""
AbilitySpecial#34,"""よーっし、絶好調ニャン！"""
Resurrect#35,"""元気いっぱい！\u3000復活ニャン！"""
PartyJoin#35,"""/ci2 1 よろしくニャン！"""
Marvelous#35,"""すごいニャン！"""
IncidentJsApcBegin#33,"""/toge /ci2 1 ニャンともいいタイミング！<br>手伝ってニャン！"""
IncidentJsApcFailure#33,"""これ以上は、無理ニャン……<br>撤退するニャン。"""
IncidentJsApcSuccess#33,"""/ci2 1 やった、やったー！<br>成功ニャン！"""
IncidentJsApcBeginEvo#33,"""/ci5 2 この気配……<br>まだ来るニャン！"""
EnemyWeak#36,"""ザコが来たな！"""
EnemyLarge#36,"""でっけーのが来たな！"""
EnemyBoss#36,"""へへっ、楽しめそうだ！"""
EnemyRare#36,"""レアなのが出てきたか！"""
EnemyBoost#36,"""ヘンなやつがいるな……<br>気をつけていくぞ！"""
DestroyEnemy1#36,"""どんなもんだ！"""
DestroyEnemy2#36,"""いっちょ上がり！"""
DestroyEnemy3#35,"""よっし、次はどいつだ？"""
CondFreeze#36,"""つ、つめてえー！"""
CondBurn#36,"""うわっ、熱っ！"""
CondShock#36,"""しーびーれーるー！"""
CondPoison#36,"""うえええ、気持ちわるっ！"""
CondPanic#36,"""くそっ、くらくらする……！"""
CondStan#36,"""身体が……動かねえ……！"""
CondMirage#36,"""視界がメチャクチャだ……！"""
Die#36,"""どうなってんだよ、こりゃ……"""
ThankHeal#36,"""悪いな！"""
ThankBuff#36,"""助かる！"""
ThankCure#36,"""ありがとな！"""
DefeatEnemy#36,"""よっし、次行こうぜ！"""
LevelUp#36,"""おめでとう！"""
InvokeSkill1#34,"""見せてやるぜ！"""
InvokeSkill2#33,"""うっし、行くぜ！"""
InvokeSkill3#33,"""任せとけって！"""
PBFull#36,"""黙らせてやる！"""
PBRelease#36,"""邪魔だって言ってんだろうが！"""
Avoid#36,"""よっと！"""
HealSelf#36,"""回復はしないとな！"""
BuffSelf#36,"""補助も必要！"""
HealOther#36,"""無茶すんなって！"""
BuffOther#36,"""援護するぜ！"""
QuestStart1#36,"""さ、楽しもうぜ！"""
QuestEnd1#36,"""楽しかったな！\u3000お疲れさん！"""
IncidentStart#36,"""おっ、こりゃヤバそうだな！"""
IncidentSuccess#36,"""へへっ、やったな！"""
IncidentFailure#36,"""くっそー、イマイチな結果だぜ！"""
PSE#36,"""いいこと起きんじゃね？"""
PSELevelUp#36,"""この調子でいこうぜ！"""
PSEBurst#36,"""/toge すっげー！\u3000めちゃくちゃ<br>フォトンが活性化してんな！"""
HP30#36,"""まだ大丈夫だ！"""
HP10#36,"""ちょっとやばいか……"""
ItemRare#36,"""お、いいものゲットしたな！"""
DamageSmall#36,"""つっ"""
DamageMiddle#36,"""くっ！"""
DamageLarge#36,"""痛っ！"""
Trap#36,"""くっそ、トラップかよ！"""
ThankTrapRescue#36,"""悪い、迷惑かけた！"""
TrapRescueOther#36,"""無茶すんなよ、大丈夫か？"""
MemberDamaged#36,"""前に出すぎだって！"""
MemberDead#36,"""/toge ……よくもやりやがったな！"""
AbilityExe#36,"""この勢いでやってやるぜ！"""
AbilitySpecial#35,"""おっし、終わらせてやる！"""
Resurrect#36,"""へっ、いい気付けになったぜ！"""
PartyJoin#36,"""/ci2 1 へへっ、任せとけって"""
Marvelous#36,"""やるじゃんか！"""
IncidentJsApcBegin#34,"""/ci2 1 おっ、いいところに来たな！<br>手を貸してくれ！"""
IncidentJsApcFailure#34,"""げっ、まじかよ……<br>悪い、撤退する！"""
IncidentJsApcSuccess#34,"""/ci2 2 終わったみたいだな！<br>楽しかったぜ、またな！"""
IncidentJsApcBeginEvo#34,"""/ci2 1 もうちょい、何かありそうだな！<br>うっし、楽しもうぜ！"""
EnemyWeak#37,"""この程度の敵でしたら"""
EnemyLarge#37,"""ずいぶん大きな相手ですね"""
EnemyBoss#37,"""油断は禁物ですね"""
EnemyRare#37,"""珍しい種のようですね"""
EnemyBoost#37,"""この気配……危険です"""
DestroyEnemy1#37,"""撃破しました"""
DestroyEnemy2#37,"""次の敵に向かいます"""
DestroyEnemy3#36,"""終わりました"""
CondFreeze#37,"""凍結してしまいました……"""
CondBurn#37,"""これ、燃えてますよね……？"""
CondShock#37,"""感電状態のようです……"""
CondPoison#37,"""これは……毒、でしょうか……？"""
CondPanic#37,"""思考処理に問題が……"""
CondStan#37,"""身体機能に異常が……"""
CondMirage#37,"""視覚情報にノイズが……"""
Die#37,"""私……壊れる……ッ"""
ThankHeal#37,"""感謝します"""
ThankBuff#37,"""助かります"""
ThankCure#37,"""ありがとうございます"""
DefeatEnemy#37,"""殲滅確認"""
LevelUp#37,"""わあっ、すごいですね！"""
InvokeSkill1#35,"""逃げても無駄！"""
InvokeSkill2#34,"""ロックオン！"""
InvokeSkill3#34,"""チャンス！"""
PBFull#37,"""準備完了しました"""
PBRelease#37,"""私にお任せを"""
Avoid#37,"""はっ"""
HealSelf#37,"""回復します"""
BuffSelf#37,"""準備は万全です"""
HealOther#37,"""大丈夫ですか？"""
BuffOther#37,"""援護しますね"""
QuestStart1#37,"""頑張りましょう！"""
QuestEnd1#37,"""勉強させていただきました"""
IncidentStart#37,"""何かの気配がありますね"""
IncidentSuccess#37,"""うまくいってよかったです！"""
IncidentFailure#37,"""申し訳ないです……"""
PSE#37,"""フォトンがざわめいています！"""
PSELevelUp#37,"""続けていきましょう！"""
PSEBurst#37,"""すごい……<br>フォトンが喜んでる……！"""
HP30#37,"""こ、このままじゃ……"""
HP10#37,"""これ以上は無理です……"""
ItemRare#37,"""おめでとうございます。<br>それ、珍しいものですよね"""
DamageSmall#37,"""あぅ！"""
DamageMiddle#37,"""そんなっ！"""
DamageLarge#37,"""キャア！"""
Trap#37,"""こんな罠なんかに……！"""
ThankTrapRescue#37,"""ふぅ、ありがとうございます"""
TrapRescueOther#37,"""大丈夫ですか？"""
MemberDamaged#37,"""下がってください！"""
MemberDead#37,"""……許しませんからね！"""
AbilityExe#37,"""身体が軽いです！"""
AbilitySpecial#36,"""今なら、なんだってできます！"""
Resurrect#37,"""失敗は必ず挽回します"""
PartyJoin#37,"""/ci1 1 よろしくお願いしますね"""
Marvelous#37,"""さすがですね！"""
IncidentJsApcBegin#35,"""/ci1 1 <%me>さん！<br>すみません、敵に囲まれてしまって……<br>手伝ってもらえないでしょうか？"""
IncidentJsApcFailure#35,"""うう、これ以上は無理です……<br>すみません、先に退きます"""
IncidentJsApcSuccess#35,"""/ci2 1 ふうっ、なんとかなりましたね！<br><%me>さん<br>ありがとうございました！"""
IncidentJsApcBeginEvo#35,"""/ci1 1 これで終わり……ではないようですね。<br>すみませんが、<br>もう少しの間だけ協力してもらえますか？"""
EnemyWeak#38,"""およ、およよ？<br>これは楽ちんっぽいね！"""
EnemyLarge#38,"""すごく……おっきいなぁ……"""
EnemyBoss#38,"""難儀な相手が来ちゃったよー！"""
EnemyRare#38,"""おーっ！<br>あれあれ、珍しいやつだよー！"""
EnemyBoost#38,"""うわっ、うわわっ！<br>ビンビンにヤな予感……！"""
DestroyEnemy1#38,"""よいしょー！"""
DestroyEnemy2#38,"""どんなもんだいっ！"""
DestroyEnemy3#37,"""華麗に決まりっ！"""
CondFreeze#38,"""かちーん、こちーん！"""
CondBurn#38,"""メラメラと燃えてきた！<br>あちっ、あちちっ！"""
CondShock#38,"""しびびびれれれるるるる！"""
CondPoison#38,"""ううっ、ぎぼびばるい……"""
CondPanic#38,"""ぐるぐるでー、ぐらぐらー！<br>あはははっ！"""
CondStan#38,"""身体がうまく動かないよー"""
CondMirage#38,"""ぼやけてかすんで<br>なんだか視界がすっごい！"""
Die#38,"""ティア……"""
ThankHeal#38,"""ありがとっ！"""
ThankBuff#38,"""気がきく人、大好き！"""
ThankCure#38,"""気分爽快、がんばろー！"""
DefeatEnemy#38,"""んー、終わったかな？"""
LevelUp#38,"""いーなー！\u3000いーなぁー！"""
InvokeSkill1#36,"""せーの、っと！"""
InvokeSkill2#35,"""吹き飛んじゃえー！"""
InvokeSkill3#35,"""やっちゃうよー！"""
TechLight#16,"""ティアの見真似！"""
PBFull#38,"""むっかー！<br>腹立ってきたよ！"""
PBRelease#38,"""一番、パティ！\u3000いきまーす！"""
TacticsFree#16,"""自由気ままにいってみよー！"""
TacticsGuard#16,"""防御は最大の攻撃って<br>どこかの誰かが言ってたよー！"""
TacticsMassedAttack#16,"""悪いけどこれ、戦いだから……<br>狙いうち狙いうちっ！"""
TacticsAttack#15,"""ほらほらー、こっちおいでよー！"""
Avoid#38,"""よっこいしょー！"""
HealSelf#38,"""やれるかと思った？<br>残念、回復でしたー！"""
BuffSelf#38,"""こう見えても<br>準備は欠かさないんだよー！"""
HealOther#38,"""はやめの回復っと！"""
BuffOther#38,"""おすそ分けするよー！"""
QuestStart1#38,"""んじゃ行ってみよ－！"""
QuestEnd1#38,"""おーわりっと！"""
IncidentStart#38,"""むむ、トラブルの予感！"""
IncidentSuccess#38,"""大成功ーっ！"""
IncidentFailure#38,"""まあ、こういうこともあるよ！"""
PSE#38,"""おおっ、何か始まった！"""
PSELevelUp#38,"""続けていってみよー！"""
PSEBurst#38,"""うっはー<br>こりゃすっごいねー！"""
HP30#38,"""まだまだ元気だよっ！"""
HP10#38,"""か、空元気もちょっと無理……"""
ItemRare#38,"""あー、ずっこい！<br>いーなー！"""
DamageSmall#38,"""いたっ！"""
DamageMiddle#38,"""きゃあっ！"""
DamageLarge#38,"""いたいって！"""
Trap#38,"""罠にかかる女の子ってのも<br>なかなかそそる……って<br>そうじゃない、助けてー！"""
ThankTrapRescue#38,"""ふー、ありがと"""
TrapRescueOther#38,"""華麗に救出っと！"""
MemberDamaged#38,"""大丈夫？\u3000無茶はだめだよー！"""
MemberDead#38,"""あたしだって怒るんだよ……！"""
AbilityExe#38,"""/toge よーし、調子出てきたし<br>お姉ちゃんがんばっちゃうぞー！"""
AbilitySpecial#37,"""/toge あたしにおまかせっ！"""
Resurrect#38,"""ふー、川が見えたよー！"""
PartyJoin#38,"""/ci1 1 はいはーい！\u3000頑張るよ－！"""
Marvelous#38,"""いやー、楽チン楽チン"""
EnemyWeak#39,"""んん？<br>あんまり強くない、かな？"""
EnemyLarge#39,"""すっごく……おおきいなぁ……"""
EnemyBoss#39,"""面倒な相手が来ちゃった……"""
EnemyRare#39,"""すっごいレアな種ね<br>ついてるかも……"""
EnemyBoost#39,"""この感じは……<br>よくない雰囲気ですよ"""
DestroyEnemy1#39,"""やっちゃいました"""
DestroyEnemy2#39,"""決めちゃいました"""
DestroyEnemy3#38,"""優雅に決めっ！"""
CondFreeze#39,"""冷たいなぁ……"""
CondBurn#39,"""熱いかも……"""
CondShock#39,"""びりびりする……"""
CondPoison#39,"""気持ち悪い……"""
CondPanic#39,"""ぐるぐるして……<br>なんだろ、コレ……"""
CondStan#39,"""ふぬけちゃった……"""
CondMirage#39,"""何か視界がヘン……"""
Die#39,"""お姉ちゃん……"""
ThankHeal#39,"""ありがとう"""
ThankBuff#39,"""もっと頑張る"""
ThankCure#39,"""気分スッキリ"""
DefeatEnemy#39,"""とりあえず、終わりかな？"""
LevelUp#39,"""強くなるのはいいこと"""
InvokeSkill1#37,"""こういうのは<br>パティちゃんの役目だよ"""
TechFire#15,"""無駄は嫌いなの"""
TechIce#15,"""逃がさない"""
TechThunder#16,"""見えてるんだけど？"""
TechWind#14,"""いろいろ出来るんだよ？"""
TechLight#17,"""テクニックなら任せて"""
TechDark#15,"""終わりにする"""
PBFull#39,"""私も怒るときは怒るから"""
PBRelease#39,"""二番、ティア。行きます"""
TacticsFree#17,"""それじゃ、自由にやります"""
TacticsGuard#17,"""防御を固めて隙をうかがう<br>常套戦術ね"""
TacticsMassedAttack#17,"""一点集中……<br>合理的だと思う"""
TacticsAttack#16,"""私がひきつけます"""
Avoid#39,"""残念"""
HealSelf#39,"""そう簡単に倒れたりはしないから"""
BuffSelf#39,"""補助だって忘れません"""
HealOther#39,"""はやめの回復を心がけて"""
BuffOther#39,"""能力強化を忘れずに"""
QuestStart1#39,"""それじゃ、よろしく"""
QuestEnd1#39,"""終わり、かな？"""
IncidentStart#39,"""何か、起こりそうな予感が"""
IncidentSuccess#39,"""成功したみたい"""
IncidentFailure#39,"""失敗は成功の元"""
PSE#39,"""フォトンの活性化……？<br>始まったみたい"""
PSELevelUp#39,"""さらに続けてみましょう"""
PSEBurst#39,"""ここまで<br>活性化するものなのね"""
HP30#39,"""まだまだ元気です"""
HP10#39,"""少し……辛いかも"""
ItemRare#39,"""それ、いいものみたいね"""
DamageSmall#39,"""つっ"""
DamageMiddle#39,"""きゃあっ"""
DamageLarge#39,"""いたっ！"""
Trap#39,"""くっ……こんな罠なんかに"""
ThankTrapRescue#39,"""助かります"""
TrapRescueOther#39,"""大丈夫ですか？"""
MemberDamaged#39,"""無理は禁物です"""
MemberDead#39,"""……許しません"""
AbilityExe#39,"""/toge 調子が出てきたから<br>私も頑張っちゃうかも"""
AbilitySpecial#38,"""/toge 私に任せてください"""
Resurrect#39,"""油断が過ぎたかな"""
PartyJoin#39,"""/ci1 1 適度に頑張る"""
Marvelous#39,"""……とっても楽"""
EnemyWeak#40,"""邪魔"""
EnemyLarge#40,"""その程度の大きさで……"""
EnemyBoss#40,"""対象を確認"""
EnemyRare#40,"""特別目標を確認"""
EnemyBoost#40,"""……少し、違いますね"""
DestroyEnemy1#40,"""他愛もない"""
DestroyEnemy2#40,"""次"""
DestroyEnemy3#39,"""終わりました"""
CondFreeze#40,"""く……凍結とは"""
CondBurn#40,"""少しの火傷ぐらいで……"""
CondShock#40,"""多少の痺れなんて……"""
CondPoison#40,"""毒に侵されたとしても"""
CondPanic#40,"""くっ……混乱？"""
CondStan#40,"""ちっ、身体が動かない……！"""
CondMirage#40,"""まやかしごときで……！"""
Die#40,"""……こんなところで"""
ThankHeal#40,"""助かります"""
ThankBuff#40,"""感謝します"""
ThankCure#40,"""落ち着きました"""
DefeatEnemy#40,"""始末、完了です"""
LevelUp#40,"""もっと、強くなってください"""
InvokeSkill1#38,"""……とった！"""
InvokeSkill2#36,"""一撃必殺……！"""
InvokeSkill3#36,"""隙を見せたわね"""
PBFull#40,"""終わりにしましょうか"""
PBRelease#40,"""解放します"""
TacticsFree#18,"""御意に"""
TacticsGuard#18,"""向いてはいませんが、従います"""
TacticsMassedAttack#18,"""狙いは了解しました"""
TacticsAttack#17,"""囮は苦手ですが……やりましょう"""
Avoid#40,"""ふ……"""
HealSelf#40,"""あと一歩でしたね"""
BuffSelf#40,"""準備をしましょうか"""
HealOther#40,"""危ないところでしたよ"""
BuffOther#40,"""補助を忘れないでください"""
QuestStart1#40,"""任務を開始します"""
QuestEnd1#40,"""任務、終了"""
IncidentStart#40,"""不穏な空気です……"""
IncidentSuccess#40,"""次に行きましょう"""
IncidentFailure#40,"""終わったことです<br>あまり気にしないよう"""
PSE#40,"""これは……ＰＳＥですね"""
PSELevelUp#40,"""可能なら、続けましょう"""
PSEBurst#40,"""バーストしましたね、流石です"""
HP30#40,"""この程度の危機……"""
HP10#40,"""……もう、もたない？"""
ItemRare#40,"""……それ、いいものですよ"""
DamageSmall#40,"""つっ"""
DamageMiddle#40,"""なっ"""
DamageLarge#40,"""くうっ"""
Trap#40,"""こんな初歩的な罠に……"""
ThankTrapRescue#40,"""……お手数をおかけしました"""
TrapRescueOther#40,"""気をつけてください"""
MemberDamaged#40,"""無理はされないように"""
MemberDead#40,"""……許さない"""
AbilityExe#40,"""/toge 流れに乗る……！"""
AbilitySpecial#39,"""/toge この流れなら、いける……！"""
Resurrect#40,"""まだ終わらない"""
PartyJoin#40,"""/ci1 1 よろしくお願いします"""
Marvelous#40,"""見込み以上ですよ"""
IncidentJsApcBegin#36,"""/ci1 3 ……任務外ですが<br>放ってはおけません。"""
IncidentJsApcFailure#36,"""申し訳ありません……<br>私は撤退します。"""
IncidentJsApcSuccess#36,"""/ci1 5 ……お互い、無事で何よりです。<br>それでは。"""
IncidentJsApcBeginEvo#36,"""/ci1 1 ……まだ来るようですね。<br>さっさと片付けましょう。 """
EnemyWeak#41,"""私たちの敵ではないな"""
EnemyLarge#41,"""大型か"""
EnemyBoss#41,"""強敵のようだな"""
EnemyRare#41,"""あのタイプは……珍しいヤツか"""
EnemyBoost#41,"""……気をつけろ。<br>禍々しいフォトンだ"""
DestroyEnemy1#41,"""次だ"""
DestroyEnemy2#41,"""他愛もない"""
CondFreeze#41,"""凍結状態だと……"""
CondBurn#41,"""流石に熱い、な……"""
CondShock#41,"""ふむ……<br>こう痺れていては、面倒だな"""
CondPoison#41,"""ち、毒か……！"""
CondPanic#41,"""意識が混濁する……"""
CondStan#41,"""動きを封じられた……！？"""
CondMirage#41,"""狙いが定まらないな……"""
Die#41,"""こんなところで倒れるわけには……"""
ThankHeal#41,"""助かる"""
ThankBuff#41,"""感謝する"""
ThankCure#41,"""手間をかけたな"""
DefeatEnemy#41,"""この一帯は片付いたか"""
LevelUp#41,"""いい感じだ"""
InvokeSkill1#39,"""逃がしはしない"""
InvokeSkill2#37,"""一気に決める！"""
InvokeSkill3#37,"""ラッピー、頼む！"""
TechFire#16,"""燃えろ"""
TechIce#16,"""氷よ"""
TechThunder#17,"""雷よ"""
TechWind#15,"""風よ"""
TechLight#18,"""光よ"""
TechDark#16,"""闇よ"""
PBFull#41,"""力を使うときが来たか"""
PBRelease#41,"""皆を守る。それが私の使命だ"""
Avoid#41,"""はっ"""
HealSelf#41,"""惜しかったな"""
BuffSelf#41,"""手加減はしない"""
HealOther#41,"""油断はするな"""
BuffOther#41,"""体勢を整えろ"""
QuestStart1#41,"""任務を開始する"""
QuestEnd1#41,"""流石だな"""
IncidentStart#41,"""この気配……何が来る"""
IncidentSuccess#41,"""適切な対応だったな"""
IncidentFailure#41,"""……反省点は多いな"""
PSE#41,"""これは……ＰＳＥか"""
PSELevelUp#41,"""フォトンが励起されている"""
PSEBurst#41,"""これが、ＰＳＥの最終段階か"""
HP30#41,"""ダメージを受けすぎたか"""
HP10#41,"""これ以上は、流石にまずい……"""
ItemRare#41,"""ふむ、珍しいもののようだな"""
DamageSmall#41,"""つっ"""
DamageMiddle#41,"""まずい"""
DamageLarge#41,"""きゃあっ！"""
Trap#41,"""罠だと！"""
ThankTrapRescue#41,"""手間をかけた"""
TrapRescueOther#41,"""大丈夫か？"""
MemberDamaged#41,"""無理はするな"""
MemberDead#41,"""……私が不甲斐ないばかりに"""
AbilityExe#41,"""ふむ、身体が軽いな"""
AbilitySpecial#40,"""フォトンが馴染んできたな"""
Resurrect#41,"""……立ち止まるわけにはいかない"""
PartyJoin#41,"""/ci2 1 よろしく頼む"""
Marvelous#41,"""これが貴方の力か"""
IncidentJsApcBegin#37,"""/ci2 1 <%me>。<br>すまないが、手伝ってもらえるか？"""
IncidentJsApcFailure#37,"""……我ながら、無様だな。<br>すまない、先に退かせてもらう。"""
IncidentJsApcSuccess#37,"""/ci2 1 流石だな。噂以上だ。<br>貴方を頼ってよかった。"""
IncidentJsApcBeginEvo#37,"""/ci1 1 終わったか……？<br>……いや、まだ来るようだな。<br>もうしばらく付き合ってもらえるか？"""
EnemyWeak#42,"""おっ、こいつは弱そうだな"""
EnemyLarge#42,"""うわー、でっけぇ……"""
EnemyBoss#42,"""おいおいおい<br>こんなのいるなんて聞いてねえよ！"""
EnemyRare#42,"""んー、なんだありゃ<br>あんまり見ないヤツじゃないか？"""
EnemyBoost#42,"""……なんかやばい雰囲気だぞ！"""
