f2#0,"""Emergency Trial [$(0)] ล้มเหลว!"""
Title6#0,"""Luminous Ace"""
Title7#0,"""Intelligent Strategist"""
Title8#0,"""Ingenuity Warrior"""
Title9#0,"""Serene Healer"""
Title10#0,"""Post Guardian"""
Title11#0,"""Stratagem Soldier"""
Title12#0,"""Gentle Healer"""
Title13#0,"""Immovable Keeper"""
Title14#0,"""Post Keeper"""
Title15#0,"""King of Destruction"""
Title16#0,"""Ace of Glory"""
Title17#0,"""Leaders of the Next Generation"""
Title18#0,"""Hero of New Wave"""
Title19#0,"""Ace of Hope"""
Title20#0,"""First-class Operator"""
Title21#0,"""First-class Medic"""
Title22#0,"""Capable Operator"""
Title23#0,"""Capable Medic"""
Title24#0,"""Strongest Warrior"""
Title25#0,"""Super Hero"""
Title26#0,"""Crystal God"""
Title27#0,"""Ace of Future"""
Title28#0,"""Destroyer"""
Title29#0,"""Intermediate Operator"""
Title30#0,"""Intermediate Medic"""
Title31#0,"""Stalwart Warrior"""
Title32#0,"""Crystal Master"""
Title33#0,"""Hero of Justice"""
Title34#0,"""Crusher"""
Title35#0,"""New Wave Operator"""
Title36#0,"""New Wave Medic"""
Title37#0,"""Adept Warrior"""
Title38#0,"""Crystal Collector"""
Title39#0,"""Our Hero"""
Title40#0,"""Rookie Operator"""
Title41#0,"""Rookie Medic"""
Title42#0,"""Expert Warrior"""
Title43#0,"""Crystal Digger"""
Title44#0,"""New Wave Hero"""
Title45#0,"""Novice Operator"""
Title46#0,"""Crystal Beginner"""
Title47#0,"""Gladiator"""
Title48#0,"""Rookie Hero"""
Title49#0,"""Novice Hero"""
BaseName#0,"""ฐาน $(0)"""
PedestalName#0,"""$(0) Socket"""
WaveReward#1,"""ウェーブの報酬を受け取りました。<br>$(0)"""
SizeDisp#1,"""×"""
NpcCom00#1,"""敵さんの反応を確認！\u3000<br>まもなく基地付近に到着しそうです！<br>結晶を回収し襲撃に備えてくださいー！"""
NpcCom01#1,"""……うう、拠点、全壊しちゃいました。<br>仕方ありません、帰還してください。"""
NpcCom02#1,"""お疲れ様でした！ 素晴らしい<br>活躍だったと思います！<br>それでは、帰還してください。"""
NpcCom03#1,"""お疲れ様でした。すこーし損害が<br>出てしまいましたが、許容範囲です。<br>それでは、帰還して下さい。"""
NpcCom04#1,"""お疲れ様でした。かなり被害が<br>出てしまいましたが、仕方ありません。<br>帰還して下さい。"""
NpcCom05#1,"""お疲れ様でした。<br>次回は防衛に貢献できるように<br>頑張りましょう！"""
NpcCom06#1,"""わわっ、わわわっ！<br>きょ、強力な敵性反応を確認ですー！<br>みなさん、警戒、警戒ですよ－！"""
NpcCom07#1,"""$(0)拠点が襲われています！<br>はやく救援に向かってくださいー！"""
NpcCom08#1,"""ああっ！<br>$(0)拠点が陥落寸前です！<br>急いで救援に向かってください！"""
NpcCom09#1,"""わわっ、何この反応っ！<br>だ、ダーカーが強化されちゃってる！<br>注意注意、要注意ですー！"""
NpcCom10#1,"""敵さんの反応が減ってきましたよ！<br>もう少し、もう少しですよー！"""
NpcCom11#1,"""敵性反応あと僅か！\u3000もう一息です！<br>がんばってくださいー！"""
NpcCom12#1,"""ああっ、危ない！\u3000逃げて逃げて！<br>生き残ったゴルドラーダが自爆します！"""
NpcCom12_Last#1,"""やったやった、やりました！<br>ダーカーが諦めて撤退していきます！"""
NpcCom13#1,"""拠点、破壊されちゃいました！<br>残り１つ、これだけはなんとしても<br>守りきってください！\u3000頑張って！"""
NpcCom14#1,"""はわわっ！？<br>拠点、破壊されちゃいました！<br>残り２つをなんとか守って下さいー！"""
NpcCom15#1,"""拠点、残り３つになっちゃいました……<br>なんとか防衛！\u3000必死に防衛ですよー！"""
NpcCom16#1,"""あああっ！<br>拠点、破壊されちゃいましたよ！<br>残り４つです！\u3000守って守ってー！"""
barricade0#1,"""第一防衛ライン、突破されました！<br>敵さんが内部に入ってきちゃいますー！"""
barricade1#1,"""第二防衛ラインも<br>突破されちゃいましたよ！<br>敵の進行、なんとか止めてくださいー！"""
barricade2#1,"""最終防衛ライン、突破されました！<br>これ以上奥に進ませないでくださいー！"""
UITimerExplanation00#1,"""ウェーブ$(0)開始まであと"""
UITimerExplanation01#1,"""ウェーブ$(0)終了まであと"""
UITimerExplanation02#1,"""最終ウェーブ開始まであと"""
UITimerExplanation03#1,"""最終ウェーブ終了まであと"""
EnemyCondition00#1,"""HP20%アップ"""
EnemyCondition01#1,"""HP40%アップ"""
EnemyCondition02#1,"""HP60%アップ"""
EnemyCondition03#1,"""攻撃力20%アップ"""
EnemyCondition04#1,"""攻撃力40%アップ"""
EnemyCondition05#1,"""攻撃力60%アップ"""
LineMsgEnemyConditionNum1#1,"""エネミーの能力値が上がった！<br>\u3000\u3000\u3000$(0)"""
LineMsgEnemyConditionNum2#1,"""エネミーの能力値が上がった！<br>$(0)\u3000\u3000$(1)"""
LineMsgBase00#1,"""$(0)拠点が破壊されてしまった！"""
BaseColorOrange#1,"""橙"""
BaseColorPurple#1,"""紫"""
BaseColorWhite#1,"""白"""
BaseColorBlue#1,"""青"""
BaseColorGreen#1,"""緑"""
Terminal_ActionToastOwn_1#1,"""$(0)にバーストバリアを起動しました。"""
Terminal_ActionToastOwn_2#1,"""$(0)の耐久値を回復しました。"""
Terminal_ActionToastOwn_3#1,"""$(0)でA.I.Sを起動しました。"""
Terminal_ActionToastOwn_4#1,"""$(0)に銃座を配置しました。"""
Terminal_ActionToastOwn_5#1,"""$(0)にフォトン粒子砲を配置しました。"""
Terminal_ActionToastOwn_6#1,"""$(0)を浄化しました。"""
Terminal_ActionToastMember_1#1,"""$(0)によって$(1)にバーストバリアが起動されました。"""
Terminal_ActionToastMember_2#1,"""$(0)によって$(1)の耐久値が回復されました。"""
Terminal_ActionToastMember_3#1,"""$(0)が$(1)でA.I.Sを起動しました。 """
Terminal_ActionToastMember_4#1,"""$(0)によって$(1)に銃座が配置されました。"""
Terminal_ActionToastMember_5#1,"""$(0)によって$(1)にフォトン粒子砲が配置されました。"""
Terminal_ActionToastMember_6#1,"""$(0)が$(1)を浄化しました。"""
TitleNone#1,"""拠点防衛初心者"""
Title0#1,"""銀河の守護者"""
Title1#1,"""至高の守護者"""
Title2#1,"""稀代の守護者"""
Title3#1,"""光輝の癒し手"""
Title4#1,"""神算鬼謀の士"""
Title5#1,"""熟練の癒し手"""
Title6#1,"""光輝のエース"""
Title7#1,"""百聞の軍師"""
Title8#1,"""知略の戦士"""
Title9#1,"""静穏の癒し手"""
Title10#1,"""拠点の守護者"""
Title11#1,"""策謀の士"""
Title12#1,"""優しき癒し手"""
Title13#1,"""不動の番人"""
Title14#1,"""拠点の番人"""
Title15#1,"""破壊王"""
Title16#1,"""栄光のエース"""
Title17#1,"""次世代の担い手"""
Title18#1,"""新進気鋭の勇士"""
Title19#1,"""希望のエース"""
Title20#1,"""一流オペレーター"""
Title21#1,"""一流衛生兵"""
Title22#1,"""敏腕オペレーター"""
Title23#1,"""敏腕衛生兵"""
Title24#1,"""戦守最強"""
Title25#1,"""スーパーヒーロー"""
Title26#1,"""結晶神"""
Title27#1,"""未来のエース"""
Title28#1,"""デストロイヤー"""
Title29#1,"""中級オペレーター"""
Title30#1,"""中級衛生兵"""
Title31#1,"""戦守猛者"""
Title32#1,"""結晶マスター"""
Title33#1,"""正義のヒーロー"""
Title34#1,"""クラッシャー"""
Title35#1,"""新進オペレーター"""
Title36#1,"""新進衛生兵"""
Title37#1,"""戦守名人"""
Title38#1,"""結晶コレクター"""
Title39#1,"""みんなのヒーロー"""
Title40#1,"""駆け出しオペレーター"""
Title41#1,"""駆け出し衛生兵"""
Title42#1,"""戦守達人"""
Title43#1,"""結晶ディガー"""
Title44#1,"""新進ヒーロー"""
Title45#1,"""見習いオペレーター"""
Title46#1,"""結晶ビギナー"""
Title47#1,"""戦守闘士"""
Title48#1,"""駆け出しヒーロー"""
Title49#1,"""見習いヒーロー"""
BaseName#1,"""$(0)拠点"""
PedestalName#1,"""$(0)防衛ソケット"""
QuestLevelLimit#0,"""เงื่อนไขการรับเควสท์ไม่สมบูรณ์"""
QuestLevelLimit#1,"""クエストの受注条件を満たしていません。"""
TeamPointMsg#0,"""ผ่านเควสท์พร้อมกับ Team Member สำเร็จ ! ได้รับ TP จำนวน $(0) !"""
TeamPointMsg#1,"""チームメンバーとクエストをクリア！$(0)TPを獲得！"""
