TitleMenu#0,"""Events / Chronicles"""
MessagePackTitle1-123#0,"""Caterdransa Data"""
MessagePackTitle1-124#0,"""Vol Dragon Data"""
MessagePackTitle1-125#0,"""Burn Drahl Data"""
MessagePackTitle1-126#0,"""Dragon Breegha"""
MessagePackTitle1-127#0,"""Freezer Drahl Data"""
MessagePackTitle1-128#0,"""Agnis Data"""
MessagePackTitle1-129#0,"""Woodan Data"""
MessagePackTitle1-130#0,"""Zawoodan Data"""
MessagePackTitle1-131#0,"""Galphur Data"""
MessagePackTitle1-132#0,"""Fangalphur Data"""
MessagePackTitle1-133#0,"""Galph Data"""
MessagePackTitle1-134#0,"""Phongalph Data"""
MessagePackTitle1-135#0,"""Garongo Data"""
MessagePackTitle1-136#0,"""Yedi Data"""
MessagePackTitle1-137#0,"""King Yedi Data"""
MessagePackTitle1-138#0,"""Rockbear Data"""
MessagePackTitle1-139#0,"""Lhagbelt Data"""
MessagePackTitle1-140#0,"""Marmoth Data"""
MessagePackTitle1-141#0,"""De Marmoth Data"""
MessagePackTitle1-142#0,"""Dal Malre Data"""
MessagePackTitle1-143#0,"""Fangbanther Data"""
MessagePackTitle1-144#0,"""Fangbanshee Data"""
MessagePackTitle1-145#0,"""Banther Ang Data"""
MessagePackTitle1-146#0,"""Banther Dona Data"""
MessagePackTitle1-147#0,"""Snowbanther Data"""
MessagePackTitle1-148#0,"""Snowbanshee Data"""
MessagePackTitle1-149#0,"""Banther Oran Data"""
MessagePackTitle1-150#0,"""Banther Elna Data"""
MessagePackTitle1-151#0,"""Nav Rappy Data"""
MessagePackTitle1-152#0,"""Rappy Data """
MessagePackTitle1-153#0,"""Saint Rappy Data"""
MessagePackTitle1-154#0,"""Jacko Rappy Data"""
MessagePackTitle1-155#0,"""Egg Rappy Data"""
MessagePackTitle1-156#0,"""Mr. Umbra Data"""
MessagePackTitle1-157#0,"""The Radar Map"""
MessagePackTitle1-158#0,"""Priority Orders"""
MessagePackTitle1-159#0,"""PSE"""
MessagePackTitle1-160#0,"""PSE Bursts"""
MessagePackTitle1-161#0,"""The Melee Boost Effect!"""
MessagePackTitle1-162#0,"""The Ranged Boost Effect!"""
MessagePackTitle1-163#0,"""The Magic Boost Effect!"""
MessagePackTitle1-164#0,"""The PP Economizer Effect!"""
MessagePackTitle1-165#0,"""The Rare Hostile Boost Effect!"""
MessagePackTitle1-166#0,"""The XP Boost Effect!"""
MessagePackTitle1-167#0,"""The Meseta Boost Effect!"""
MessagePackTitle1-168#0,"""The Corruption Boost Effect!"""
MessagePackTitle1-169#0,"""The Team Point Bonus Effect!"""
MessagePackTitle1-170#0,"""The Fire Boost Effect!"""
MessagePackTitle1-171#0,"""The Ice Boost Effect!"""
MessagePackTitle1-172#0,"""The Lightning Boost Effect!"""
MessagePackTitle1-173#0,"""The Wind Boost Effect!"""
MessagePackTitle1-174#0,"""The Light Boost Effect!"""
MessagePackTitle1-175#0,"""The Dark Boost Effect!"""
MessagePackTitle1-176#0,"""The Blast Accelerator Effect!"""
MessagePackTitle1-177#0,"""The Crit-Rate Boost Effect!"""
MessagePackTitle1-178#0,"""The Fire Bonus Effect!"""
MessagePackTitle1-179#0,"""The Ice Bonus Effect!"""
MessagePackTitle1-180#0,"""The Lightning Bonus Effect!"""
MessagePackTitle1-181#0,"""The Wind Bonus Effect!"""
MessagePackTitle1-182#0,"""The Light Bonus Effect!"""
MessagePackTitle1-183#0,"""The Dark Bonus Effect!"""
MessagePackTitle1-184#0,"""The Element Bonus Effect!"""
MessagePackTitle1-185#0,"""When a Hostile is Tainted"""
MessagePackTitle1-186#0,"""When a Hostile has a Special Name"""
MessagePackTitle1-187#0,"""Fhan-Jee Data"""
MessagePackTitle1-188#0,"""Bayze Data"""
MessagePackTitle1-189#0,"""Weather Alert - Thunderstorms"""
MessagePackTitle1-190#0,"""Weather Alert - Thermal Waves"""
MessagePackTitle1-191#0,"""Weather Alert - Blizzard"""
MessagePackTitle1-192#0,"""Weather Alert - Electrical Discharge"""
MessagePackTitle1-193#0,"""Weather Alert - Pitch Black Particles"""
MessagePackTitle1-1#1,"""空中機雷について"""
MessagePackTitle1-2#1,"""捕獲地雷について"""
MessagePackTitle1-3#1,"""サークルレーザーとは"""
MessagePackTitle1-4#1,"""カースセントリーとは"""
MessagePackTitle1-5#1,"""スパイクピラーとは"""
MessagePackTitle1-6#1,"""ブルフの情報"""
MessagePackTitle1-7#1,"""エネルギータンクに注意"""
MessagePackTitle1-8#1,"""スパイクフローに注意"""
MessagePackTitle1-9#1,"""ガトリングトーチの活用"""
MessagePackTitle1-10#1,"""便利なコンテナ"""
MessagePackTitle1-11#1,"""音声認識スイッチについて"""
MessagePackTitle1-12#1,"""カタパルトについて"""
MessagePackTitle1-13#1,"""アクセラレーターの活用"""
MessagePackTitle1-14#1,"""レーザーセンサーに注意"""
MessagePackTitle1-15#1,"""クレクレスイッチとは"""
MessagePackTitle1-16#1,"""ターゲットスイッチとは"""
MessagePackTitle1-17#1,"""シンクロスイッチとは"""
MessagePackTitle1-18#1,"""ヘビースイッチとは"""
MessagePackTitle1-19#1,"""コンボスイッチとは"""
MessagePackTitle1-20#1,"""セーフティスイッチとは"""
MessagePackTitle1-21#1,"""バウンドアタッカーの活用"""
MessagePackTitle1-22#1,"""回復ポッドの効能"""
MessagePackTitle1-23#1,"""回復装置の利用法"""
MessagePackTitle1-24#1,"""励起結晶を見つけたら"""
MessagePackTitle1-25#1,"""焼夷床に注意"""
MessagePackTitle1-26#1,"""エマージェンシーガンの活用"""
MessagePackTitle1-27#1,"""マシンファクトリーの情報"""
MessagePackTitle1-28#1,"""ベルトコンベアについて"""
MessagePackTitle1-29#1,"""隔離島について"""
MessagePackTitle1-30#1,"""磁雷針について"""
MessagePackTitle1-31#1,"""竜巻に注意"""
MessagePackTitle1-32#1,"""龍の影が見えた時は"""
MessagePackTitle1-33#1,"""グリムモノリスの性質"""
MessagePackTitle1-34#1,"""ダーカイムの情報"""
MessagePackTitle1-35#1,"""ナベリウス\u3000森林その１"""
MessagePackTitle1-36#1,"""ナベリウス\u3000森林その２"""
MessagePackTitle1-37#1,"""ナベリウス\u3000森林その３"""
MessagePackTitle1-38#1,"""ナベリウス\u3000森林その４"""
MessagePackTitle1-39#1,"""アムドゥスキア\u3000火山洞窟その１"""
MessagePackTitle1-40#1,"""アムドゥスキア\u3000火山洞窟その２"""
MessagePackTitle1-41#1,"""アムドゥスキア\u3000火山洞窟その３"""
MessagePackTitle1-42#1,"""アムドゥスキア\u3000火山洞窟その４"""
MessagePackTitle1-43#1,"""ナベリウス\u3000凍土その１"""
MessagePackTitle1-44#1,"""ナベリウス\u3000凍土その２"""
MessagePackTitle1-45#1,"""ナベリウス\u3000凍土その３"""
MessagePackTitle1-46#1,"""ナベリウス\u3000凍土その４"""
MessagePackTitle1-47#1,"""アークスシップ\u3000市街地その１"""
MessagePackTitle1-48#1,"""アークスシップ\u3000市街地その２"""
MessagePackTitle1-49#1,"""アークスシップ\u3000市街地その３"""
MessagePackTitle1-50#1,"""アークスシップ\u3000市街地その４"""
MessagePackTitle1-51#1,"""リリーパ\u3000砂漠その１"""
MessagePackTitle1-52#1,"""リリーパ\u3000砂漠その２"""
MessagePackTitle1-53#1,"""リリーパ\u3000砂漠その３"""
MessagePackTitle1-54#1,"""リリーパ\u3000砂漠その４"""
MessagePackTitle1-55#1,"""リリーパ\u3000地下坑道その１"""
MessagePackTitle1-56#1,"""リリーパ\u3000地下坑道その２"""
MessagePackTitle1-57#1,"""リリーパ\u3000地下坑道その３"""
MessagePackTitle1-58#1,"""リリーパ\u3000地下坑道その４"""
MessagePackTitle1-59#1,"""アムドゥスキア\u3000浮遊大陸その１"""
MessagePackTitle1-60#1,"""アムドゥスキア\u3000浮遊大陸その２"""
MessagePackTitle1-61#1,"""アムドゥスキア\u3000浮遊大陸その３"""
MessagePackTitle1-62#1,"""アムドゥスキア\u3000浮遊大陸その４"""
MessagePackTitle1-63#1,"""ナベリウス\u3000遺跡その１"""
MessagePackTitle1-64#1,"""ナベリウス\u3000遺跡その２"""
MessagePackTitle1-65#1,"""ナベリウス\u3000遺跡その３"""
MessagePackTitle1-66#1,"""ナベリウス\u3000遺跡その４"""
MessagePackTitle1-67#1,"""追加配信分は現状必要無し"""
MessagePackTitle1-68#1,"""追加配信分は現状必要無し"""
MessagePackTitle1-69#1,"""追加配信分は現状必要無し"""
MessagePackTitle1-70#1,"""追加配信分は現状必要無し"""
MessagePackTitle1-71#1,"""クラーダについて"""
MessagePackTitle1-72#1,"""ダガンについて"""
MessagePackTitle1-73#1,"""ダガン・ネロについて"""
MessagePackTitle1-74#1,"""エル・ダガンについて"""
MessagePackTitle1-75#1,"""エル・アーダについて"""
MessagePackTitle1-76#1,"""カルダーゴについて"""
MessagePackTitle1-77#1,"""ブリアーダについて"""
MessagePackTitle1-78#1,"""グワナーダについて"""
MessagePackTitle1-79#1,"""ダーク・ラグネについて"""
MessagePackTitle1-80#1,"""ダーク・アグラニについて"""
MessagePackTitle1-81#1,"""ミクダについて"""
MessagePackTitle1-82#1,"""オル・ミクダについて"""
MessagePackTitle1-83#1,"""ダーガッシュについて"""
MessagePackTitle1-84#1,"""ダガッチャについて"""
MessagePackTitle1-85#1,"""ミ・ミクダについて"""
MessagePackTitle1-86#1,"""ガウォンダについて"""
MessagePackTitle1-87#1,"""グウォンダについて"""
MessagePackTitle1-88#1,"""クラバーダについて"""
MessagePackTitle1-89#1,"""キュクロナーダについて"""
MessagePackTitle1-90#1,"""サイクロネーダについて"""
MessagePackTitle1-91#1,"""ウォルガーダについて"""
MessagePackTitle1-92#1,"""アロナガーダについて"""
MessagePackTitle1-93#1,"""ガーディンについて"""
MessagePackTitle1-94#1,"""ガーディナンについて"""
MessagePackTitle1-95#1,"""スパルダンＡについて"""
MessagePackTitle1-96#1,"""スパルガンについて"""
MessagePackTitle1-97#1,"""スパルザイルについて"""
MessagePackTitle1-98#1,"""シグノビートについて"""
MessagePackTitle1-99#1,"""シグノガンについて"""
MessagePackTitle1-100#1,"""シグノレッドについて"""
MessagePackTitle1-101#1,"""ギルナスについて"""
MessagePackTitle1-102#1,"""ギルナッチについて"""
MessagePackTitle1-103#1,"""トランマイザーについて"""
MessagePackTitle1-104#1,"""トランゼクシアについて"""
MessagePackTitle1-105#1,"""ビッグヴァーダーについて"""
MessagePackTitle1-106#1,"""キングヴァーダーについて"""
MessagePackTitle1-107#1,"""ディッグについて"""
MessagePackTitle1-108#1,"""ディグナッツについて"""
MessagePackTitle1-109#1,"""シル・ディーニアンについて"""
MessagePackTitle1-110#1,"""ソル・ディーニアンについて"""
MessagePackTitle1-111#1,"""ディーニアンについて"""
MessagePackTitle1-112#1,"""シル・サディニアンについて"""
MessagePackTitle1-113#1,"""ソル・サディニアンについて"""
MessagePackTitle1-114#1,"""サディニアンについて"""
MessagePackTitle1-115#1,"""バリドランについて"""
MessagePackTitle1-116#1,"""フォードランについて"""
MessagePackTitle1-117#1,"""ノーディランについて"""
MessagePackTitle1-118#1,"""フォードランサについて"""
MessagePackTitle1-119#1,"""ノーディランサについて"""
MessagePackTitle1-120#1,"""ウィンディラについて"""
MessagePackTitle1-121#1,"""キャタドランについて"""
MessagePackTitle1-122#1,"""カタドラールについて"""
MessagePackTitle1-123#1,"""キャタドランサについて"""
MessagePackTitle1-124#1,"""ヴォル・ドラゴンについて"""
MessagePackTitle1-125#1,"""バーン・ドラールについて"""
MessagePackTitle1-126#1,"""ドラゴンブリーガについて"""
MessagePackTitle1-127#1,"""フリザ・ドラールについて"""
MessagePackTitle1-128#1,"""アギニスについて"""
MessagePackTitle1-129#1,"""ウーダンについて"""
MessagePackTitle1-130#1,"""ザウーダンについて"""
MessagePackTitle1-131#1,"""ガルフルについて"""
MessagePackTitle1-132#1,"""ファンガルフルについて"""
MessagePackTitle1-133#1,"""ガルフについて"""
MessagePackTitle1-134#1,"""フォンガルフについて"""
MessagePackTitle1-135#1,"""ガロンゴについて"""
MessagePackTitle1-136#1,"""イエーデについて"""
MessagePackTitle1-137#1,"""キングイエーデについて"""
MessagePackTitle1-138#1,"""ロックベアについて"""
MessagePackTitle1-139#1,"""ログベルトについて"""
MessagePackTitle1-140#1,"""マルモスについて"""
MessagePackTitle1-141#1,"""デ・マルモスについて"""
MessagePackTitle1-142#1,"""ダル・マルリについて"""
MessagePackTitle1-143#1,"""ファングバンサーについて"""
MessagePackTitle1-144#1,"""ファングバンシーについて"""
MessagePackTitle1-145#1,"""バンサ・オングについて"""
MessagePackTitle1-146#1,"""バンサ・ドンナについて"""
MessagePackTitle1-147#1,"""スノウバンサーについて"""
MessagePackTitle1-148#1,"""スノウバンシーについて"""
MessagePackTitle1-149#1,"""バンサ・オランについて"""
MessagePackTitle1-150#1,"""バンサ・エレナについて"""
MessagePackTitle1-151#1,"""ナヴ・ラッピーについて"""
MessagePackTitle1-152#1,"""ラッピーについて"""
MessagePackTitle1-153#1,"""セント・ラッピーについて"""
MessagePackTitle1-154#1,"""ラタン・ラッピーについて"""
MessagePackTitle1-155#1,"""エグ・ラッピーについて"""
MessagePackTitle1-156#1,"""Mr.アンブラについて"""
MessagePackTitle1-157#1,"""レーダーマップについて"""
MessagePackTitle1-158#1,"""エマージェンシートライアルとは"""
MessagePackTitle1-159#1,"""ＰＳＥとは"""
MessagePackTitle1-160#1,"""ＰＳＥバーストとは"""
MessagePackTitle1-161#1,"""効果説明・打撃アップとは！"""
MessagePackTitle1-162#1,"""効果説明・射撃アップとは！"""
MessagePackTitle1-163#1,"""効果説明・法撃アップとは！"""
MessagePackTitle1-164#1,"""効果説明・ＰＰ消費減少とは！"""
MessagePackTitle1-165#1,"""効果説明・希少種出現率ＵＰとは！"""
MessagePackTitle1-166#1,"""効果説明・経験値増加とは！"""
MessagePackTitle1-167#1,"""効果説明・メセタアップとは！"""
MessagePackTitle1-168#1,"""効果説明・侵食核顕現率ＵＰとは！"""
MessagePackTitle1-169#1,"""効果説明・チームＰ付与とは！"""
MessagePackTitle1-170#1,"""効果説明・フレイムブーストとは！"""
MessagePackTitle1-171#1,"""効果説明・アイスブーストとは！"""
MessagePackTitle1-172#1,"""効果説明・サンダーブーストとは！"""
MessagePackTitle1-173#1,"""効果説明・ウィンドブーストとは！"""
MessagePackTitle1-174#1,"""効果説明・ライトブーストとは！"""
MessagePackTitle1-175#1,"""効果説明・ダークブーストとは！"""
MessagePackTitle1-176#1,"""効果説明・ブラスト上昇率ＵＰ！"""
MessagePackTitle1-177#1,"""効果説明・Ｃ率ＵＰとは！"""
MessagePackTitle1-178#1,"""効果説明・フレイムボーナスとは！"""
MessagePackTitle1-179#1,"""効果説明・アイスボーナスとは！"""
MessagePackTitle1-180#1,"""効果説明・サンダーボーナスとは！"""
MessagePackTitle1-181#1,"""効果説明・ウィンドボーナスとは！"""
MessagePackTitle1-182#1,"""効果説明・ライトボーナスとは！"""
MessagePackTitle1-183#1,"""効果説明・ダークボーナスとは！"""
MessagePackTitle1-184#1,"""効果説明・エレメントボーナス！"""
MessagePackTitle1-185#1,"""侵食核がくっついていたら……"""
MessagePackTitle1-186#1,"""仰々しい名前がついていたら……"""
MessagePackTitle1-187#1,"""ファンジの情報"""
MessagePackTitle1-188#1,"""ベイゼの情報"""
MessagePackTitle1-189#1,"""お天気注意報・雷雨"""
MessagePackTitle1-190#1,"""お天気注意報・熱波"""
MessagePackTitle1-191#1,"""お天気注意報・ブリザード"""
MessagePackTitle1-192#1,"""お天気注意報・放電現象"""
MessagePackTitle1-193#1,"""お天気注意報・真っ黒不思議粒子"""
