EnemyWeak#0,"""단숨에 쓸어 버린다"""
CondPanic#44,"""어, 어, 어떡하지이이!<br>뭘 어떻게 해야 했더라!<br>보이는 대로 날려 버릴까?"""
CondStan#44,"""모, 몸을 마음대로 못 움직이겠어……!"""
CondMirage#44,"""뭔가 시야가 몽롱해……"""
Die#44,"""실패해 버렸어, 미안해……"""
ThankHeal#44,"""아……고마워"""
ThankBuff#44,"""후훗, 고마워"""
ThankCure#44,"""으으, 미안해, 고마워"""
DefeatEnemy#44,"""끝난 것 같네"""
LevelUp#44,"""앗, 축하해!"""
InvokeSkill1#43,"""전력으로, 간다!"""
InvokeSkill2#42,"""하아아아앗!"""
InvokeSkill3#42,"""이걸로 끝낼게!"""
TechFire#16,"""내가 할 수 있는 걸, 최선을 다해!"""
TechIce#20,"""지지 않을 거야!"""
TechThunder#16,"""봐주지 않을 거야!"""
TechWind#16,"""베어 버려!"""
TechLight#17,"""빛이여."""
TechDark#16,"""꿰뚫어!"""
PBFull#44,"""<%me>!<br>우리도 준비됐어!"""
PBRelease#44,"""난 이제……혼자가 아니니까!"""
TacticsFree#9,"""응, 알겠어!<br>자유롭게 움직여 볼게!"""
TacticsGuard#9,"""여긴 참아야 할 때란 거지<br>맡겨 줘, 기다리는 건 잘해!"""
TacticsMassedAttack#9,"""공격을 한곳에 집중하자……<br>응, 알겠어!"""
TacticsAttack#9,"""내가 미끼가 될 테니까<br>그 틈에 부탁해!"""
Avoid#44,"""얏!"""
HealSelf#44,"""회복, 회복!"""
BuffSelf#44,"""보조도 잊으면 안 되지"""
HealOther#44,"""괜찮아?<br>무리하지 마"""
BuffOther#44,"""아, 잠깐 기다려<br>보조도 걸어 줄게"""
QuestStart1#44,"""좋아, 힘낼게!"""
QuestStart2#4,"""너와 함께라면……응<br>분명 괜찮을 거야!"""
QuestEnd1#44,"""정말 든든했어!"""
QuestEnd2#7,"""정말 대단해!\u3000대단해!"""
IncidentStart#44,"""어, 뭐야, 무슨 일이 일어난 거야?"""
IncidentSuccess#44,"""다행이다, 어떻게든 해냈네"""
IncidentFailure#44,"""으으……미안해……<br>발목만 잡았어……"""
PSE#44,"""포톤의 느낌이 변했어……<br>PSE라는 건가?"""
PSELevelUp#44,"""계속 이어지는 것 같아!<br>더욱더 힘내자!"""
PSEBurst#44,"""와아……이게 PSE 버스트라는<br>거구나, 굉장해!"""
HP30#44,"""윽……아, 아직 멀었어<br>난 아직 괜찮아!"""
HP10#44,"""……으윽!<br>미안, 조금 위험할지도……"""
ItemRare#44,"""앗, 그거<br>희귀한 물건이지?"""
DamageSmall#44,"""아야!"""
DamageMiddle#44,"""아야!"""
DamageLarge#44,"""와와왓!"""
Trap#44,"""어, 어, 함정!?"""
ThankTrapRescue#44,"""미안해……<br>정말 큰 도움 됐어"""
TrapRescueOther#44,"""괜찮아?<br>함정은 조심해"""
MemberDamaged#44,"""무리하지 말고 물러나!<br>괜찮아, 나도 있으니까!"""
MemberDead#44,"""이럴 수가!<br>이렇게 될 줄은……!"""
AbilityExe#44,"""응, 힘낼 테니까!"""
AbilitySpecial#44,"""좋아, 힘내 볼까!"""
Resurrect#44,"""이번엔 힘낼게!"""
PartyJoin#44,"""/ci1 1 잘 부탁해!"""
Marvelous#44,"""대단해!\u3000나도 힘내야겠어!"""
IncidentJsApcBegin#44,"""/mn38 /ci2 2 아, 다행이다. 순록 모자를 쓴<br>클라리스 크레이스를 못 봤어?<br>...아니, 우선 싸워야지!"""
IncidentJsApcFailure#44,"""으으……미안해……<br>먼저 퇴각할게"""
IncidentJsApcSuccess#44,"""/mn37 /ci2 2 사실은 너와 함께 보내고 싶지만<br>같이 온 아이를 찾아야 해서……<br>그러니까, 메리 크리스마스!"""
IncidentJsApcBeginEvo#42,"""/mn37 /ci2 2 아직 더 오는 모양이네.<br>성야에 너와 함께 싸울 수 있다면<br>더 와도 괜찮을지도...?"""
IncidentJsApcSuccessEvo#0,"""/mn37 /ci2 2 사실은 너와 함께 보내고 싶지만<br>같이 온 아이를 찾아야 해서……<br>그러니까, 메리 크리스마스!"""
EnemyWeak#45,"""한꺼번에 날려 버리겠어!"""
EnemyLarge#45,"""크기 따윈 상관없어!<br>한꺼번에 날려 버린다!"""
EnemyBoss#45,"""강적이군!<br>나에게 맡겨 둬!"""
EnemyRare#45,"""응, 저 녀석……희귀한 놈이야!"""
EnemyBoost#45,"""이 기척……위험한 녀석이다.<br>무리하지 말고 연계하자!"""
DestroyEnemy1#45,"""제대로 들어갔다!"""
DestroyEnemy2#45,"""아름답지!"""
DestroyEnemy3#44,"""넋을 잃고 봐도 좋다고!"""
CondFreeze#45,"""차가워, 차갑다고!<br>이 녀석!"""
CondBurn#45,"""뜨거워!\u3000뜨겁다고!\u3000젠장!"""
CondShock#45,"""저리잖아!\u3000뭐야, 이건!"""
CondPoison#45,"""독인가… 으윽, 기분 나빠."""
CondPanic#45,"""혼란스러워도<br>전부 날려 버리면 문제없다!"""
CondStan#45,"""으, 움직일 수 없어… 뭐야, 이건!"""
CondMirage#45,"""시야가 이상하다고!<br>뭐야, 이건!"""
Die#45,"""아직 모두 싸우고 있는데……나는……"""
ThankHeal#45,"""고마워, 살았어!"""
ThankBuff#45,"""고마워, 감사한다!"""
ThankCure#45,"""오, 기분 상쾌한데!"""
DefeatEnemy#45,"""후훗, 이걸로 끝이군!"""
LevelUp#45,"""흥, 난 더 강하다!"""
TechFire#17,"""전부 한꺼번에 불태워 주마!"""
PBFull#45,"""그 정도로 해 둬라, 네놈!"""
PBRelease#45,"""난 지지 않아!<br>내가 지닌 이 이름을 걸고!"""
TacticsFree#10,"""그럼 난 자유롭게 하겠다!"""
TacticsGuard#10,"""에이, 방어만 하는 건 재미없어…"""
TacticsMassedAttack#10,"""집중적으로, 집요하게, 불태워 주마!"""
Avoid#45,"""훤히 보인다!"""
HealSelf#45,"""단숨에 회복이다!"""
BuffSelf#45,"""보조도 할 수 있다고!"""
HealOther#45,"""네놈, 회복을 잊어서 어쩌려고!"""
BuffOther#45,"""네놈, 보조를 잊지 마라!"""
QuestStart1#45,"""좋아, 간다. 따라와라!"""
QuestStart2#5,"""네놈이 꼭 부탁한다고 해서다!"""
QuestEnd1#45,"""흐흥, 이 정도는 평범하다."""
QuestEnd2#8,"""뭐, 움직이기 편했다는 건<br>인정해 주마!"""
IncidentStart#45,"""…응?<br>뭔가 일어나는 건가?"""
IncidentSuccess#45,"""대성공이지!"""
IncidentFailure#45,"""에이…"""
PSE#45,"""오오, 뭐야 이건!<br>포톤이 술렁이고 있다고!"""
PSELevelUp#45,"""왠지 두근거리기 시작했다!<br>자, 더 이어 가자!"""
PSEBurst#45,"""오오, 이건 굉장하군!<br>소문 이상인 상태다!"""
HP30#45,"""나중에 배로 갚아 주마!"""
HP10#45,"""…이 내가, 이렇게!"""
ItemRare#45,"""원하는 만큼 가져가라!"""
DamageSmall#45,"""아야!"""
DamageMiddle#45,"""으윽"""
DamageLarge#45,"""으으윽……!"""
Trap#45,"""함정?\u3000치사하잖아, 뭐야 그건!"""
ThankTrapRescue#45,"""미안하다, 덕분에 살았다!"""
TrapRescueOther#45,"""함정을 조심해!"""
MemberDamaged#45,"""나한테 맡기고 물러나라!"""
MemberDead#45,"""…용서하지 않겠다, 절대로!"""
AbilityExe#45,"""/toge 흐흥, 절호조다!"""
AbilitySpecial#45,"""/toge 좋아, 내가 하겠다!"""
Resurrect#45,"""……나에게도 지키고 싶은 게 생겼어!"""
PartyJoin#45,"""/ci1 1 네놈이 꼭 부탁한다고 해서다!"""
Marvelous#45,"""흥, 제법 움직이잖아."""
IncidentJsApcBegin#45,"""/mn38 /ci2 2 휴이!\u3000선대!\u3000어디 갔어?<br>오, 네놈인가!\u3000마침 잘 왔다!<br>이 녀석들을 쓰러뜨리게 도와라!"""
IncidentJsApcFailure#45,"""/mn10  큭……한심하군……<br>미안하다, 난 물러나겠다."""
IncidentJsApcSuccess#45,"""/mn37 /ci2 2 이 모습이 신경 쓰이나?<br>성야의 수호수, 순록 아저씨다!<br>모두의 성야는 내가 지킨다!\u3000또 보자!"""
EnemyWeak#46,"""이런 녀석들은<br>실력의 10%도 필요 없어"""
EnemyLarge#46,"""덩치만 클 뿐이잖아!"""
EnemyBoss#46,"""꽤 상대할 맛이 나겠네.<br>가끔은 50% 정도로<br>상대해 줄까!"""
EnemyRare#46,"""저건 100% 보기 드문 녀석이야!"""
EnemyBoost#46,"""부스트 에너미네.<br>110% 정도 강한 녀석인가?"""
DestroyEnemy1#46,"""별것도 아니네"""
DestroyEnemy2#46,"""자, 정리됐어!"""
DestroyEnemy3#45,"""이걸로 100% 끝이야!"""
CondFreeze#46,"""거짓말!?\u3000차가워……!"""
CondBurn#46,"""잠깐, 왜 불타는 거야!?<br>이런 건 계산에 없었다고!"""
CondShock#46,"""꺅!?\u3000저, 저려서……"""
CondPoison#46,"""으윽, 기분 나빠……<br>왜 내가 이런 꼴을……"""
CondPanic#46,"""이 내가 혼란에 빠질<br>리가 없잖아!<br>1 더하기 1은 당연히 5지!"""
CondStan#46,"""으으, 움직일 수 없어!"""
CondMirage#46,"""눈앞이 흐려서 안 보여!"""
Die#46,"""이런 결말……<br>100% 있을 수 없어……!"""
ThankHeal#46,"""고, 고마워……"""
ThankBuff#46,"""제법 센스 있잖아!"""
ThankCure#46,"""살았어!"""
DefeatEnemy#46,"""뭐, 이 정도는 여유랄까?"""
LevelUp#46,"""120% 강해졌단 뜻이야?"""
InvokeSkill1#44,"""내 적수가 아니야!"""
InvokeSkill2#43,"""100% 날아가 버려!"""
InvokeSkill3#43,"""200%로 맞서 주겠어!"""
TechFire#18,"""간다!"""
TechIce#21,"""부서져라!"""
TechThunder#17,"""터져라!"""
TechWind#17,"""날아가!"""
TechLight#18,"""사라져!"""
TechDark#17,"""가라앉아!"""
PBFull#46,"""각오는 됐어?"""
PBRelease#46,"""여기까지 전부 100%, 계산대로야!"""
Avoid#46,"""안 맞는다니까!"""
HealSelf#46,"""후우, 계산이 어긋날 뻔했네"""
BuffSelf#46,"""후훗. 이걸로 빈틈은 없어!"""
HealOther#46,"""회복했으면 바로 움직여!"""
BuffOther#46,"""내가 이만큼 해 줬으니<br>그에 맞는 결과를 보여 줘!"""
QuestStart1#46,"""그럼 시작할게!"""
QuestEnd1#46,"""뭐, 내가 함께하니까<br>이 정도는 당연하지"""
IncidentStart#46,"""예상 범위 안이야"""
IncidentSuccess#46,"""해냈네!"""
IncidentFailure#46,"""잠깐, 제대로 하라고!"""
PSE#46,"""이게 뭐지?\u3000이상한 감각……"""
PSELevelUp#46,"""아직 더 이어 갈 수 있겠네"""
PSEBurst#46,"""왔다, 왔어!<br>파티 시작이야!"""
HP30#46,"""나보다<br>네 걱정부터 하는 게 낫지 않아?"""
HP10#46,"""90% 위험할지도……"""
ItemRare#46,"""앗, 보기 드문 게 나왔어?<br>초콜릿 재료로 쓰자!"""
DamageSmall#46,"""아파"""
DamageMiddle#46,"""아프다니까!"""
DamageLarge#46,"""내가 밀리고 있어……!"""
Trap#46,"""함정이라니, 치사한 수를 쓰네……"""
ThankTrapRescue#46,"""좀 더 빨리 구하라니까!<br>농담이야. 고마워"""
TrapRescueOther#46,"""정말, 뭐 하는 거야!"""
MemberDamaged#46,"""조심해!"""
MemberDead#46,"""이럴 수가……<br>거짓말이지……?"""
AbilityExe#46,"""기합이 들어가기 시작했어!<br>각오하고 덤벼!"""
AbilitySpecial#46,"""지금이라면 120% 힘을 낼 수 있겠어!"""
Resurrect#46,"""100%……용서하지 않을 거야!"""
PartyJoin#46,"""/ci2 4 내가 있으면 180% 괜찮아!"""
Marvelous#46,"""질 수 없지!"""
IncidentJsApcBegin#46,"""/ci2 2 자, 얼른 정리하자!"""
IncidentJsApcFailure#46,"""잠깐!<br>발목 잡지 말라고!"""
IncidentJsApcSuccess#46,"""/ci2 1 제법이잖아.<br>30% 정도는 인정해 줄게"""
IncidentJsApcBeginEvo#43,"""/ci2 2 100% 다음이 올 것 같은 느낌이야.<br>내 계산은 틀림없어!"""
EnemyWeak#47,"""……방해될 뿐이야. 쓸어 버릴게"""
EnemyLarge#47,"""……크네, 하지만 그뿐이야"""
EnemyBoss#47,"""……조금 조심하는 게 좋겠어"""
EnemyRare#47,"""……보기 드문 적. 잘 관찰하자"""
EnemyBoost#47,"""……저 적은 위험해. 조심해"""
DestroyEnemy1#47,"""……이 정도는 여유로워"""
DestroyEnemy2#47,"""……자, 정리 끝이야"""
DestroyEnemy3#46,"""……내 동화에서 벗어날 순 없어"""
CondFreeze#47,"""……몸이 얼어붙으면 이렇게 되는구나.<br>메모……하고 싶은데 손이 안 움직여……"""
CondBurn#47,"""……뜨거워, 메모가 타 버려"""
CondShock#47,"""……몸에 전류가 흘러, 으응!"""
CondPoison#47,"""……이게 독이 퍼지는 경험.<br>기분 나쁘네, 메모 메모……"""
CondPanic#47,"""……나, 전혀 혼란스럽지 않은걸"""
CondStan#47,"""……움직일 수 없어. 큰 위기야"""
CondMirage#47,"""……시야 이상. 흐릿해.<br>이 경험을 메모하고……<br>쓴 글자가 삐뚤어지네"""
Die#47,"""……경험이야말로 최고의 창작이니까……"""
ThankHeal#47,"""……회복, 고마워"""
ThankBuff#47,"""……보조는 중요해. 살았어"""
ThankCure#47,"""……나았어. 고마워"""
DefeatEnemy#47,"""……전부 쓰러뜨린 것 같아"""
LevelUp#47,"""……주인공을 너무 강하게 만들었나?"""
InvokeSkill1#45,"""……거기. 놓치지 않아"""
InvokeSkill2#44,"""……이건, 어때?"""
InvokeSkill3#44,"""……네 이야기는 여기서 연재 중단이야"""
TechFire#19,"""……터져라, 불꽃"""
TechIce#22,"""……얼어붙어라, 얼음"""
TechThunder#18,"""……울려 퍼져라, 번개"""
TechWind#18,"""……휘몰아쳐라, 바람"""
TechLight#19,"""……꿰뚫어라, 빛"""
TechDark#18,"""……물들여라, 어둠"""
PBFull#47,"""……준비 완료"""
PBRelease#47,"""……창작 의욕이 꺾이니까, 사라져"""
Avoid#47,"""……앞이 읽히는 전개네"""
HealSelf#47,"""……아쉽게 됐네"""
BuffSelf#47,"""……이건 다음 공격을 위한 복선"""
HealOther#47,"""……회복해 뒀으니까"""
BuffOther#47,"""……자. 강해졌어"""
QuestStart1#47,"""……새로운 이야기가 지금 시작돼"""
QuestEnd1#47,"""……좋은 글이 써질 것 같아"""
IncidentStart#47,"""……이게 이야기라면<br>이제 무슨 일이 생길 때인데……<br>아, 정말 왔네"""
IncidentSuccess#47,"""……훌륭해"""
IncidentFailure#47,"""……실패는 성공의 어머니. 다음이 있어"""
PSE#47,"""……왠지 이상한 감각"""
PSELevelUp#47,"""……계속될 것 같아"""
PSEBurst#47,"""……대단해. 이 경험, 메모해야 해"""
HP30#47,"""……이 정도로<br>내 창작을 멈출 순 없어"""
HP10#47,"""……아직 창작을 멈출 순……"""
ItemRare#47,"""……그걸 초콜릿 재료로 쓴다거나<br>쿠우라면 정말 그럴 것 같네……"""
DamageSmall#47,"""큿"""
DamageMiddle#47,"""……방해하지 마"""
DamageLarge#47,"""……생생한 아픔"""
Trap#47,"""……여기서 함정이라, 고전적이네"""
ThankTrapRescue#47,"""……조금 더 경험해도 괜찮았지만<br>도와줘서 고마워"""
TrapRescueOther#47,"""……조금 더 관찰하고 싶었을지도"""
MemberDamaged#47,"""……방심하고 있어?"""
MemberDead#47,"""……용납할 수 없는 결말이야"""
AbilityExe#47,"""……상태 좋아. 몸이 가벼워.<br>기분이 오르기 시작했어"""
AbilitySpecial#47,"""……지금이라면 대단한 작품을 쓸 것 같아"""
Resurrect#47,"""……재미있는 꿈을 꾸고 있었는데"""
PartyJoin#47,"""/ci2 2 ……너와 함께 엮어 갈 이야기, 기대돼"""
Marvelous#47,"""……창작 의욕이 솟아나네.<br>질 수 없지"""
IncidentJsApcBegin#47,"""/ci1 3 ……어제의 적은 오늘의 친구.<br>이 정석적인 느낌, 싫지 않아"""
IncidentJsApcFailure#47,"""……어라, 잘 안 됐어.<br>뭐, 누구나 상태가 안 좋을 때는 있어"""
IncidentJsApcSuccess#47,"""/ci2 3 ……역시 대단해. 이견 없어.<br>이야기라면 조금 고전하는 편이<br>재미있었을지도?"""
IncidentJsApcBeginEvo#44,"""/ci5 2 ……이걸로 끝.<br>이라고 하긴 어려운 모양이네"""
EnemyWeak#48,"""이 정도면 괜찮아"""
EnemyLarge#48,"""와, 크다!"""
EnemyBoss#48,"""강해 보여……그래도 안 져!"""
EnemyRare#48,"""와왓, 희귀종이다!"""
EnemyBoost#48,"""……정말 불길한 느낌의 적이야"""
WeatherChange#3,"""대기의 포톤이 술렁이는 건가?"""
DestroyEnemy1#48,"""응, 잘됐어!"""
DestroyEnemy2#48,"""좋아, 느낌 좋아!"""
DestroyEnemy3#47,"""해냈다!"""
CondFreeze#48,"""어, 얼어붙었어!?"""
CondBurn#48,"""뜨거, 뜨거워!"""
CondShock#48,"""모, 몸이 저려어어……!"""
CondPoison#48,"""으으……독인가, 속이 안 좋아……"""
CondPanic#48,"""어, 어, 어떡하지이이!<br>뭘 어떻게 해야 했더라!<br>보이는 대로 날려 버릴까?"""
CondStan#48,"""모, 몸을 마음대로 못 움직이겠어……!"""
CondMirage#48,"""뭔가 시야가 몽롱해……"""
Die#48,"""실패해 버렸어, 미안해……"""
ThankHeal#48,"""아……고마워"""
ThankBuff#48,"""후훗, 고마워"""
ThankCure#48,"""으으, 미안해, 고마워"""
DefeatEnemy#48,"""끝난 것 같네"""
LevelUp#48,"""앗, 축하해!"""
InvokeSkill1#46,"""전력으로, 간다!"""
InvokeSkill2#45,"""하아아아앗!"""
InvokeSkill3#45,"""이걸로 끝낼게!"""
TechFire#20,"""내가 할 수 있는 걸, 최선을 다해!"""
TechIce#23,"""지지 않을 거야!"""
TechThunder#19,"""봐주지 않을 거야!"""
TechWind#19,"""베어 버려!"""
TechLight#20,"""빛이여."""
TechDark#19,"""꿰뚫어!"""
PBFull#48,"""<%me>!<br>우리도 준비됐어!"""
PBRelease#48,"""난 이제……혼자가 아니니까!"""
TacticsFree#11,"""응, 알겠어!<br>자유롭게 움직여 볼게!"""
TacticsGuard#11,"""여긴 참아야 할 때란 거지<br>맡겨 줘, 기다리는 건 잘해!"""
TacticsMassedAttack#11,"""공격을 한곳에 집중하자……<br>응, 알겠어!"""
TacticsAttack#10,"""내가 미끼가 될 테니까<br>그 틈에 부탁해!"""
Avoid#48,"""얏!"""
HealSelf#48,"""회복, 회복!"""
BuffSelf#48,"""보조도 잊으면 안 되지"""
HealOther#48,"""괜찮아?<br>무리하지 마"""
BuffOther#48,"""아, 잠깐 기다려<br>보조도 걸어 줄게"""
QuestStart1#48,"""좋아, 힘낼게!"""
QuestStart2#6,"""너와 함께라면……응<br>분명 괜찮을 거야!"""
QuestEnd1#48,"""정말 든든했어!"""
QuestEnd2#9,"""정말 대단해!\u3000대단해!"""
IncidentStart#48,"""어, 뭐야, 무슨 일이 일어난 거야?"""
IncidentSuccess#48,"""다행이다, 어떻게든 해냈네"""
IncidentFailure#48,"""으으……미안해……<br>발목만 잡았어……"""
PSE#48,"""포톤의 느낌이 변했어……<br>PSE라는 건가?"""
PSELevelUp#48,"""계속 이어지는 것 같아!<br>더욱더 힘내자!"""
PSEBurst#48,"""와아……이게 PSE 버스트라는<br>거구나, 굉장해!"""
HP30#48,"""윽……아, 아직 멀었어<br>난 아직 괜찮아!"""
HP10#48,"""……으윽!<br>미안, 조금 위험할지도……"""
ItemRare#48,"""앗, 그거<br>희귀한 물건이지?"""
DamageSmall#48,"""아야!"""
DamageMiddle#48,"""아야!"""
DamageLarge#48,"""와와왓!"""
Trap#48,"""어, 어, 함정!?"""
ThankTrapRescue#48,"""미안해……<br>정말 큰 도움 됐어"""
TrapRescueOther#48,"""괜찮아?<br>함정은 조심해"""
MemberDamaged#48,"""무리하지 말고 물러나!<br>괜찮아, 나도 있으니까!"""
MemberDead#48,"""이럴 수가!<br>이렇게 될 줄은……!"""
AbilityExe#48,"""응, 힘낼 테니까!"""
AbilitySpecial#48,"""좋아, 힘내 볼까!"""
Resurrect#48,"""이번엔 힘낼게!"""
PartyJoin#48,"""/ci1 1 잘 부탁해!"""
Marvelous#48,"""대단해!\u3000나도 힘내야겠어!"""
IncidentJsApcBegin#48,"""/ci1 1 아, <%me>!<br>이 아이, 조금 말썽꾸러기야!<br>도와줄 수 있을까?"""
IncidentJsApcFailure#48,"""/mn1 으으, 실패해 버렸어……<br>모처럼 도와줬는데……"""
IncidentJsApcSuccess#48,"""/ci1 2 도와줘서 고마워!<br>이거, 초콜릿을 만들어 봤는데……<br>답례로 받아 주면 기쁠 것 같아."""
IncidentJsApcBeginEvo#45,"""/mn4 미안, 해……"""
EnemyWeak#49,"""어떤 상대라도 방심하지 않아요!"""
EnemyLarge#49,"""상대로 부족함은 없습니다!"""
EnemyBoss#49,"""이런 상대를 이겨야 가치가 있죠!"""
EnemyRare#49,"""응?\u3000어라?<br>엄청 보기 드문 녀석 아닌가요……?"""
EnemyBoost#49,"""……이 기운, 위험합니다!"""
DestroyEnemy1#49,"""다음!"""
DestroyEnemy2#49,"""한 건 해결했습니다!"""
DestroyEnemy3#48,"""아직 더 할 수 있어요!"""
CondFreeze#49,"""머리도 조금 식히겠습니다!"""
CondBurn#49,"""후후후, 불타오릅니다!<br>그런데 정말 불타고 있어요!"""
CondShock#49,"""적당한 저림은<br>몸에도 좋다고 들었어요!<br>……이건 다르지만요"""
CondPoison#49,"""이독제독!<br>……그런 능력은 없지만요"""
CondPanic#49,"""괜찮아요, 혼란해도 압니다!<br>말하는 건 전부 적이에요!"""
CondStan#49,"""몸이 안 움직여……!?<br>쉬라는 뜻일까요!"""
CondMirage#49,"""시야를 봉쇄당해도……!<br>기척을 때리면 어떻게든 됩니다!"""
Die#49,"""이래서는<br>그분의 등을 따라잡을 수 없어……"""
ThankHeal#49,"""황송합니다!"""
ThankBuff#49,"""감사합니다!"""
ThankCure#49,"""번거롭게 해 드려 죄송해요!"""
DefeatEnemy#49,"""자, 다음으로 가시죠!"""
LevelUp#49,"""뒤처지지 않도록 힘내겠습니다!"""
InvokeSkill1#47,"""일의전심!"""
InvokeSkill2#46,"""단숨에 몰아붙이겠습니다!"""
InvokeSkill3#46,"""언제나 전력입니다!"""
TechFire#21,"""폭염!"""
TechIce#24,"""빙아!"""
TechThunder#20,"""신뢰!"""
TechWind#20,"""질풍!"""
TechLight#21,"""광창!"""
TechDark#20,"""암탄!"""
PBFull#49,"""봐주는 건 못 합니다!<br>전 언제나 전력이니까요!"""
PBRelease#49,"""그분을 따라잡을 때까지……<br>전 멈추지 않습니다!"""
Avoid#49,"""흥!"""
HealSelf#49,"""빈틈은 보이지 않아요!"""
BuffSelf#49,"""방심하지 않아요!"""
HealOther#49,"""회복하겠습니다!"""
BuffOther#49,"""엄호하겠습니다!"""
QuestStart1#49,"""히어로 클래스의 전투법을<br>보여 드리겠습니다!"""
QuestEnd1#49,"""이렇게, 이렇게……인가?<br>그보다 먼저, 수고하셨습니다!"""
IncidentStart#49,"""무슨 일이 생길 듯한 기척입니다……!"""
IncidentSuccess#49,"""역시 대단합니다!<br>잘 해냈네요!"""
IncidentFailure#49,"""이, 이럴 리가<br>없었는데요……"""
PSE#49,"""포톤이 술렁이는 건가……?<br>조심해서 가시죠!"""
PSELevelUp#49,"""계속 이어 가자!"""
PSEBurst#49,"""이것이, PSE 버스트군요!"""
HP30#49,"""밀리고 있습니다……!"""
HP10#49,"""사지에서 활로를……!"""
ItemRare#49,"""앗, 레어 아이템이네요!"""
DamageSmall#49,"""아얏!"""
DamageMiddle#49,"""크윽!"""
DamageLarge#49,"""아직……포기하지 않아요!"""
Trap#49,"""함정!?\u3000이런 곳에!?"""
ThankTrapRescue#49,"""살았습니다……황송합니다!"""
TrapRescueOther#49,"""괜찮으세요!?"""
MemberDamaged#49,"""무리하지 말고 물러나세요!"""
MemberDead#49,"""……동료조차 지키지 못하는<br>제 한심함이 가장 용서가 안 돼요!"""
AbilityExe#49,"""좋아, 감이 살아났어요!"""
AbilitySpecial#49,"""지금이라면 뭐든 할 수 있습니다!"""
Resurrect#49,"""이루고 싶은 목표가 있어요!<br>그러니 쉴 수 없습니다!"""
PartyJoin#49,"""/ci2 2 전투부 소속, 스트라토스!<br>등장했습니다!"""
Marvelous#49,"""움직임을 눈에 새기고 있습니다!"""
IncidentJsApcBegin#49,"""/mn9 /ci1 2 이 환창종, 폭주하는 건가……?<br>아니, 신경 쓸 때가 아니군요!<br>신속히 진압하겠습니다!"""
IncidentJsApcFailure#49,"""/mn2 죄송합니다.<br>너무 방심한 것 같아요……"""
IncidentJsApcSuccess#49,"""/mn17 /ci2 1 도와주셔서 황송합니다!<br>답례로 초콜릿을 드리는 모양이니<br>이걸 받으세요!\u3000그럼 실례하겠습니다!"""
EnemyWeak#50,"""한꺼번에 쓸어 버린다!"""
EnemyLarge#50,"""덩치만 큰 녀석 따위!"""
EnemyBoss#50,"""아무리 강대한 상대라도<br>난 절대 포기하지 않아!"""
EnemyRare#50,"""저거, 희귀한 녀석이지!"""
EnemyBoost#50,"""정말 불길한 기운이야……<br>내가 정화하겠어!"""
DestroyEnemy1#50,"""다음!"""
DestroyEnemy2#50,"""이 정도론 멈추지 않아!"""
DestroyEnemy3#49,"""고마워, 아메노무라쿠모!"""
CondFreeze#50,"""차, 차가워!\u3000잠깐, 이게 뭐야!"""
CondBurn#50,"""부, 불타고 있어!?\u3000불 꺼, 불 꺼!"""
CondShock#50,"""저, 저려어어어……!"""
CondPoison#50,"""도, 독……?\u3000기분 나빠……"""
CondPanic#50,"""아하하하!<br>저기가 여기고 여기가 어디지?"""
CondStan#50,"""모, 몸이 안 움직여……!"""
CondMirage#50,"""누, 눈이……번쩍거려서……!"""
Die#50,"""실수했어……모두 미안해……!"""
ThankHeal#50,"""고마워!"""
ThankBuff#50,"""살았어!"""
ThankCure#50,"""후우, 진정됐어."""
DefeatEnemy#50,"""자, 다음 장소로 가자!"""
LevelUp#50,"""질 수 없지!"""
InvokeSkill1#48,"""망설임을 끊어 낸다!"""
InvokeSkill2#47,"""나와 아메노무라쿠모라면!"""
InvokeSkill3#47,"""일섬!"""
PBFull#50,"""난 이제 자신을 속이지 않아!"""
PBRelease#50,"""이것이 나의……선택이다!"""
Avoid#50,"""흥!"""
HealSelf#50,"""회복은 제대로 해야지"""
BuffSelf#50,"""봐주기도, 사정도 일절 없어!"""
HealOther#50,"""괜찮아?\u3000회복할게!"""
BuffOther#50,"""만전의 상태로 맞서자!"""
QuestStart1#50,"""가자, 아메노무라쿠모"""
QuestEnd1#50,"""제법 잘된 것 같아?"""
IncidentStart#50,"""이 기척……뭔가 올 것 같아!"""
IncidentSuccess#50,"""좋아, 잘됐네!"""
IncidentFailure#50,"""으음……안 됐나"""
PSE#50,"""이 느낌……PSE 아니야?"""
PSELevelUp#50,"""계속 가자!"""
PSEBurst#50,"""우와, 예뻐……!<br>이게 PSE 버스트구나……"""
HP30#50,"""이 정도론 꺾이지 않아!"""
HP10#50,"""아직 난 포기하지 않아!"""
ItemRare#50,"""레어 드롭이다, 좋겠다!"""
DamageSmall#50,"""큭!"""
DamageMiddle#50,"""아직 멀었어!"""
DamageLarge#50,"""위험한가……!"""
Trap#50,"""헉, 함정!?"""
ThankTrapRescue#50,"""살았다, 고마워!"""
TrapRescueOther#50,"""함정이라니 고전적이네……!<br>금방 도와줄게!"""
MemberDamaged#50,"""무리하지 마!"""
MemberDead#50,"""……지키지 못했지만<br>아직 끝이 아니야!"""
AbilityExe#50,"""힘이 넘쳐흘러……<br>이건 에테르?\u3000포톤?"""
AbilitySpecial#50,"""지금이라면 뭐든 일도양단!<br>농담이야!"""
Resurrect#50,"""……쉬고 있을 때가 아니라니까!"""
