Category_All#0,"""Всё"""
ScenarioSelectConfirmText_0_0#0,"""Желаете начать с <yellow>”Пролога”<c>?<br>（Обучающая часть）"""
ScenarioSelectConfirmText_1_1#0,"""Желаете начать с <yellow>”1-й главы”<c>?<br><br>Если вы ранее завершили на другом персонаже сюжетный квест ”Пролог” （Обучающая часть）, то сможете приступить к <yellow>основной задаче ”最初の試練”<c>.<br><br><yellow>※За пропущенные таким образом задачи вы не получите никаких наград.<c>"""
ScenarioSelectConfirmText_1_2#0,"""Желаете начать с <yellow>”2-й главы”<c>?<br><br>Если вы ранее завершили на другом персонаже ”1-ю главу”, то сможете приступить к <yellow>основной задаче ”新たな任務”<c>.<br><br><yellow>※За пропущенные таким образом задачи вы не получите никаких наград, а уровень будет скорректирован в соответствии с регионом.<c>"""
ScenarioSelectConfirmText_1_3#0,"""Желаете начать с <yellow>”3-й главы”<c>?<br><br>Если вы ранее завершили на другом персонаже ”2-ю главу”, то сможете приступить к <yellow>основной задаче ”クヴァリスでの任務”<c>.<br><br><yellow>※За пропущенные таким образом задачи вы не получите никаких наград, а уровень будет скорректирован в соответствии с регионом.<c>"""
ScenarioSelectConfirmText_0_0_Playgo#0,"""<yellow>メインストーリー”序章”<c><br>（チュートリアルストーリー）から開始しますか？"""
ScenarioSelectConfirmText_1_1_Playgo#0,"""<yellow>メインストーリー”1章”<c>から開始しますか？<br><br>メインストーリー”序章”<br>（チュートリアルストーリー）を、<br>他のキャラクターでクリア済みの場合、<br><yellow>メインタスク”最初の試練”<c>から<br>ゲームを始めることができます。<br><br><yellow>※За пропущенные таким образом задачи вы не получите никаких наград.<br>※Вы вернётесь на стартовый экран, если загрузка ещё не завершена.<c>"""
ScenarioSelectConfirmText_1_2_Playgo#0,"""<yellow>メインストーリー“2章”<c>から開始しますか？<br><br>メインストーリー“1章”<br>（エアリオリージョンのメインストーリー）を、<br>他のキャラクターでクリア済みの場合、<br><yellow>メインタスク”新たな任務”<c>から<br>ゲームを始めることができます。<br><br><yellow>※За пропущенные таким образом задачи вы не получите никаких наград, а уровень будет скорректирован в соответствии с регионом.<br>※Вы вернётесь на стартовый экран, если загрузка ещё не завершена.<c>"""
ScenarioSelectConfirmText_1_3_Playgo#0,"""<yellow>メインストーリー“3章”<c>から開始しますか？<br><br>メインストーリー“2章”<br>（リテムリージョンのメインストーリー）を、<br>他のキャラクターでクリア済みの場合、<br><yellow>メインタスク\""クヴァリスでの任務\""<c>から<br>ゲームを始めることができます。<br><br><yellow>※За пропущенные таким образом задачи вы не получите никаких наград, а уровень будет скорректирован в соответствии с регионом.<br>※Вы вернётесь на стартовый экран, если загрузка ещё не завершена.<c>"""
Label_Type1#0,"""Приоритет 1-го типа"""
Label_Type2#0,"""Приоритет 2-го типа"""
Label_Notice#2,"""Выберите приоритет используемого типа лобби-экшенов в лобби.<br><br><yellow>※Изменяет приоритетность всех лобби-экшенов в лобби.<c>"""
Popup_Remove#1,"""Убрать"""
Popup_RemoveBodyPaint#0,"""Изменён рисунок для тела"""
Popup_ChangeColorInner1#0,"""[In] Изменён 1-й цвет"""
Popup_ChangeColorInner2#0,"""[In] Изменён 2-й цвет"""
Popup_ChangeColorBasewear1#0,"""[Ba] Изменён 1-й цвет"""
Popup_ChangeColorBasewear2#0,"""[Ba] Изменён 2-й цвет"""
Popup_ChangeColorSetwear1#0,"""[Se] Изменён 1-й цвет"""
Popup_ChangeColorSetwear2#0,"""[Se] Изменён 2-й цвет"""
Popup_ChangeColorOuter1#0,"""[Ou] Изменён 1-й цвет"""
Popup_ChangeColorOuter2#0,"""[Ou] Изменён 2-й цвет"""
Popup_ChangeColorSkin1#0,"""Изменён цвет кожи"""
Popup_ChangeColorSkin2#0,"""Изменён цвет кожи"""
Title_ChangeColorInner1#0,"""Изменён 1-й In цвет"""
Title_ChangeColorInner2#0,"""Изменён 2-й In цвет"""
Title_ChangeColorBasewear1#0,"""Изменён 1-й Ba цвет"""
Title_ChangeColorBasewear2#0,"""Изменён 2-й Ba цвет"""
Title_ChangeColorSetwear1#0,"""Изменён 1-й Se цвет"""
Title_ChangeColorSetwear2#0,"""Изменён 2-й Se цвет"""
Title_ChangeColorOuter1#0,"""Изменён 1-й Ou цвет"""
Title_ChangeColorOuter2#0,"""Изменён 2-й Ou цвет"""
Title_ChangeColorSkin1#0,"""Цвет кожи"""
Title_ChangeColorSkin2#0,"""Цвет кожи"""
Popup_ChangeColorCastMain#0,"""Изменён основной цвет"""
Popup_ChangeColorCastSub1#0,"""Изменён 1-й доп. цвет"""
Popup_ChangeColorCastSub2#0,"""Изменён 2-й доп. цвет"""
Popup_ChangeColorCastSub3#0,"""Изменён 2-й доп. цвет"""
Popup_ChangeColorEye1#0,"""Изменён цвет правого глаза"""
Popup_ChangeColorEye2#0,"""Изменён цвет левого глаза"""
Popup_ChangeColorEyebrow#0,"""Изменён цвет бровей"""
Popup_ChangeColorEyelash#0,"""Изменён цвет ресниц"""
Popup_ChangeColorHair1#0,"""Изменён 1-й цвет волос"""
Popup_ChangeColorHair2#0,"""Изменён 2-й цвет волос"""
Title_ChangeColorCastMain#0,"""Изменён основной цвет"""
Title_ChangeColorCastSub1#0,"""Изменён 1-й доп. цвет"""
Title_ChangeColorCastSub2#0,"""Изменён 2-й доп. цвет"""
Title_ChangeColorCastSub3#0,"""Изменён 3-й доп. цвет"""
Title_ChangeColorHair1#0,"""Изменён 1-й цвет волос"""
Title_ChangeColorHair2#0,"""Изменён 2-й цвет волос"""
Title_ChangeColorEye1#0,"""Изменён цвет правого глаза"""
Title_ChangeColorEye2#0,"""Изменён цвет левого глаза"""
Title_ChangeColorEyelash#0,"""Изменён цвет бровей"""
Title_ChangeColorEyebrow#0,"""Изменён цвет ресниц"""
Label_CastMainColorShort#0,"""Основной"""
Label_CastSubColor1Short#0,"""Доп.1"""
Label_CastSubColor2Short#0,"""Доп.2"""
Label_CastSubColor3Short#0,"""Доп.3"""
Label_CheckboxExplanation#0,"""Изменяет назначение синхронизации цвета."""
Label_Checkbox#0,"""同期する（仮）"""
Label_Reset#0,"""Сбросить"""
Title_Reset#0,"""Подтверждение сброса"""
Message_Reset#0,"""Желаете сбросить настройки<br>синхронизации цвета?"""
Label_SyncCheckbox#0,"""Изменить всё разом"""
Tab_Palletcolor#0,"""Голова/Тело/Стиль"""
Tab_Accessory#0,"""Аксессуары"""
Tab_Castparts#0,"""Части CAST'а"""
Help_NoAccessory_Explanation#0,"""Нет экипированных аксессуаров."""
Label_Character#0,"""Настройка цвета персонажа"""
Label_Castparts#0,"""Настройка цвета частей CAST'а"""
Label_Wearcolor#0,"""Настройка цвета костюма"""
Label_Checkall#0,"""Синхронизация цвета"""
Label_Checkall_Comment#0,"""Изменяйте цвета всех аксессуаров разом."""
Title_Init_Accse#0,"""Возвращение до стандарных"""
Message_Reset_Accse#0,"""Желаете восстановить цвета всех<br>аксессуаров до состояния<br>по умолчанию?"""
Button_Headcolorsync#0,"""Синхр. цвета головы"""
Title_Headcolorsync#0,"""Настройка синхр. цвета головы"""
