TEST#0,"""Тест."""
LobbyAction_ippuku#0,"""どこでもお茶屋"""
LobbyAction_waiting2#0,"""待機中２"""
LobbyAction_kumite#0,"""組手"""
LobbyAction_refuse#0,"""スライド移動"""
LobbyAction_winnerdance#0,"""ウィナーダンス"""
LobbyAction_watering#0,"""水やり"""
LobbyAction_waitpose1#0,"""待機中３"""
LobbyAction_beastdush#0,"""四足移動"""
LobbyAction_dance45#0,"""ダンス４５"""
LobbyAction_playcat#0,"""猫をじゃらす"""
LobbyAction_liveperformance3#0,"""Ｖｏパフォーマンス３"""
LobbyAction_loserpose#0,"""【敗者】ポーズ"""
LobbyAction_ski#0,"""スキー"""
LobbyAction_syachihoko#0,"""しゃちほこ"""
LobbyAction_flyingbase#0,"""フライングベース"""
LobbyAction_lookup#0,"""見上げる"""
LobbyAction_repair#0,"""修理する"""
LobbyAction_dance46#0,"""ＡＲＫＳダンス２"""
LobbyAction_swimming#0,"""泳ぐ"""
LobbyAction_surfing#0,"""サーフィン"""
LobbyAction_konamon#0,"""こなもん"""
LobbyAction_heropose#0,"""ヒーローポーズ"""
LobbyAction_dontaku#0,"""どんたく"""
LobbyAction_rappyballoon#0,"""ラッピーバルーン"""
LobbyAction_icecream#0,"""アイスを食べる"""
LobbyAction_qunapose#0,"""クーナポーズ"""
LobbyAction_liveperformance4#0,"""Ｖｏパフォーマンス４"""
LobbyAction_polldance#0,"""ポールダンス"""
LobbyAction_cameraappeal#0,"""カメラアピール"""
LobbyAction_pizza#0,"""ピザーラ"""
LobbyAction_swimming2#0,"""プール遊び"""
LobbyAction_dance46_2#0,"""ダンス４６"""
LobbyAction_kasakasa#0,"""かさかさ"""
LobbyAction_reachingout#0,"""手をつなぐ"""
LobbyAction_hangedman#0,"""吊るされる"""
LobbyAction_wiping#0,"""雑巾がけ"""
LobbyAction_pumpkin#0,"""パンプキン"""
LobbyAction_trafficcontrol#0,"""交通整理"""
LobbyAction_warp#0,"""瞬間移動"""
LobbyAction_dance47#0,"""ダンス４７"""
LobbyAction_waiting4#0,"""待機中４"""
LobbyAction_waiting5#0,"""待機中５"""
LobbyAction_punk#0,"""クレイジー"""
LobbyAction_bodybuild#0,"""ボディビル"""
LobbyAction_waiting6#0,"""待機中６"""
LobbyAction_takoage#0,"""たこあげ"""
LobbyAction_winnerdance2#0,"""ウィナーダンス２"""
LobbyAction_xierapose#0,"""シエラポーズ"""
LobbyAction_bbq#0,"""バーベキュー"""
LobbyAction_dance48#0,"""ダンス４８"""
LobbyAction_shoji#0,"""障子"""
LobbyAction_dance49#0,"""ダンス４９"""
LobbyAction_norinori#0,"""ノリノリ"""
LobbyAction_dance50#0,"""ダンス５０"""
LobbyAction_alisapose#0,"""アリサポーズ"""
LobbyAction_headwash#0,"""頭を洗う"""
LobbyAction_waiting7#0,"""待機中７"""
LobbyAction_rhythm#0,"""リズム"""
LobbyAction_psnovapose1#0,"""ＮＯＶＡポーズ１"""
LobbyAction_psnovapose2#0,"""ＮＯＶＡポーズ２"""
LobbyAction_dance51#0,"""ダンス５１"""
LobbyAction_rapper#0,"""ラッパー"""
LobbyAction_pose26#0,"""ＰＲポーズ２"""
LobbyAction_voperformance5#0,"""Ｖｏパフォーマンス５"""
LobbyAction_tcg#0,"""ＶＲカードゲーム"""
LobbyAction_maromero#0,"""マロン＆メロン"""
LobbyAction_hopscotch#0,"""けんけんぱ"""
LobbyAction_zenmeditation#0,"""浮遊移動"""
LobbyAction_halo#0,"""後光が差す"""
LobbyAction_soullost#0,"""魂が抜ける"""
LobbyAction_dance53#0,"""ダンス５２"""
LobbyAction_henchiranchi#0,"""編知／乱知"""
LobbyAction_umbrelladance#0,"""傘ダンス"""
LobbyAction_cowboy#0,"""カウボーイ射撃芸"""
LobbyAction_yuishaku#0,"""ユーイ＆シャク"""
LobbyAction_p3dance1#0,"""Ｐ３Ｄダンス１"""
LobbyAction_p3dance2#0,"""Ｐ３Ｄダンス２"""
LobbyAction_p3dance3#0,"""Ｐ３Ｄダンス３"""
LobbyAction_p5dance1#0,"""Ｐ５Ｄダンス１"""
LobbyAction_p5dance2#0,"""Ｐ５Ｄダンス２"""
LobbyAction_p5dance3#0,"""Ｐ５Ｄダンス３"""
LobbyAction_swimming2tr#0,"""泳ぐ２"""
LobbyAction_yuishaku2#0,"""ユーイ＆シャク２"""
LobbyAction_yuishaku3#0,"""ユーイ＆シャク３"""
LobbyAction_beatless#0,"""ＢＥＡＴＬＥＳＳ"""
LobbyAction_weddingpose#0,"""ウェディングポーズ"""
LobbyAction_virginroad#0,"""バージンロード"""
LobbyAction_sit5#0,"""座る５"""
LobbyAction_dance54#0,"""ダンス５３"""
LobbyAction_henchiranchi2#0,"""編知／乱知２"""
LobbyAction_drunkenfist#0,"""酔拳ごっこ"""
LobbyAction_espose#0,"""マリンポーズ"""
LobbyAction_voperformance7#0,"""Ｖｏパフォーマンス６"""
LobbyAction_ermirpose#0,"""エルミルポーズ"""
LobbyAction_margaretapose#0,"""マルガレータポーズ"""
LobbyAction_flyingbase2#0,"""フライングベース２"""
LobbyAction_weaponoidpose1#0,"""ウェポノイドポーズ１"""
LobbyAction_weaponoidpose2#0,"""ウェポノイドポーズ２"""
LobbyAction_jyudenkun#0,"""充電くん"""
LobbyAction_flowpose#0,"""フロー＆フラウポーズ"""
LobbyAction_bukikamae#0,"""武器構え"""
LobbyAction_weaponoidpose3#0,"""ウェポノイドポーズ３"""
LobbyAction_weaponoidpose4#0,"""ウェポノイドポーズ４"""
LobbyAction_burasagaru#0,"""ぶらさがる"""
LobbyAction_butakimu#0,"""ブタキムを食べる"""
LobbyAction_suwadance#0,"""すわダンス"""
LobbyAction_chairdance#0,"""チェアダンス"""
LobbyAction_siriusu#0,"""ユリィ／ステラ"""
LobbyAction_maruipose#0,"""マルイポーズ"""
LobbyAction_volcano#0,"""ＭＨＦ１"""
LobbyAction_638dance#0,"""ダンス５４"""
LobbyAction_simpledanse#0,"""ダンス５５"""
LobbyAction_candle#0,"""灯火"""
LobbyAction_tabledance#0,"""テーブルダンス"""
LobbyAction_voperformance6#0,"""Ｖｏパフォーマンス７"""
LobbyAction_636voperformance#0,"""Ｖｏパフォーマンス８"""
LobbyAction_637voperformance#0,"""Ｖｏパフォーマンス９"""
LobbyAction_sealandfree#0,"""封印と解放"""
LobbyAction_kkpose#0,"""初代ＫＫポーズ１"""
LobbyAction_kkpose2#0,"""初代ＫＫポーズ２"""
LobbyAction_wolfatossapose#0,"""ヴォルフ＆アトッサ"""
LobbyAction_wasabeaf#0,"""わさビーフを食べる"""
LobbyAction_648prpose#0,"""スイパラポーズ"""
LobbyAction_almapose#0,"""アルマポーズ"""
LobbyAction_almaball#0,"""アルマボール"""
LobbyAction_ashikumi#0,"""脚を組む"""
LobbyAction_0514dance4#0,"""すわすわする"""
LobbyAction_nijidoro#0,"""虹ドロ入手"""
LobbyAction_rounddance#0,"""ダンス５６"""
LobbyAction_danboul#0,"""ダン・ボウル"""
LobbyAction_danmachi#0,"""ダンまち１"""
LobbyAction_birthday#0,"""バースデー"""
LobbyAction_valentine#0,"""バレンタイン"""
LobbyAction_taruasobi#0,"""樽遊び"""
LobbyAction_ksng#0,"""ＫＯＦ１"""
LobbyAction_prpose2#0,"""ＶＶクッション"""
LobbyAction_sakura#0,"""桜を見る"""
LobbyAction_yumomi#0,"""湯もみ"""
LobbyAction_477sit#0,"""座る６"""
LobbyAction_0725dance#0,"""ダンス５７"""
LobbyAction_rrnn1#0,"""なのはポーズ"""
LobbyAction_rrnn2#0,"""フェイトポーズ"""
LobbyAction_rrnn3#0,"""はやてポーズ"""
LobbyAction_kantopose#0,"""関東名物"""
LobbyAction_psnikomi#0,"""ぷそ煮キャラポーズ"""
LobbyAction_psnikomi2#0,"""イチカ＆テトラポーズ"""
LobbyAction_nagoyapose#0,"""名古屋名物"""
LobbyAction_sapporopose#0,"""札幌名物"""
LobbyAction_phantom#0,"""ファントムポーズ"""
LobbyAction_656pose#0,"""斜めポーズ"""
LobbyAction_dadakone#0,"""ダダをこねる"""
LobbyAction_katanapose#0,"""カタナポーズ"""
LobbyAction_kono1#0,"""このすば１"""
LobbyAction_fukuokapose#0,"""福岡名物"""
LobbyAction_xiaopose#0,"""シャオポーズ"""
LobbyAction_jumppose#0,"""飛行ポーズ"""
LobbyAction_falldown#0,"""倒れる演技"""
LobbyAction_regiuspose#0,"""レギアスポーズ"""
LobbyAction_mariapose#0,"""マリアポーズ"""
LobbyAction_harrietpose#0,"""ハリエットポーズ"""
LobbyAction_rain#0,"""雨が降る"""
LobbyAction_gunpose#0,"""Ａライフルポーズ"""
LobbyAction_kansaipose#0,"""神戸名物"""
LobbyAction_ep4dance7#0,"""ダンス５８"""
LobbyAction_mgr#0,"""メリーゴーランド"""
LobbyAction_tmachinegun#0,"""Ｔマシンガンポーズ"""
LobbyAction_bananaboat#0,"""バナナボート"""
LobbyAction_stratospose#0,"""ストラトスポーズ"""
LobbyAction_lawson#0,"""ローソン看板"""
LobbyAction_696bed#0,"""ベッド３"""
LobbyAction_698hiza#0,"""膝立ち"""
LobbyAction_756weaponoidpose#0,"""ウェポノイドポーズ７"""
LobbyAction_photoncircle#0,"""フォトンサークル"""
LobbyAction_752psnikomi#0,"""ぷそ煮エンドカード"""
LobbyAction_755weaponoidpose#0,"""ウェポノイドポーズ６"""
LobbyAction_754weaponoidpose#0,"""ウェポノイドポーズ５"""
LobbyAction_rodpose#0,"""ロッドポーズ"""
LobbyAction_699qunapose#0,"""クーナポーズ２"""
LobbyAction_risapose#0,"""リサポーズ"""
LobbyAction_dice#0,"""サイコロ投げ"""
LobbyAction_730sitdown#0,"""腰掛ける２"""
LobbyAction_allfire#0,"""全弾発射"""
LobbyAction_matoipose#0,"""マトイポーズ１"""
LobbyAction_771matoivielpose#0,"""マトイポーズ２"""
LobbyAction_772matoivielpose#0,"""マトイポーズ３"""
LobbyAction_twindaggerpose#0,"""ツインダガーポーズ"""
LobbyAction_766sit#0,"""座る７"""
LobbyAction_perrier#0,"""ペリエを飲む"""
LobbyAction_talispose#0,"""タリスポーズ"""
LobbyAction_775idolapose#0,"""イドラキャラポーズ１"""
LobbyAction_776idolapose#0,"""イドラキャラポーズ２"""
LobbyAction_idolachannel#0,"""イドラチャンネル"""
LobbyAction_jasperrosa#0,"""ジャスパー／ローザ"""
LobbyAction_774swordpose#0,"""ソードポーズ"""
LobbyAction_tsuntsun#0,"""つんつん"""
LobbyAction_812sukunahime#0,"""スクナヒメポーズ１"""
LobbyAction_813sukunahime#0,"""スクナヒメポーズ２"""
LobbyAction_828sukunahime#0,"""スクナヒメポーズ３"""
LobbyAction_timecheck#0,"""時間確認"""
LobbyAction_komamawashi#0,"""独楽回し"""
LobbyAction_labomikuji#0,"""おみくじ"""
LobbyAction_doublesaberpose#0,"""Ｄセイバーポーズ"""
LobbyAction_genocide#0,"""ゾンデ／檻"""
LobbyAction_765genocide#0,"""バータ／彫像"""
LobbyAction_wandpose#0,"""ウォンドポーズ"""
LobbyAction_seesnow#0,"""雪を見上げる"""
LobbyAction_yukiasobi#0,"""雪遊び２"""
LobbyAction_795na#0,"""フェスティバル"""
LobbyAction_814na#0,"""Ｘｂｏｘ\u3000ＸＢ"""
LobbyAction_815na#0,"""Ｘｂｏｘ\u3000ＯＸ"""
LobbyAction_816na#0,"""ソニック／テイルス"""
LobbyAction_fanservice#0,"""ファンサ"""
LobbyAction_dualbladepose#0,"""Ｄブレードポーズ"""
LobbyAction_launcherpose#0,"""ランチャーポーズ"""
LobbyAction_rideon#0,"""乗る"""
LobbyAction_wiredlancepose#0,"""Ｗランスポーズ"""
LobbyAction_officechair#0,"""オフィスチェア"""
LobbyAction_etoilepose#0,"""エトワールポーズ"""
LobbyAction_787secondkkpose#0,"""二代目ＫＫポーズ"""
LobbyAction_zenopose#0,"""ゼノポーズ"""
LobbyAction_788thirdkkpose#0,"""三代目ＫＫポーズ"""
LobbyAction_811animepose#0,"""ＥＰオラクル１"""
LobbyAction_830animepose#0,"""ＥＰオラクル２"""
LobbyAction_pillowpose#0,"""抱き枕"""
LobbyAction_taktpose#0,"""タクトポーズ"""
LobbyAction_eggrace#0,"""エッグレース"""
LobbyAction_partizanpose#0,"""パルチザンポーズ"""
LobbyAction_762picnic#0,"""どこでもピクニック１"""
LobbyAction_831animepose#0,"""ＥＰオラクル３"""
LobbyAction_holaf#0,"""ホルシード＆アフタル"""
LobbyAction_jene#0,"""ジェネポーズ"""
LobbyAction_836clockpose#0,"""時計ポーズ"""
LobbyAction_knuckle#0,"""ナックルポーズ"""
LobbyAction_825console#0,"""端末操作３"""
LobbyAction_819dance#0,"""ダンス５９"""
LobbyAction_gunslashpose#0,"""ガンスラッシュポーズ"""
LobbyAction_teacup#0,"""ティーカップ"""
LobbyAction_tarzan#0,"""アスレチック"""
LobbyAction_760psnikomi#0,"""ゼクト＆みたらし"""
LobbyAction_832animepose#0,"""ＥＰオラクル４"""
LobbyAction_849animepose#0,"""ＥＰオラクル５"""
LobbyAction_donpose#0,"""ＰＷ×ＰＳＯ２"""
LobbyAction_851donpose#0,"""ＰＲポーズ３"""
LobbyAction_848voperformance#0,"""Ｖｏパフォーマンス１０"""
LobbyAction_ashpose#0,"""ＥＰオラクル通信"""
LobbyAction_etph#0,"""Ｅｔ＆Ｐｈ"""
LobbyAction_bbowpose#0,"""Ｂボウポーズ"""
LobbyAction_sliding#0,"""スライディング"""
LobbyAction_jbootspose#0,"""ジェットブーツポーズ"""
LobbyAction_wpswd01#0,"""大剣／長槍"""
LobbyAction_arukas#0,"""新サクラ大戦Ａ"""
LobbyAction_868arukas#0,"""新サクラ大戦Ｂ"""
LobbyAction_sparkler#0,"""線香花火"""
LobbyAction_dance52#0,"""ダンス６０"""
LobbyAction_syagami#0,"""しゃがむ２"""
LobbyAction_hizadati2#0,"""膝立ち２"""
LobbyAction_876picnic#0,"""どこでもピクニック２"""
LobbyAction_rfllncaction#0,"""長銃／大砲"""
LobbyAction_874weaponoid#0,"""ウェポノイドポーズ８"""
LobbyAction_875weaponoid#0,"""ウェポノイドポーズ９"""
LobbyAction_879xibapose#0,"""シバポーズ１"""
LobbyAction_varuna#0,"""ヴァルナポーズ"""
LobbyAction_880xibapose#0,"""シバポーズ２"""
LobbyAction_grd#0,"""グリッドマン"""
LobbyAction_campmk#0,"""キャンプ"""
LobbyAction_sortie5#0,"""登場２"""
LobbyAction_katoripose#0,"""カトリポーズ"""
LobbyAction_euclitapose#0,"""ユクリータポーズ"""
LobbyAction_898effpose#0,"""魔術ポーズ１"""
LobbyAction_899effpose#0,"""魔術ポーズ２"""
LobbyAction_658effectpose#0,"""魔術ポーズ３"""
LobbyAction_aikapose#0,"""アイカポーズ"""
LobbyAction_itsukirina#0,"""イツキ／リナポーズ"""
LobbyAction_885hitsugi#0,"""ヒツギポーズ２"""
LobbyAction_rodtls#0,"""長杖／導具"""
LobbyAction_556poseneta#0,"""ＰＲポーズ４"""
LobbyAction_850clockpose#0,"""時計ポーズ２"""
LobbyAction_rodfly#0,"""箒で飛ぶ"""
LobbyAction_udekumi#0,"""腕を組む２"""
LobbyAction_kgr#0,"""閃乱カグラ"""
LobbyAction_dagknu#0,"""双小剣／鋼拳"""
LobbyAction_tmggth#0,"""双機銃／銃剣"""
LobbyAction_sitirin#0,"""七輪"""
LobbyAction_888stratos#0,"""ストラトスポーズ２"""
LobbyAction_889stratos#0,"""ストラトスポーズ３"""
LobbyAction_890kyokuya#0,"""キョクヤポーズ１"""
LobbyAction_891kyokuya#0,"""キョクヤポーズ２"""
LobbyAction_863oracle#0,"""ＥＰオラクル６"""
LobbyAction_892rukot#0,"""ルコットポーズ１"""
LobbyAction_817steam#0,"""ヘッドクラブ"""
LobbyAction_893rukot#0,"""ルコットポーズ２"""
LobbyAction_894rukot#0,"""ルコットポーズ３"""
LobbyAction_idoramatoi#0,"""イドラマトイポーズ"""
LobbyAction_toutobu#0,"""尊ぶ"""
LobbyAction_thanksgivingday#0,"""ターキー"""
LobbyAction_kotatsu#0,"""くつろぐ１"""
LobbyAction_464relax#0,"""くつろぐ２"""
LobbyAction_dsawlc#0,"""両剣／自在槍"""
LobbyAction_lusterpose#0,"""ラスターポーズ"""
LobbyAction_wndtkt#0,"""短杖／奏具"""
LobbyAction_oden#0,"""おでん"""
LobbyAction_dbljbt#0,"""飛翔剣／魔装脚"""
LobbyAction_ktnbow#0,"""抜剣／強弓"""
LobbyAction_rodeo#0,"""ロデオポーズ１"""
LobbyAction_rodeo2#0,"""ロデオポーズ２"""
LobbyAction_clawmachine#0,"""ＵＦＯキャッチャー®"""
LobbyAction_6posefireice#0,"""六属性ポーズ・炎氷"""
LobbyAction_6posewinthun#0,"""六属性ポーズ・雷風"""
LobbyAction_6poselightdark#0,"""六属性ポーズ・闇光"""
LobbyAction_thief#0,"""怪盗"""
LobbyAction_setsumei#0,"""説明する"""
LobbyAction_spider#0,"""蜘蛛"""
LobbyAction_awadate#0,"""泡立てる"""
LobbyAction_kobushipose#0,"""拳ポーズ"""
LobbyAction_ushipose#0,"""モーモーポーズ"""
LobbyAction_goodpose#0,"""グッドポーズ"""
LobbyAction_nakayoshi#0,"""なかよしポーズ"""
LobbyAction_1yubipose#0,"""「１」ポーズ"""
LobbyAction_koyubipose#0,"""小指ポーズ"""
LobbyAction_heartpose#0,"""ハートポーズ"""
LobbyAction_bakyunpose#0,"""バキューンポーズ"""
LobbyAction_909vocaldance#0,"""ディーバモーション１"""
LobbyAction_910vocaldance#0,"""ディーバモーション２"""
LobbyAction_911vocaldance#0,"""ディーバモーション３"""
LobbyAction_932vocaldance#0,"""ディーバモーション４"""
LobbyAction_2yubipose#0,"""「２」ポーズ"""
LobbyAction_0309jumppose#0,"""ジャンプポーズ"""
LobbyAction_hitonakapose#0,"""二本指ポーズ"""
LobbyAction_airquotes#0,"""エアクオート"""
LobbyAction_maloiksign#0,"""ロックサイン"""
LobbyAction_kamenpose#0,"""【仮面】ポーズ"""
LobbyAction_935prpose#0,"""ＰＲポーズ５"""
LobbyAction_933sonictails#0,"""ソニック／テイルス２"""
LobbyAction_sitpiece#0,"""しゃがむ３"""
LobbyAction_threepose#0,"""「３」ポーズ"""
LobbyAction_heropose2#0,"""ヒーローポーズ＋"""
LobbyAction_phantom2#0,"""ファントムポーズ＋"""
LobbyAction_966dance#0,"""Ｖｏパフォーマンス１１"""
LobbyAction_972performance#0,"""Ｖｏパフォーマンス１２"""
LobbyAction_hinadan#0,"""観覧席"""
LobbyAction_fourpose#0,"""「４」ポーズ"""
LobbyAction_943cheerup#0,"""励ます"""
LobbyAction_950aisatsu#0,"""おじぎ"""
LobbyAction_hello2re#0,"""挨拶２+"""
LobbyAction_rabbitdance#0,"""うさぴょん"""
LobbyAction_944look#0,"""手のひらを見る"""
LobbyAction_fivepose#0,"""「５」ポーズ"""
LobbyAction_graffiti#0,"""らくがき"""
LobbyAction_953sonkei#0,"""礼４"""
LobbyAction_947sit#0,"""座る８"""
LobbyAction_954hurue#0,"""迫りくる恐怖"""
LobbyAction_pccollabo#0,"""Intel"""
LobbyAction_icecreamre#0,"""アイスを食べる＋"""
LobbyAction_2000ice#0,"""アイスを食べる２"""
LobbyAction_2001ice#0,"""アイスを食べる３"""
LobbyAction_2045dance#0,"""ダンス６１"""
LobbyAction_parasolpose#0,"""パラソル"""
LobbyAction_summeritempose#0,"""エンジョイサマー"""
LobbyAction_musclepose#0,"""マッスルポーズ"""
LobbyAction_913catpose#0,"""キツネポーズ"""
LobbyAction_otukimi#0,"""お月見"""
LobbyAction_2044dance#0,"""ダンス６２"""
LobbyAction_912handcam#0,"""構図決め"""
LobbyAction_949sit#0,"""座る９"""
LobbyAction_fingersnapping#0,"""指パッチン"""
LobbyAction_955cook#0,"""料理する２"""
LobbyAction_465kobushi#0,"""頑張るゾ"""
LobbyAction_2017hang#0,"""吊るされる２"""
LobbyAction_920yubipose#0,"""この指とまれ"""
LobbyAction_2006syagamu#0,"""しゃがむ４"""
LobbyAction_yakiimo#0,"""焼き芋"""
LobbyAction_oteage#0,"""手に負えない"""
LobbyAction_2105dance#0,"""ダンス６３"""
LobbyAction_967sonictails#0,"""ソニック／テイルス３"""
LobbyAction_956tyouhatsu#0,"""挑発２"""
LobbyAction_redyarn#0,"""赤い糸"""
LobbyAction_2097redyarn#0,"""赤い糸２"""
LobbyAction_positioning#0,"""ポジショニング"""
LobbyAction_2052yukiasobi#0,"""雪遊び３"""
LobbyAction_948sit#0,"""座る１０"""
LobbyAction_ozouni#0,"""お雑煮を食べる"""
LobbyAction_gaow#0,"""タイガーポーズ"""
LobbyAction_2066ninja#0,"""忍者２"""
LobbyAction_tyabudai#0,"""ちゃぶ台"""
LobbyAction_tatami#0,"""畳"""
LobbyAction_commemorative#0,"""記念撮影"""
LobbyAction_2130dance#0,"""ダンス６５"""
LobbyAction_icehockey#0,"""アイスホッケー"""
LobbyAction_prologue#0,"""『ＮＧＳ』ポーズ"""
LobbyAction_fingerdance#0,"""ＮＯ\u3000ＢＯＲＤＥＲ．"""
LobbyAction_2123dance#0,"""ダンス６４"""
LobbyAction_2132heartpose#0,"""ハートポーズ２"""
LobbyAction_pourtea#0,"""お茶を注ぐ"""
LobbyAction_2078service#0,"""ご奉仕／リラックス"""
LobbyAction_skyama#0,"""閃光のヤマダポーズ"""
LobbyAction_2144dance#0,"""ダンス６６"""
LobbyAction_2133heartpose#0,"""ハートポーズ３"""
LobbyAction_2145dance#0,"""ダンス６７"""
LobbyAction_2079shooting#0,"""横シューティング"""
LobbyAction_2007bed#0,"""ベッド４"""
LobbyAction_2141prpose#0,"""ＰＲポーズ６"""
LobbyAction_2083withbird#0,"""鳥と戯れる"""
LobbyAction_2084withbird#0,"""鳥と戯れる２"""
LobbyAction_2085withbird#0,"""鳥と戯れる３"""
LobbyAction_2081rouleau#0,"""巻物"""
LobbyAction_2170rouleau#0,"""巻物２"""
LobbyAction_ashiokipose#0,"""足を乗せる"""
LobbyAction_2089airchair#0,"""宙に座る"""
LobbyAction_2151dance#0,"""ダンス６８"""
LobbyAction_2080hiding#0,"""隠れる"""
LobbyAction_2152dance#0,"""ダンス６９"""
LobbyAction_2154prpose#0,"""ＰＲポーズ７"""
LobbyAction_boxingre#0,"""ボクシング＋"""
LobbyAction_remakeup#0,"""メイクアップ"""
LobbyAction_souvenirphoto#0,"""トリックフォトポーズ"""
LobbyAction_himedakko#0,"""抱っこ"""
LobbyAction_2135korpokkur#0,"""葉っぱ傘"""
LobbyAction_2136korpokkur#0,"""葉っぱ傘２"""
LobbyAction_moonstarsit#0,"""星に座る"""
LobbyAction_muscletraining#0,"""筋トレ"""
LobbyAction_abdominal#0,"""腹筋"""
LobbyAction_jankenre#0,"""じゃんけん＋"""
LobbyAction_fanservicere#0,"""ファンサ＋"""
LobbyAction_2169lc#0,"""ロールケーキを食べる"""
LobbyAction_watersidepose#0,"""ビーチチェアに座る"""
LobbyAction_dive#0,"""飛び込み"""
LobbyAction_2058makefire#0,"""火起こし"""
LobbyAction_2181dance#0,"""Ｖｏパフォーマンス１３"""
LobbyAction_957taoreru#0,"""救急ごっこ"""
LobbyAction_bartender#0,"""バーテンダー"""
LobbyAction_blind#0,"""ブラインド越し"""
LobbyAction_selfmainte#0,"""セルフメンテナンス"""
LobbyAction_2295showhand#0,"""手を見せる"""
LobbyAction_Pchair_viri#0,"""Фотонное кресло (виридиан)"""
LobbyAction_Pchair_green#0,"""Фотонное кресло (зелёное)"""
LobbyAction_Pchair_sky#0,"""Фотонное кресло (голубое)"""
LobbyAction_Pchair_blue#0,"""Фотонное кресло (синее)"""
LobbyAction_Pchair_purple#0,"""Фотонное кресло (фиолетовое)"""
LobbyAction_Pchair_pink#0,"""Фотонное кресло (розовое)"""
LobbyAction_Pchair_red#0,"""Фотонное кресло (красное)"""
LobbyAction_Pchair_oran#0,"""Фотонное кресло (оранжевое)"""
LobbyAction_Pchair_yellow#0,"""Фотонное кресло (жёлтое)"""
LobbyAction_Pchair_whiti#0,"""Фотонное кресло (белое)"""
LobbyAction_Pchair_gold#0,"""Фотонное кресло (золотое)"""
LobbyAction_Pchair_black#0,"""Фотонное кресло (чёрное)"""
LobbyAction_Pchair_rappy#0,"""Фотонное кресло (Рэппи)"""
LobbyActionCategory_99#0,"""ЛЭ: Избранное"""
LobbyActionCategory_1#0,"""ЛЭ: базовые"""
LobbyActionCategory_4#0,"""ЛЭ: дополнительные 1"""
LobbyActionCategory_5#0,"""ЛЭ: дополнительные 2"""
LobbyActionCategory_6#0,"""ЛЭ: дополнительные 3"""
LobbyActionCategory_7#0,"""ЛЭ: дополнительные 4"""
LobbyActionCategory_8#0,"""ЛЭ: дополнительные 5"""
LobbyActionCategory_9#0,"""ЛЭ: дополнительные 6"""
LobbyActionCategory_10#0,"""ЛЭ: дополнительные 7"""
LobbyActionCategory_11#0,"""ЛЭ: дополнительные 8"""
LobbyActionCategory_12#0,"""ЛЭ: дополнительные 9"""
LobbyActionCategory_13#0,"""ЛЭ: дополнительные 10"""
LobbyActionCategory_14#0,"""ЛЭ: дополнительные 11"""
LobbyActionCategory_15#0,"""ЛЭ: дополнительные 12"""
LobbyActionCategory_16#0,"""ЛЭ: дополнительные 13"""
LobbyActionCategory_17#0,"""ЛЭ: дополнительные 14"""
LobbyActionCategory_18#0,"""ЛЭ: дополнительные 15"""
LobbyActionCategory_34#0,"""ЛЭ: дополнительные 16"""
LobbyActionCategory_36#0,"""ЛЭ: дополнительные 17"""
LobbyActionCategory_19#0,"""ЛЭ: позы 1"""
LobbyActionCategory_20#0,"""ЛЭ: позы 2"""
LobbyActionCategory_21#0,"""ЛЭ: позы 3"""
LobbyActionCategory_22#0,"""ЛЭ: позы 4"""
LobbyActionCategory_35#0,"""ЛЭ: позы 5"""
LobbyActionCategory_23#0,"""ЛЭ: позы NPC 1"""
LobbyActionCategory_24#0,"""ЛЭ: позы NPC 2"""
LobbyActionCategory_25#0,"""ЛЭ: позы NPC 3"""
LobbyActionCategory_26#0,"""ЛЭ: позы NPC 4"""
LobbyActionCategory_27#0,"""ЛЭ: перфоманс 1"""
LobbyActionCategory_28#0,"""ЛЭ: перфоманс 2"""
LobbyActionCategory_29#0,"""ЛЭ: перфоманс 3"""
LobbyActionCategory_30#0,"""ЛЭ: перфоманс 4"""
LobbyActionCategory_31#0,"""ЛЭ: коллаборация 1"""
LobbyActionCategory_32#0,"""ЛЭ: коллаборация 2"""
LobbyActionCategory_33#0,"""ЛЭ: коллаборация 3"""
LobbyActionCategory_37#0,"""ロビアク：コラボ4"""
LobbyActionCategory_2#0,"""ЛЭ: ростовые буквы"""
LobbyActionCategory_3#0,"""Фотонные кресла"""
LobbyAction_MonomanePayAction#0,"""Для этого лобби-экшна нужен соответствующий билет."""
LobbyActionCategoryTab_99#0,"""0. Избранное"""
LobbyActionCategoryTab_0#0,"""1. Показать все"""
LobbyActionCategoryTab_1#0,"""$(0). Базовые"""
LobbyActionCategoryTab_4#0,"""$(0). Дополнительные 1"""
LobbyActionCategoryTab_5#0,"""$(0). Дополнительные 2"""
LobbyActionCategoryTab_6#0,"""$(0). Дополнительные 3"""
LobbyActionCategoryTab_7#0,"""$(0). Дополнительные 4"""
LobbyActionCategoryTab_8#0,"""$(0). Дополнительные 5"""
LobbyActionCategoryTab_9#0,"""$(0). Дополнительные 6"""
LobbyActionCategoryTab_10#0,"""$(0). Дополнительные 7"""
LobbyActionCategoryTab_11#0,"""$(0). Дополнительные 8"""
LobbyActionCategoryTab_12#0,"""$(0). Дополнительные 9"""
LobbyActionCategoryTab_13#0,"""$(0). Дополнительные 10"""
LobbyActionCategoryTab_14#0,"""$(0). Дополнительные 11"""
LobbyActionCategoryTab_15#0,"""$(0). Дополнительные 12"""
