Title_DeadMenu#0,"""Меню небоеспособности"""
ClassSelect#0,"""Выбрать класс"""
SkillTree#0,"""Древо умений"""
SkillTreeConfig#0,"""Изучить классовое умение"""
SkillTreeSelect#0,"""Выбрать древо умений"""
ClassChangeTitle#0,"""Сменить класс"""
AutoSkillTreeConfig#0,"""Установить по рекомендуемым"""
ClassLevel#0,"""Ур.(МАКС.)"""
SkillTreeConfirmTitle#0,"""Принять умения"""
MainClassChangeMessage#0,"""Меняем основной класс на $(0) $(1)ур.<br>Вы уверены?"""
MainClassChangeSuccess#0,"""Основной класс изменён."""
SubClassChangeMessage#0,"""Вы меняете основной класс на<br>$(0) $(1) уровня.<br>В случае смены вы получите:<br> ・Часть его характеристик;<br> ・Его умения и навыки;<br>・РА и техники.<br><br>Вы уверены?"""
SubClassChangeMessageVillain#0,"""Вы меняете основной класс на<br>$(0) $(1) уровня.<br>В случае смены вы получите:<br> ・Часть его характеристик;<br> ・Его умения и навыки;<br>\u3000・Техники.<br>\u3000<yellow>※РА $(0) не доступны.<c><br><br>Вы уверены?"""
SubClassChangeMessageMaster#0,"""Вы меняете основной класс на<br>$(0) $(1) уровня.<br>В случае смены вы получите:<br> ・Часть его характеристик;<br> ・Его умения и навыки;<br>\u3000<yellow>※РА $(0) не доступны.<c><br><br>Вы уверены?"""
SubClassChangeMessageSlayer#0,"""Вы меняете основной класс на<br>$(0) $(1) уровня.<br>В случае смены вы получите:<br> ・Часть его характеристик;<br> ・Его умения и навыки;<br>\u3000<yellow>※РА $(0) не доступны.<c><br><br>Вы уверены?"""
SubClassChangeSuccess#0,"""Подкласс изменён."""
ClassChangeMessage#0,"""Смена подкласса класса на<br>$(0) $(1)уровня.<br>Вы уверены?"""
ClassChangeSuccess#0,"""Ваш класс изменён."""
ClassChangeFailed#0,"""Сейчас вы не можете сменить ваш класс."""
ClassChangeFailMessage#0,"""Вы уже $(0).<br>Смена класса не нужна."""
MainClassChangeFailMessage#0,"""Ваш основной класс уже $(0)."""
SubClassChangeFailMessage#0,"""Ваш подкласс уже $(0)."""
SubClassChangeWpnmanFailMessage#0,"""Вы не можете выбрать подкласс с $(0)."""
MainClassChangeWpnmanMessage#0,"""<yellow>※При выборе $(0) ваш подкласс будет убран<c>"""
MainClassChangeWpnmanFailMessage#0,"""Чтобы выбрать класс $(0),<br>необходимо:<br><br>・ Выполнить заказ Коффи<br>「$(0) Class Unlocking Trial」.<br><yellow>※Доступно при достижении любыми двумя<br>классами 75 уровня.<br>※Как только заказ будет выполнен,<br>повторно выполнять заказ не<br>потребуется. Остальным персонажам<br>достаточно будет взять и сдать этот<br>заказ.<c>"""
MainClassChangeVillainFailMessage#0,"""Чтобы выбрать класс $(0),<br>необходимо:<br><br>・ Выполнить заказ Коффи<br>「$(0) Class Unlocking Trial」.<br><yellow>※Доступно при достижении любыми двумя<br>классами 75 уровня.<br>※Как только заказ будет выполнен,<br>повторно выполнять заказ не<br>потребуется. Остальным персонажам<br>достаточно будет взять и сдать этот<br>заказ.<c>"""
MainClassChangeEtoileFailMessage#0,"""Чтобы выбрать класс $(0),<br>необходимо:<br><br>・ Выполнить заказ Коффи<br>「$(0) Class Unlocking Trial」.<br><yellow>※Доступно при достижении любыми двумя<br>классами 75 уровня.<br>※Как только заказ будет выполнен,<br>повторно выполнять заказ не<br>потребуется. Остальным персонажам<br>достаточно будет взять и сдать этот<br>заказ.<c>"""
MainClassChangeSlayerFailMessage#0,"""Чтобы выбрать класс $(0),<br>необходимо:<br><br>・ Выполнить заказ Коффи<br>「$(0) Class Unlocking Trial」.<br><yellow>※Доступно при достижении любыми двумя<br>классами 75 уровня.<br>※Как только заказ будет выполнен,<br>повторно выполнять заказ не<br>потребуется. Остальным персонажам<br>достаточно будет взять и сдать этот<br>заказ.<c>"""
SkillTreeAdd#0,"""Добавить дерево умений <pict Arcscash>"""
SkillTreeReset#0,"""Сбросить дерево умений <pict Arcscash>"""
SkillTreeResetSG#0,"""Сбросить древо умений <pict StarGem>"""
SkillTreeResetAll#0,"""Сбросить все древа умений"""
SkillTreeGet#0,"""Изучить классовые умения"""
SkillTreeReturn#0,"""Выйти"""
ClassList#0,"""Список классов"""
SkillTreeList#0,"""Список древа умений выбран"""
SkillTreeAddAsk#0,"""Добавляем древо умений.<br>Вы уверены?"""
SkillTreeAddSuccess#0,"""Древо умений добавлено."""
SkillTreeAddFailed#0,"""Неудача при добавлении древа умений."""
SkillTreeAddFailedFull#0,"""Нельзя добавить больше."""
SkillTreeApplyAsk#0,"""Древо умений настроено.<br>Желаете сохранить?"""
SkillTreeApplySuccess#0,"""Древо умений выбрано."""
SkillTreeApplyFailed#0,"""Не удалось выбрать древо умений."""
SkillTreeApplyFailedCurrent#0,"""Данное древо умений уже выбрано."""
SkillTreeApplyFailedQuest#0,"""Вы не можете сменить класс<br>пока выполняете квест."""
SkillTreeResetAsk#0,"""Перенос древа умений.<br>Вы уверены?"""
SkillTreeResetSuccess#0,"""Древо умений успешно перенесено."""
SkillTreeResetFailed#0,"""Не удалось перенести древо умений."""
SkillTreeResetFailedCurrent#0,"""Древо умений успешно перенесено."""
SkillTreeResetAllAsk#0,"""Для сброса древа умений вы используете \""N-Сброс всех деревьев умений\"".<br>Таким образом вы сбросите очки умений на всех деревьях.<br>Хотите продолжить?"""
SkillTreeResetAllSuccess#0,"""Все древа умений сброшены.<br>Пожалуйста, перераспределите очки умений снова."""
SkillTreeResetAllFailed#0,"""Не удалось сбросить все древа умений.<br>Повторите попытку позднее."""
SkillTreeResetAllFailedNG#0,"""Вы не можете выполнить сброс поскольку<br>у вас нет \""N-Сброс всех деревьев умений\""."""
ClassSelectExplain#0,"""<c f0df60>Вы можете сменить свой текущий класс используя \""Выбрать класс\"".<br>Если у вас есть несколько древ умений, вы можете выбрать<br>одно из них в разделе \""Выбрать древо умений\"".<c>"""
ClassSelectExplain_v#0,"""<c f0df61>「クラス選択」でクラスを変更、\u3000「スキルツリー選択」でスキルツリー複数所有時に選択を行います。<c>"""
SkillTreeAddPath#0,"""<pict Arcscash><c ff4f3f>AC контент:<c><br>Добавление $(0) древа умений.<br>Вы хотите приобрести <br><yellow>[N-Пропуск на доп. древо умений]<c>?<br><br>(Текущее количество билетов: $(1))"""
SkillTreeAddTicket#0,"""<pict Arcscash><c 5fdf00>Хотите ли вы использовать <c><br><yellow>[N-Пропуск на доп. древо умений]<c>, который вы купили и добавить древо умений для $(0)?<br><br>(Текущее количество билетов: $(1))"""
SkillTreeResetPath#0,"""<pict Arcscash><c ff4f3f>АС контент:<c><br>Вы собираетесь приобрести<br><yellow>[N-Пропуск на доп. древо умений]<c>.<br><br>До сброса / $(1) древ умений <br>После сброса / $(1) древ умений <br><br>(Доступно: $(2))"""
SkillTreeResetPathSG#0,"""<pict StarGem><c 1dedd7>SG контент:<c><br>Вы собираетесь приобрести<br><yellow>[N-Пропуск на доп. древо умений]<c>.<br><br>До сброса / $(1) древ умений <br>После сброса / $(1) древ умений <br><br>(Доступно: $(2))"""
SkillTreeResetTicket#0,"""<pict Arcscash><c 5fdf00>Приобретение и использование предметов<c><br> Вы собираетесь использовать<yellow>[N-Пропуск на доп. древо умений]<c><br>для сброса древа умений?<br><br>До сброса / $(1) древ умений <br>После сброса / $(1) древ умений <br><br>(Доступно: $(2))"""
SkillTreeResetTicketSG#0,"""<pict StarGem><c 5fdf00>Приобретение и использование предметов<c><br> Вы собираетесь использовать<yellow>[N-Пропуск на доп. древо умений]<c><br>для сброса древа умений?<br><br>До сброса / $(1) древ умений <br>После сброса / $(1) древ умений <br><br>(Доступно: $(2))"""
SkillTreeExplain#0,"""<c f0df60>Вы можете потратить очки умений (SP), чтобы получить умения класса. SP даются за повышение уровня. <c f0df60>Для уточнения подробностей<c> <%NextTabDetails>"""
SkillTreeExplain_v#0,"""<c f0df60>Вы можете потратить очки умений (SP), чтобы получить умения класса. SP даются за повышение уровня.<c>"""
SkillTreeAddExplain#0,"""<c f0df60>Здесь вы можете приобрести и использовать [N-Пропуск на доп. древо умений] чтобы добавить древо умений.<c>"""
SkillTreeResetExplain#0,"""<c f0df60>“N-追加スキルツリー振り替え”を使用またはACで購入して、スキルツリーを初期化できます。最初に、振り替えるツリーを選択してください。<c>"""
SkillTreeResetExplainSG#0,"""<c f0df60>Вы можете инициализировать древо умений, используя [N-Пропуск на доп. древо умений] или заплатив SG. Для начала выберите древо умений которое хотите сбросить.<c>"""
SkillTreeResetExplain_v#0,"""<c f0df61>“N-追加スキルツリー振り替え”を使用、またはACで購入して、スキルツリーを初期化できます。"""
SkillTreeResetExplainSG_v#0,"""<c f0df61>“N-追加スキルツリー振り替え”を使用、またはＳＧで購入して、スキルツリーを初期化できます。<c>"""
SkillTreeReset2Explain#0,"""<c f0df60>選択したツリーを、<yellow>別のクラス用に振り替えることも可能です。<c f0df60>どのクラス用に振り替えるか選択してください。<c>"""
SkillTreeReset2Explain_v#0,"""<c f0df60>選択したツリーを、<yellow>別のクラス用に振り替えることも可能です。<c f0df61>クラスを選択してください。<c>"""
ClassCounterExplain#0,"""<c f0df60>Здесь вы можете сменить свой класс или изучить умения из древа.<c>"""
SkillTreeAddNum#0,"""Кол-во деревьев"""
Check#0,"""Подтверждение"""
SkillTreeInfoTitle#0,"""Инфо класса и древа умений"""
SkillTreeTotal#0,"""Всего добавлено деревьев"""
TreeListCaption#0,"""Древо ($(0))"""
TreeListPoint#0,"""Осталось SP"""
MoreDetails#0,"""Инфо: <pict Sign_SELECT>"""
MySetExplain#0,"""<c f0df60>Сохранить набор в \""Мой набор\"".<c>"""
MySetExplain2button#0,"""<c f0df60>Сохраните либо установите \""Мой набор\"".<c><red>※В данный момент используется 2-х кнопочная система.<c>"""
MySetExplain3button#0,"""<c f0df60>Сохраните либо установите \""Мой набор\"".<c><red>※В данный момент используется 3-х кнопочная система.<c>"""
ManualSkillTreeGet#0,"""Установить древо вручную"""
AutoSkillTreeGet#0,"""Установить по рекомендуемым"""
AutoSkillTreeAsk#0,"""Этой настройкой очки умений автоматически распределятся.<br>Желаете продолжить?<br><yellow>※Ваше древо умений будет перезаписано, включая установленные вами очки умений.<c>"""
AutoSkillTreeList#0,"""Следующие умения будут распределены.<br>Желаете продолжить?<br><red>※Если хотите вручную назначить очки умений,<br>тогда вам потребуется [All Skill Tree Reset Pass]<c>"""
AutoSkillTreeListVita#0,"""Следующие умения будут распределены.<br>Желаете продолжить?<br><red>※Если хотите вручную назначить очки умений,<br>тогда вам потребуется [All Skill Tree Reset Pass]<c>"""
AutoSkillTreeSuccess#0,"""Выбраны рекомендуемые умения."""
AutoSkillTreeFailed#0,"""Не удалось выбрать рекомендуемые умения."""
Title#2,"""Информация о классе"""
Experience#0,"""Опыт"""
NextExperience#0,"""До след ур."""
EquipableWeapon#0,"""Доступное оружие"""
Blank#0,"""―"""
Together_EXP#0,"""Общий опыт"""
Together_EXP_Max#0,"""Макс. общий опыт"""
ClassLevel#1,"""Ур. (МАКС.)"""
Title#3,"""Инфо классового умения"""
NoSelectMessage#0,"""Вы не выбрали классовое умение"""
MaxLevel#0,"""Макс. Ур."""
Percent#0,"""$(0)％"""
Second#0,"""$(0) сек."""
Piece#0,"""$(0) частей"""
Shot#0,"""$(0) выстрелов"""
Plus#0,"""＋$(0)"""
Minus#0,"""－$(0)"""
Times#0,"""$(0) раз"""
Blank#1,"""―"""
LevelZero#0,"""Нулевой"""
MaxLevelValue#0,"""（$(0)）"""
Decimal#0,"""$(1).$(0)"""
Prev#0,"""Предыдущий"""
Next#0,"""Следующий"""
PartyInfoReb_001#0,"""Теперь вы суб-лидер по причине смены членов команды."""
PartyInfoReb_002#0,"""Вы больше не суб-лидер по причине смены членов команды."""
PartyInfoReb_003#0,"""$(0) вышел(ла) из группы."""
PartyInfoReb_004#0,"""$(0) теперь суб-лидер."""
PartyInfoReb_005#0,"""$(0) теперь лидер."""
EnterConfirmMessage#0,"""Нельзя использовать чат в салоне.<br>※Входящие сообщения останутся в журнале<br>чата.<br>Уведомления о группах и квестах не<br>будут приходить, и вы не сможете<br>находиться на подборе.<br><br><yellow>Если в вашем инвентаре недостаточно<br>места, вы не сможете надеть одежду<br>из хранилища персонажа.<c><br>Желаете войти в салон?<br><br><red>※Помимо траты SG для внесения<br>изменений, вы также можете<br>использовать [Пропуск в салон],<br>приобретаемый за АС.<c>"""
EnterConfirmMessage2#0,"""Нельзя использовать чат в салоне.<br>※Входящие сообщения останутся в журнале<br>чата.<br>Уведомления о группах и квестах не<br>будут приходить, и вы не сможете<br>находиться на подборе.<br><br><yellow>Если в вашем инвентаре недостаточно<br>места, вы не сможете надеть одежду<br>из хранилища персонажа.<c><br>Желаете войти в салон?<br><br>[Пропуск в салон]\u3000\u3000\u3000\u3000Время редактирования: $(0)"""
EnterConfirmMessage3#0,"""Нельзя использовать чат в салоне.<br>※Входящие сообщения останутся в журнале<br>чата.<br>Уведомления о группах и квестах не<br>будут приходить, и вы не сможете<br>находиться на подборе.<br><br><yellow>Если в вашем инвентаре недостаточно<br>места, вы не сможете надеть одежду<br>из хранилища персонажа.<c><br>Желаете войти в салон?<br><br>[Пропуск для смены цвета]\u3000Повторное редактирование предмета: $(0) раз(а)<br>\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000Минимальное оставшееся время: $(1)<br>\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000$(2)"""
EnterConfirmMessage4#0,"""Нельзя использовать чат в салоне.<br>※Входящие сообщения останутся в журнале<br>чата.<br>Уведомления о группах и квестах не<br>будут приходить, и вы не сможете<br>находиться на подборе.<br><br><yellow>Если в вашем инвентаре недостаточно<br>места, вы не сможете надеть одежду<br>из хранилища персонажа.<c><br>Желаете войти в салон?<br><br>[Пропуск в салон]\u3000\u3000\u3000Время редактирования: $(0)<br>[Пропуск для смены цвета]\u3000Повторное редактирование предмета: $(1)раз(а)<br>\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000Минимальное оставшееся время: $(2)<br>\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000$(3)"""
EnterConfirmMessage5#0,"""Нельзя использовать чат в салоне.<br>※Входящие сообщения останутся в журнале<br>чата.<br>Уведомления о группах и квестах не<br>будут приходить, и вы не сможете<br>находиться на подборе.<br><br><yellow>Если в вашем инвентаре недостаточно<br>места, вы не сможете надеть одежду<br>из хранилища персонажа.<c><br>Желаете войти в салон?<br><br>Редактирование персонажа\u3000\u3000\u3000Время редактирования: $(0)"""
EnterConfirmMessage6#0,"""Нельзя использовать чат в салоне.<br>※Входящие сообщения останутся в журнале<br>чата.<br>Уведомления о группах и квестах не<br>будут приходить, и вы не сможете<br>находиться на подборе.<br><br><yellow>Если в вашем инвентаре недостаточно<br>места, вы не сможете надеть одежду<br>из хранилища персонажа.<c><br>Желаете войти в салон?<br><br>Редактирование персонажа\u3000\u3000Время редактирования: $(0)<br><br>[Пропуск для смены цвета]\u3000Повторное редактирование предмета: $(1)раз(а)<br>\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000Минимальное оставшееся время: $(2)<br>\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000$(3)"""
FightingPower#0,"""Боевая Мощь"""
AttackPower#0,"""Атака"""
DefencePower#0,"""Защита"""
Label_WeaponRise#0,"""Улучш-е оружия"""
Labal_Resist_Condition#0,"""Сопрот. дебаффу"""
ValueZeroPercent#0,"""+0%"""
Param_ComparePlus_Percent#0,"""<light_orange2>＋$(0)％<c>"""
Param_CompareMinus_Percent#0,"""<vivid_cyan2>－$(0)％<c>"""
LeaderMenuLabel06#0,"""Сбор членов группы"""
PartyMenuText06#0,"""$(0) запросил(а) сбор группы.<br>Выбрав <yellow>“Да”<c>, вы автоматически переместитесь<br>к пункту назначения через $(1) секунд.<br>Вы принимаете?<br>Пункт назначения: $(2)"""
PartyConfigLabel25#0,"""<pict icon_voice_chat><pict 4space>Рекомендован голосовой чат"""
PartyConfigLabel26#0,"""Условия вступления"""
PartyConfigLabel27#0,"""Текущие настройки группы"""
Block_help_ClassicBlock#0,"""Блок для 『PSO2』."""
Block_help_Beginner#0,"""Блок для новичков. Приветствуются ветераны<br>игры, которые смогут им помочь!<br>※Подбор будет ограничен блоками для<br>начинающих."""
Block_help_Normal#0,"""Блок для приключений с игроками в регионе<br>$(0).<br>※Подбор будет ограничен блоками того же региона."""
Block_help_Stream#0,"""Рекомендованный блок для создания фото<br>и трансляций в регионе $(0).<br>※Подбор будет ограничен блоками того<br>же региона."""
Block_help_PF_CloudPC#0,"""【Только “Облако” и “PC”】"""
Block_help_PF_CloudOnly#0,"""【Только “Облако”】"""
Window_Titletelop_Loginbonus#0,"""Бонус входа"""
Window_Title_LoginbonusInfo#0,"""Инфо бонуса входа"""
Label_DeliveryPeriod#0,"""Период раздачи"""
Label_Progress#0,"""Прогресс"""
Content_DeliveryPeriod#0,"""От $(1) до $(0)"""
Content_Progress#0,"""$(1)/$(0)"""
Mes_Loginbonus#0,"""Здесь описание бонуса входа."""
ItemDetail_Title#0,"""Инфо предмета"""
LoginBonusTabName_Normal#0,"""Обычный $(0)"""
LoginBonusTabName_Limited#0,"""Временный $(0)"""
LoginBonusTabName_Beginner#0,"""Для начинающих $(0)"""
LoginBonusTabName_Comeback#0,"""Для вернувшихся $(0)"""
LoginBonusTabName_Inherit#0,"""Для преемников $(0)"""
AutoWordTypeTrialStart#0,"""В испытании"""
AutoWordTypeTrialSuccess#0,"""Испытание завершено"""
AutoWordTypeTrialFailure#0,"""Испытание провалено"""
AutoWordTypeFastTravelStart#0,"""Начато быстрое перемещение"""
AutoWordTypeFastTravelEnd#0,"""Быстрое перемещение завершено"""
AutoWordTypePhotonDash#0,"""Фотонный рывок"""
AutoWordTypePhotonDashAttack#0,"""Атака в фотонном рывке"""
AutoWordTypePhotonGlide#0,"""Фотонное парение"""
AutoWordTypeGlideAttack#0,"""Атака в фотонном парении"""
AutoWordTypeWeaponAction#0,"""Действие оружия"""
AutoWordTypeGetGathering#0,"""Приобретено во время сбора"""
PlBadCond:Burn#0,"""Поджог"""
PlBadCond:Freeze#0,"""Заморозка"""
PlBadCond:Shock#0,"""Шок"""
PlBadCond:Mirage#0,"""Мираж"""
PlBadCond:Panic#0,"""Паника"""
PlBadCond:Poison#0,"""Отравления"""
PlBadCond:Stun#0,"""Оглушение"""
PlBadCond:Injury#0,"""Травма"""
