CorrectionAssignMapTitle#0,"""Восстановление настроек управления"""
Config_097_Hint_PCCloud#0,"""他のプレイヤーがダークブラストを使用した時の<br>見た目を設定します。<br><br>【他者の設定に従う】<br>他のプレイヤーの設定に従って表示します。<br><br>【オーラ表示】<br>ダークブラストの見た目をオーラ表示にします。<br>透明度は他プレイヤーの設定が反映されます。<br><br>【キャラクター表示】<br>ダークブラストを表示せず<br>常にキャラクターを表示します。"""
Config_098_Hint#0,"""Устанавливает громкость музыки."""
Config_099_Hint#0,"""Устанавливает громкость звуков."""
Config_100_Hint#0,"""Устанавливает громкость голосов."""
Config_101_Hint#0,"""Для установки громкости видео, отображаемого<br>на мониторах, установленных в лобби, а также<br>для некоторых кат-сцен."""
Config_102_Name#0,"""Объёмный звук"""
Config_102_Choices_0#0,"""ON"""
Config_102_Choices_1#0,"""OFF"""
Config_102_Hint#0,"""Настройка эффекта объёмного звука."""
Config_103_Name#0,"""Звук при неактивном окне"""
Config_103_Hint#0,"""Определяет воспроизведение звука<br>при неактивном окне с игрой."""
Config_104_Name#0,"""Источники света"""
Config_104_Hint#0,"""Для настройки эффекта освещения.<br>Отключение немного улучшит<br>производительность."""
Config_105_Name#0,"""Ландшафтное освещение"""
Config_105_Hint#0,"""Для настройки ландшафтного<br>освещения.<br>Отключение немного улучшит<br>производительность."""
Config_105_Hint_PS4#0,"""地形に関係するライティングの<br>ON/OFFを切り替えます。<br><br>OFFにすると処理がやや軽くなります。"""
Config_105_Hint_Switch#0,"""地形に関係するライティングの<br>ON/OFFを切り替えます。"""
Config_105_Hint_PCCloud#0,"""地形に関係するライティングの<br>ON/OFFを切り替えます。"""
Config_106_Name#0,"""Свечение(Bloom)"""
Config_106_Hint#0,"""Создаёт эффекты на экране при выидимости<br>очень ярких эффектов.<br><br>Отключение немного улучшит<br>производительность."""
Config_106_Hint_PS4#0,"""明るい部分にフィルターをかけ、<br>画面全体をよりきれいに見せる効果の<br>ON/OFFを切り替えます。<br><br>OFFにすると処理がやや軽くなります。"""
Config_107_Name#0,"""Глубина резкости(DOF)"""
Config_107_Hint#0,"""Имитация размытия для удалённых объектов.<br><br>Отключение немного улучшит<br>производительность."""
Config_107_Hint_PS4#0,"""一部のイベントシーンなどで、<br>背景をぼかす効果のON/OFFを切り替えます。<br><br>OFFにすると処理がやや軽くなります。"""
Config_108_Name#0,"""Размытие"""
Config_108_Hint#0,"""Для эффекта размытия.<br><br>Отключение немного улучшит<br>производительность."""
Config_109_Name#0,"""Объёмное освещение"""
Config_109_Hint#0,"""Отвечает за отображения солнечных лучей.<br><br>Отключение немного улучшит<br>производительность."""
Config_109_Hint_PS4#0,"""光が太陽を中心に拡散する表現の<br>ON/OFFを切り替えます。<br><br>OFFにすると処理が多少軽くなります。"""
Config_110_Name#0,"""Сглаживание"""
Config_110_Hint#0,"""Отвечает за сглаживание.<br>Отключение немного улучшит<br>производительность.<br><br><yellow>※Включение TAA может изменить вид<br>некоторых предметов 『PSO2』.<c>"""
Config_111_Name#0,"""Мягкие частицы"""
Config_111_Hint#0,"""Отвечает за эффект мягких частиц.<br><br>Отключение немного улучшит<br>производительность."""
Config_111_Hint_PS4#0,"""エフェクトの粒子（パーティクル）が<br>地面に近づいた際に薄くなる効果です。<br>一部エフェクトにのみ適用されます。<br><br>OFFにすると処理が多少軽くなります。"""
Config_112_Name#0,"""Уменьшение яркости эффектов"""
Config_112_Choices_0#0,"""Обычные"""
Config_112_Choices_1#0,"""Уменьшенные"""
Config_112_Hint#0,"""Настраивает яркость определённых эффектов.<br>Установка на [Уменьшенная] сделает<br>их тускней."""
Config_112_Hint_Switch#0,"""一部のエフェクトの光り方の強弱を切り替えます。<br>「軽減する」を選択すると、光り方が弱くなります。"""
Config_112_Hint_PCCloud#0,"""一部のエフェクトの光り方の強弱を切り替えます。<br>「軽減する」を選択すると、光り方が弱くなります。"""
Config_113_Name#0,"""Дистанция невидимости эффектов"""
Config_113_Choices_0#0,"""Только вблизи"""
Config_113_Choices_1#0,"""На любом расстоянии"""
Config_113_Hint#0,"""Устанавливает расстояние, на котором эффекты<br>других игроков станут невидимы.<br><br>В случае выбора [Эффекты невидимы на всех<br>расстояниях], некоторые эффекты никогда<br>не будут видны."""
Config_114_Name#0,"""Непрямое затенение объектов (Ambient Occlusion)"""
Config_114_Hint#0,"""Отвечает за затемнение теней, отбрасываемых<br>по краям.<br><br>Отключение немного улучшит<br>производительность."""
Config_114_Hint_PS4#0,"""物体の外縁部にできる影を、<br>より精密に描写する機能の<br>ON/OFFを切り替えます。<br><br>OFFにすると処理がやや軽くなります。"""
Config_115_Name#0,"""Затемнение краёв"""
Config_115_Hint#0,"""Для затемнения краёв экрана.<br><br>Отключение немного улучшит<br>производительность."""
Config_115_Hint_PS4#0,"""画面の外縁部を暗めにする機能の<br>ON/OFFを切り替えます。<br><br>OFFにすると処理がやや軽くなります。"""
Config_116_Name#0,"""Кривая цветокоррекции"""
Config_116_Hint#0,"""Для настройки общей яркости, цвета, контраста<br>для каждого места.<br><br>Отключение немного улучшит<br>производительность."""
Config_116_Hint_PS4#0,"""画面全体の色調やコントラスト、明るさを<br>フィールドごとに調整する機能の<br>ON/OFFを切り替えます。<br><br>OFFにすると処理がやや軽くなります。"""
Config_116_Hint_Switch#0,"""画面全体の色調やコントラスト、明るさを<br>フィールドごとに調整する機能の<br>ON/OFFを切り替えます。<br><br>OFFにすると処理がやや軽くなります。"""
Config_116_Hint_PCCloud#0,"""画面全体の色調やコントラスト、明るさを<br>フィールドごとに調整する機能の<br>ON/OFFを切り替えます。<br><br>OFFにすると処理がやや軽くなります。"""
Config_117_Name#0,"""Освещение на краях"""
Config_117_Hint#0,"""Для регулировки количества света, падающего<br>на края объектов.<br><br>Отключение немного улучшит<br>производительность."""
Config_117_Hint_PS4#0,"""オブジェクトの周囲にかかる光量を調整します。<br><br>OFFにすると処理が多少軽くなります。"""
Config_117_Hint_Switch#0,"""オブジェクトの周囲にかかる光量を調整します。"""
Config_117_Hint_PCCloud#0,"""オブジェクトの周囲にかかる光量を調整します。"""
Config_118_Name#0,"""Настройка динамического разрешения"""
Config_118_Hint_PS4#0,"""Функция для уменьшения разрешения и поддержки<br>высокой частоты кадров при высокой нагрузке.<br><br>Если она выключена, то есть вероятность<br>снижения частоты кадров при высокой<br>нагрузке."""
Config_119_Hint#0,"""Для установки числа детально отображаемых<br>персонажей, например, в демонстрации<br>снаряжения.<br>Снижение отображаемого количества улучшит<br>производительность."""
Config_120_Hint#0,"""Для установки числа отображаемых<br>Фотонных Бластов.<br>Снижение отображаемого количества улучшит<br>производительность."""
Config_121_Hint#0,"""Для качества отражения воды.<br>Снижение отображаемого количества улучшит<br>производительность."""
Config_122_Hint#0,"""Для качества отображаемых теней.<br>Снижение отображаемого количества улучшит<br>производительность."""
Config_124_Hint_PS4#0,"""画面の明るさを設定します。<br>数値を下げると画面全体の明るさを<br>おさえることができます。"""
Config_123_Hint#0,"""Для установления яркости экрана.<br><br>Понижение значения приведёт к снижению<br>яркости всей картинки."""
Config_125_Hint#0,"""Для установки скорости перемещения мыши.<br>Понижение значения приведёт к снижению<br>скорости вращения камеры при использовании<br>мыши."""
Config_127_Name#0,"""Скрытие аксессуаров других игроков"""
Config_127_Choices_0#0,"""Выключить"""
Config_127_Choices_1#0,"""Только чёрный список"""
Config_127_Choices_2#0,"""Скрыть все"""
Config_127_Hint#0,"""Для установки параметра отображения аксессуаров.<br><br>В случае выбора [Только чёрный список], только у игроков из чёрного списка будут скрыты аксессуары.<br><br>В случае выбора [Скрыть все] отключит все аксессуары у других игроков, в не зависимости от нахождения в чёрном списке.<br><br>Отключения данного параметра устанавливает отображение всех аксессуаров."""
Config_128_Name#0,"""Функция голосового чата"""
Config_128_Choices_0#0,"""Включить"""
Config_128_Choices_1#0,"""Выключить"""
Config_128_Hint#0,"""Для настройки голосового чата.<br>Если её отключить, то вы<br>не будете слышать других игроков.<br><br>※Настройка может отобразиться не сразу."""
Config_129_Name#0,"""Список желаемого, список подарков"""
Config_129_Choices_0#0,"""Не показывать"""
Config_129_Choices_1#0,"""Показывать"""
Config_129_Hint#0,"""Для отображения вами списка желаемого<br>и списка подарков в меню."""
Config_130_Name#0,"""Авто-подбор в хранилище материалов"""
Config_130_Choices_0#0,"""Включить"""
Config_130_Choices_1#0,"""Выключить"""
Config_130_Hint#0,"""Для настройки автоматического отправления<br>предметов в хранилище материалов."""
Config_Reb_001_Name#0,"""Вращение радар-карты"""
Config_Reb_001_Hint#0,"""Для настройки поворота радар-карты<br>в соответствии с ориентацией камеры."""
Config_Reb_001_Select_0#0,"""Не вращается"""
Config_Reb_001_Select_1#0,"""Вращается"""
Config_Reb_002_Name#0,"""Цвет НР бара относительно атрибута атаки"""
Config_Reb_002_Hint#0,"""Настройка изменения цвета НР бара в<br>зависимости от того, был ли урон<br>нанесён S-atk R-atk или T-atk."""
Config_Reb_002_Select_0#0,"""Независимо от атрибута"""
Config_Reb_002_Select_1#0,"""В зависимости от атрибута"""
Config_Reb_003_Name#0,"""Отображения названия в под-палитре"""
Config_Reb_003_Hint#0,"""Настройка отображения названия<br>выбранного в под-палитре."""
Config_Reb_003_Select_0#0,"""Не показывать"""
Config_Reb_003_Select_1#0,"""Отобр-ть при наведении"""
Config_Reb_003_Select_2#0,"""Отображать всегда"""
Config_Reb_004_Name#0,"""Эффект редких предметов"""
Config_Reb_004_Hint#0,"""Настройка отображения эффекта выпадения<br>редких предметов."""
Config_Reb_004_Select_0#0,"""Не показывать"""
Config_Reb_004_Select_1#0,"""Только звуковой эффект"""
Config_Reb_004_Select_2#0,"""Показывать"""
Config_Reb_005_Name#0,"""Объёмный туман"""
Config_Reb_005_Hint#0,"""Настройка света, отражающего туман и<br>пыль. Отключение этого эффекта<br>снизит нагрузку обработки."""
Config_Reb_006_Name#0,"""Формат отобр-я меню персонажа"""
Config_Reb_006_Hint#0,"""Настройка формата меню персонажа,<br>которое отображается при выборе<br>окружающих персонажей."""
Config_Reb_006_Select_0#0,"""Категория"""
Config_Reb_006_Select_1#0,"""Список"""
Config_Reb_007_Name#0,"""Иконка вернувшегося игрока"""
Config_Reb_007_Hint#0,"""Настройка отображения иконки<br>вернувшегося игрока.<br>※Бонус активен даже при<br>скрытой иконке."""
Config_Reb_007_Select_0#0,"""Не показывать"""
Config_Reb_007_Select_1#0,"""Показывать"""
Config_Reb_008_Name#0,"""Воспроизведение видео на мониторе"""
Config_Reb_008_Hint#0,"""Настройка воспроизведения видео<br>на мониторах в городе."""
Config_Reb_008_Select_0#0,"""Не воспроизводить"""
Config_Reb_008_Select_1#0,"""Воспроизводить"""
Config_Reb_009_Name#0,"""Сохранение настроек группы"""
Config_Reb_009_Hint#0,"""Сохранять настройки группы ,<br>что даже после смены аккаунта или блока<br>настройки группы <yellow>будут сохранены<br>до выхода из игры.<c>"""
Config_Reb_009_Select_0#0,"""Не сохранять"""
Config_Reb_009_Select_1#0,"""Сохранять"""
Config_Reb_010_Name#0,"""Фокус камеры на событии"""
Config_Reb_010_Hint#0,"""Определяет, следует ли вам зациклить своё<br>внимание посредством удерживания <%Access>."""
Config_Reb_010_Select_0#0,"""Выключить"""
Config_Reb_010_Select_1#0,"""Включить"""
Config_Reb_011_Name#0,"""Цвет текста имён членов других групп"""
Config_Reb_011_Hint#0,"""Настройка цвета текста для имён<br>членов других групп."""
Config_Reb_011_Select_0#0,"""Белый"""
Config_Reb_011_Select_1#0,"""Синий"""
Config_Reb_012_Name#0,"""Название группы квеста"""
Config_Reb_012_Hint#0,"""Настройка автоматически отображаемого<br>имени группы, используемое при принятии<br>группы, если заранее имя не было указано.<br><br>[Название квеста]<br>Отобразится название принятого квеста.<br><br>[Имя персонажа]<br>Отобразится имя персонажа, принявшего<br>квест."""
Config_Reb_012_Select_0#0,"""Название квеста"""
Config_Reb_012_Select_1#0,"""Имя персонажа"""
Config_Reb_013_Name#0,"""Приоритета входа на блоки"""
Config_Reb_013_Hint#0,"""Авто-выбор блоков для начинающих, либо<br>случайных блоков при использовании персонажа<br>ниже 20 ур."""
Config_Reb_013_Select_0#0,"""Не для начинающих"""
Config_Reb_013_Select_1#0,"""Для начинающих"""
Config_Reb_014_Name#0,"""Курсор при выборе хранилища"""
Config_Reb_014_Hint#0,"""Выбор начального местоположения курсора<br>в интерфейсе хранилища при использовании<br>терминала хранилища, продаже предметов<br>в личном магазине или покупке/продаже<br>предметов в магазине NPC."""
Config_Reb_014_Select_0#0,"""Все хранилища"""
Config_Reb_014_Select_1#0,"""Базовое хранилище"""
Config_Reb_014_Select_2#0,"""Хранилище персонажа"""
Config_Reb_014_Select_3#0,"""Премиум хранилище"""
Config_Reb_014_Select_4#0,"""Хранилище ＯＴＰ"""
Config_Reb_014_Select_5#0,"""Хранилище PSO2es"""
Config_Reb_015_Name#0,"""Курсор при принятии квеста"""
Config_Reb_015_Hint#0,"""Выбор начальной позиции курсора при<br>принятии квеста, поддерживающего поиск<br>игроков в нескольких блоках.<br>※Не работает в случае с некоторыми<br>квестами."""
Config_Reb_015_Select_0#0,"""Поиск в нескольких блоках"""
Config_Reb_015_Select_1#0,"""Поиск в текущем блоке"""
Config_Reb_016_Name#0,"""Уведомление о приглашении в группу"""
Config_Reb_016_Hint#0,"""Настройка отображения нового уведомления<br>каждый раз при получении приглашения<br>на присоединение к группе."""
Config_Reb_016_Select_0#0,"""Не показывать"""
Config_Reb_016_Select_1#0,"""Показывать"""
Config_Reb_017_Name#0,"""Уведомление о запросе в друзья"""
Config_Reb_017_Hint#0,"""Настройка отображения нового уведомления<br>каждый раз при получения запроса на<br>добавление в друзья."""
Config_Reb_017_Select_0#0,"""Не показывать"""
Config_Reb_017_Select_1#0,"""Показывать"""
Config_Reb_018_Name#0,"""Уведомление о приглашении в команду"""
Config_Reb_018_Hint#0,"""Настройка отображения нового уведомления<br>каждый раз при получении приглашения<br>в команду."""
Config_Reb_018_Select_0#0,"""Не показывать"""
Config_Reb_018_Select_1#0,"""Показывать"""
Config_Reb_019_Name#0,"""Уведомление о предложении торговли"""
Config_Reb_019_Hint#0,"""Настройка отображения нового уведомления<br>каждый раз при получении предложения<br>торговли."""
Config_Reb_019_Select_0#0,"""Не показывать"""
Config_Reb_019_Select_1#0,"""Показывать"""
Config_Reb_020_Name#0,"""Лог получения предметов"""
Config_Reb_020_Hint#0,"""Настройка отображения в чате уведомления<br>о получении предметов."""
Config_Reb_020_Select_0#0,"""Не показывать"""
Config_Reb_020_Select_1#0,"""Показывать"""
Config_Reb_021_Name#0,"""Уведомление о истечении премиума"""
Config_Reb_021_Hint#0,"""Настройка отображения уведомления при<br>входе в игру о истечении срока действия<br>премиум набора, когда остаётся<br>7 дней."""
Config_Reb_021_Select_0#0,"""Не показывать"""
Config_Reb_021_Select_1#0,"""Показывать"""
Config_Reb_022_Name#0,"""Уведомление о рекомендуемых квестов"""
Config_Reb_022_Hint#0,"""Настройка отображения меню принятия<br>рекомендуемых квестов."""
Config_Reb_022_Select_0#0,"""Не показывать"""
Config_Reb_022_Select_1#0,"""Показывать"""
Config_Reb_023_Name#0,"""Редкие предметы в группе"""
Config_Reb_023_Hint#0,"""Настройка получения уведомления каждый<br>раз при получении членом группы<br>редких предметов."""
Config_Reb_023_Select_0#0,"""Не показывать"""
Config_Reb_023_Select_1#0,"""Показывать"""
Config_Reb_024_Name#0,"""Кол-во отображаемых моделей (секции исслед-я)"""
Config_Reb_024_Hint#0,"""Регулировка максимального количества моделей<br>персонажей, отображаемых на экране<br>одновременно в секции для исследования.<br><br>Более низкое значение снизит нагрузку."""
Config_Reb_024_Select_0#0,"""Не отображать"""
Config_Reb_024_Select_1#0,"""Отображать"""
Config_Reb_025_Name#0,"""Уведомление о входе"""
Config_Reb_025_Hint#0,"""Настройка отправки уведомления о вашем<br>входе в игру друзьям при каждом входе<br>в игру."""
Config_Reb_025_Select_0#0,"""Не отправлять"""
Config_Reb_025_Select_1#0,"""Отправлять"""
Config_Reb_026_Name#0,"""Восстановление игроков"""
Config_Reb_026_Hint#0,"""Настройка отображения уведомления<br>о небоеспособности других игроков."""
Config_Reb_026_Select_0#0,"""Не показывать"""
Config_Reb_026_Select_1#0,"""Показывать"""
Config_Reb_027_Name#0,"""Самовосстановление"""
Config_Reb_027_Hint#0,"""Настройка отображения иконки ближайших<br>игроков, когда вы небоеспособны.<br><yellow>※Иконка не будет отображаться у других<br>игроков при отключенном параметре<br>восстановления игроков.<c>"""
Config_Reb_027_Select_0#0,"""Не показывать"""
Config_Reb_027_Select_1#0,"""Показывать"""
Config_Reb_028_Name#0,"""Синхронизация типов тела в салоне"""
Config_Reb_028_Hint#0,"""Настройка автоматического переключения<br>между типами тела <yellow>человекоподобного<br>и CAST'а<c> или редактировать их<br>индивидуально при смене одежды, частей<br>CAST'ов и т.д. в салоне."""
Config_Reb_028_Select_0#0,"""Автоматически"""
Config_Reb_028_Select_1#0,"""По отдельности"""
Config_Reb_029_Name#0,"""Режим фиксации (Lock-On)"""
Config_Reb_029_Hint#0,"""Настройка режима фиксации на цели.<br>Вы можете вкл./выкл. режим фиксации<br>с нажатием клавиши и активировать<br>его только при удержании кнопки мыши."""
Config_Reb_029_Select_0#0,"""Одно нажатие"""
Config_Reb_029_Select_1#0,"""Два нажатия"""
Config_Reb_030_Name#0,"""Переключение цели на <%RStick>"""
Config_Reb_030_Hint#0,"""Настройка переключение захватываемой<br>цели <%RStick> во время фиксации<br>на цели."""
Config_Reb_030_Select_0#0,"""Выключить"""
Config_Reb_030_Select_1#0,"""Включить"""
Config_Reb_031_Name#0,"""Переключение обратной палитры"""
Config_Reb_031_Hint#0,"""Выбор способа переключение обратной<br>палитры. Переключение на обратную<br>палитру нажатием кнопки или<br>активацией по удержанию кнопки."""
Config_Reb_031_Select_0#0,"""Одно нажатие"""
Config_Reb_031_Select_1#0,"""Удержание"""
Config_Reb_032_Name#0,"""Уклонение по двойному нажатию"""
Config_Reb_032_Hint#0,"""Настройка интервала активации для<br>действия уклонения, активируемых<br>нажатием быстрых отдельных клавиш<br>перемещения персонажа (клавиши<br>[W]/[A]/[S]/[D]) дважды."""
Config_Reb_032_Select_0#0,"""Долгие интервалы"""
Config_Reb_032_Select_1#0,"""Средние интервалы"""
Config_Reb_032_Select_2#0,"""Короткие интервалы"""
Config_Reb_032_Select_3#0,"""Двойное нажатие не работает"""
Config_Reb_033_Name#0,"""Обычный вид: горизонтальный поворот камеры"""
Config_Reb_033_Hint#0,"""Настройка горизонтальной ориентации камеры.<br><br><yellow>※Только для стандартного вида.<c>"""
Config_Reb_033_Select_0#0,"""Стандартное"""
Config_Reb_033_Select_1#0,"""Инвертированное"""
Config_Reb_034_Name#0,"""Обычный вид: вертикальный поворот камеры"""
Config_Reb_034_Hint#0,"""Настройка вертикальной ориентации камеры.<br><br><yellow>※Только для стандартного вида.<c>"""
Config_Reb_034_Select_0#0,"""Стандартное"""
Config_Reb_034_Select_1#0,"""Инвертированное"""
Config_Reb_035_Name#0,"""Обычный вид: Скорость вращения горизонталь"""
Config_Reb_035_Hint#0,"""Настройка скорости вращения камеры<br>по горизонтали. Меньше значение -<br>вращение камеры замедляется.<br><yellow>※Только для стандартного вида.<c>"""
Config_Reb_036_Name#0,"""Обычный вид: Скорость вращения вертикаль"""
Config_Reb_036_Hint#0,"""Настройка скорости вращения камеры<br>по вертикали. Меньше значение -<br>вращение камеры замедляется.<br><yellow>※Только для стандартного вида.<c>"""
Config_Reb_037_Name#0,"""Обычный вид: Приоритет работы мыши"""
Config_Reb_037_Hint#0,"""Настройка приоритета движения камеры<br>или курсора мыши при использования<br>мыши.<br><yellow>※Только для стандартного вида.<c>"""
Config_Reb_037_Select_0#0,"""Камера"""
Config_Reb_037_Select_1#0,"""Курсор мыши"""
Config_Reb_038_Name#0,"""От 3-го лица: горизонтальный поворот камеры"""
Config_Reb_038_Hint#0,"""Настройка горизонтальной ориентации камеры.<br><br><yellow>※Только для вида из за плеча.<c>"""
Config_Reb_038_Select_0#0,"""Стандартное"""
Config_Reb_038_Select_1#0,"""Инвертированное"""
Config_Reb_039_Name#0,"""От 3-го лица: вертикальный поворот камеры"""
Config_Reb_039_Hint#0,"""Настройка вертикальной ориентации камеры.<br><br><yellow>※Только для вида из за плеча.<c>"""
Config_Reb_039_Select_0#0,"""Стандартное"""
Config_Reb_039_Select_1#0,"""Инвертированное"""
Config_Reb_040_Name#0,"""От 3-го лица: скорость горизонтального поворота"""
Config_Reb_040_Hint#0,"""Настройка скорости вращения камеры<br>по горизонтали. Меньше значение -<br>вращение камеры замедляется.<br><br><yellow>※Только для вида из за плеча.<c>"""
Config_Reb_041_Name#0,"""От 3-го лица: скорость вертикального поворота"""
Config_Reb_041_Hint#0,"""Настройка скорости вращения камеры<br>по вертикали. Меньше значение -<br>вращение камеры замедляется.<br><br><yellow>※Только для вида из за плеча.<c>"""
Config_Reb_042_Name#0,"""От 3-го лица: приоритетное управление мышью"""
Config_Reb_042_Hint#0,"""Настройка приоритета движения<br>камеры / курсора мыши при<br>использовании мыши.<br><yellow>※Только для вида из за плеча.<c>"""
Config_Reb_042_Select_0#0,"""Камера"""
Config_Reb_042_Select_1#0,"""Курсор мыши"""
Config_Reb_047_Name#0,"""Использование прямого чата"""
Config_Reb_047_Hint#0,"""Настройка использования клавиатуры<br>только для ввода текста, например<br>для общения в чате.<br><br><yellow>※Активация функции отключит <br>возможность передвижения персонажа.<c>"""
Config_Reb_047_Select_0#0,"""Выключить"""
Config_Reb_047_Select_1#0,"""Включить"""
Config_Reb_048_Name#0,"""Использование авто-чата"""
Config_Reb_048_Hint#0,"""Настройка использования авто-чата.<br><br><yellow>※При отключении настройки, будут<br>предотвращены автоматические отправки<br>сообщений чат в случае наличия<br>таковых заготовленных.<c>"""
Config_Reb_048_Select_0#0,"""Выключить"""
Config_Reb_048_Select_1#0,"""Включить"""
Config_Reb_049_Name#0,"""Отображение авто-чата игроков: События"""
Config_Reb_049_Hint#0,"""Настройка отображения авто-чата других<br>игроков из вкладки [Событие]."""
Config_Reb_049_Select_0#0,"""Не показывать"""
Config_Reb_049_Select_1#0,"""Показывать"""
Config_Reb_091_Name#0,"""Отображение авто-чата игроков: Члены"""
Config_Reb_091_Hint#0,"""Настройка отображения авто-чата других<br>игроков из вкладки [Члены]."""
Config_Reb_091_Select_0#0,"""Не показывать"""
Config_Reb_091_Select_1#0,"""Показывать"""
Config_Reb_092_Name#0,"""Отображение авто-чата игроков: Действия"""
Config_Reb_092_Hint#0,"""Настройка отображения авто-чата других<br>игроков из вкладки [Действия]."""
Config_Reb_092_Select_0#0,"""Не показывать"""
Config_Reb_092_Select_1#0,"""Показывать"""
Config_Reb_050_Name#0,"""Отображение лога чата"""
Config_Reb_050_Hint#0,"""Настройка отображения сообщений<br>лога чата."""
Config_Reb_050_Select_0#0,"""Не показывать"""
Config_Reb_050_Select_1#0,"""Показывать"""
Config_Reb_051_Name#0,"""Цитата сообщения в ответе"""
Config_Reb_051_Hint#0,"""Настройка цитирования сообщения<br>при ответе на письмо."""
Config_Reb_051_Select_0#0,"""Не цитировать"""
Config_Reb_051_Select_1#0,"""Цитировать"""
Config_Reb_052_Name#0,"""Эффект редкого предмета: Снаряжение"""
Config_Reb_151_Name#0,"""Эффект редкого предмета: Материалы"""
Config_Reb_052_Hint#0,"""Настройка отображаемости уведомления<br>о выпадении редкого предмета<br>с определённого значения.<br><br>Применяется к следующим предметам:<br>・Оружию<br>・Броне"""
Config_Reb_151_Hint#0,"""Настройка отображаемости уведомления<br>о выпадении редкого предмета<br>с определённого значения.<br><br>Применяется к следующим предметам:<br>・Костюмы/части<br>・Камуфляжи оружия<br>・Расходуемые предметы<br>・Материалы"""
Config_Reb_053_Name#0,"""Отображение чата команды"""
Config_Reb_053_Hint#0,"""Настройка отображения баллона<br>с сообщением из чата команды."""
Config_Reb_053_Select_0#0,"""Отображать всё"""
Config_Reb_053_Select_1#0,"""Только в текущей области"""
Config_Reb_053_Select_2#0,"""Не показывать"""
Config_Reb_054_Name#0,"""Символ Арты других игроков"""
Config_Reb_054_Hint#0,"""Настройка отображения Символ Арта<br>других игроков."""
Config_Reb_054_Select_0#0,"""Не показывать"""
Config_Reb_054_Select_1#0,"""Показывать"""
Config_Reb_118_Name#0,"""Дайвинг атака с одновременным нажатием кнопок"""
Config_Reb_118_Hint#0,"""Следует ли выполнять атаку в прыжке, при<br>нажатии <%Jump>＋<%NormalAttack>.<br>※Данную атаку можно выставить через<br>под-палитру."""
Config_Reb_118_Select_0#0,"""Выключить"""
Config_Reb_118_Select_1#0,"""Отобразить некоторые"""
Config_Reb_118_Select_2#0,"""Отобразить"""
Config_Reb_119_Name#0,"""Отображаемые Символ Артов: Группа"""
Config_Reb_119_Hint#0,"""Настройка отображения Символ Артов<br>в чате группы.<br><br><yellow>※При отключении не будут отображаться<br>ни собственные Символ Арты ни других<br>игроков.<c>"""
Config_Reb_120_Name#0,"""Отображаемые Символ Артов: Команда"""
Config_Reb_120_Hint#0,"""Настройка отображения Символ Артов<br>в чате команды.<br><br><yellow>※При отключении не будут отображаться<br>ни собственные Символ Арты ни других<br>игроков.<c>"""
Config_Reb_121_Name#0,"""Отображаемые Символ Артов: Групповой"""
Config_Reb_121_Hint#0,"""Настройка отображения Символ Артов<br>в групповом чате.<br><br><yellow>※При отключении не будут отображаться<br>ни собственные Символ Арты ни других<br>игроков.<c>"""
Config_Reb_055_Name#0,"""Имя отправителя сообщения"""
Config_Reb_055_Hint#0,"""Настройка отображения имени<br>отправителя сообщения в групповой<br>чат, чат команды и шёпот."""
Config_Reb_055_Select_0#0,"""Имя Player ID"""
Config_Reb_055_Select_1#0,"""Имя персонажа"""
Config_Reb_056_Name#0,"""Фон ввода чата"""
Config_Reb_056_Hint#0,"""Настройка изменения цвета фона поля<br>чата для каждого типа чата<br>(чат группы, команды и т.д.)."""
Config_Reb_056_Select_0#0,"""Не изменять цвет"""
Config_Reb_056_Select_1#0,"""Изменять"""
Config_Reb_057_Name#0,"""Громкость BGM"""
Config_Reb_057_Hint#0,"""Устанавливает громкость музыки."""
Config_Reb_058_Name#0,"""Громкость SE"""
Config_Reb_058_Hint#0,"""Устанавливает громкость звуков."""
Config_Reb_059_Name#0,"""Громкость голоса"""
Config_Reb_153_Name#0,"""ボイス音量：その他のキャラクター"""
Config_Reb_059_Hint#0,"""Устанавливает громкость голосов."""
Config_Reb_153_Hint#0,"""その他のキャラクターの<br>ボイス音量を設定します。"""
Config_Reb_060_Name#0,"""Громкость видео"""
Config_Reb_060_Hint#0,"""Для установки громкости видео, отображаемого<br>на мониторах, установленных в лобби, а также<br>для некоторых кат-сцен."""
Config_Reb_061_Name#0,"""Объёмный звук"""
Config_Reb_061_Hint#0,"""Вкл/выкл эффекты объемного звука"""
Config_Reb_061_Select_0#0,"""OFF"""
Config_Reb_061_Select_1#0,"""ON"""
Config_Reb_062_Name#0,"""Звук при неактивном окне"""
Config_Reb_062_Hint#0,"""Определяет воспроизведение звука<br>при неактивном окне с игрой."""
Config_Reb_062_Select_0#0,"""OFF"""
Config_Reb_062_Select_1#0,"""ON"""
Config_Reb_063_Name#0,"""Формат скриншотов"""
Config_Reb_063_Hint#0,"""Настройка формата сохраняемых скриншотов."""
Config_Reb_063_Select_0#0,"""JPEG"""
Config_Reb_063_Select_1#0,"""PNG"""
Config_Reb_063_Select_2#0,"""BMP"""
Config_Reb_064_Name#0,"""Интерфейс на скриншоте"""
Config_Reb_064_Hint#0,"""Настройка отображения интерфейса при<br>сохранении скриншотов.<br><yellow>※Влияет только на функцию скриншота<br>внутри игры.<c>"""
Config_Reb_064_Select_0#0,"""Отображать"""
Config_Reb_064_Select_1#0,"""Только баллоны"""
Config_Reb_064_Select_2#0,"""Не показывать"""
