Title_DeadMenu#0,"""Menú de incapacitación"""
SubClassChangeMessageMaster#0,"""Estás a punto de seleccionar el nivel $(1) $(0) como tu subclase.<br>Se aplicarán los siguientes efectos:<br><br>- Los valores de las habilidades de los estados se verán ligeramente complementados.<br>- Las habilidades pasarán a ser utilizables.<br><br>*$(0) Los Photon Arts no serán utilizables.<c><br><br>¿Estás seguro de que deseas continuar?"""
SubClassChangeMessageSlayer#0,"""Estás a punto de seleccionar el nivel $(1) $(0) como tu subclase.<br>Se aplicarán los siguientes efectos:<br><br>- Los valores de las habilidades de los estados se verán ligeramente complementados.<br>- Las habilidades pasarán a ser utilizables.<br><br>*$(0) Los Photon Arts no serán utilizables.<c><br><br>¿Estás seguro de que deseas continuar?"""
SubClassChangeSuccess#0,"""Se ha cambiado la subclase."""
ClassChangeMessage#0,"""¿Estás seguro de que quieres cambiar tu clase a<br>Nivel $(1) $(0)?"""
ClassChangeSuccess#0,"""Clase cambiada con éxito."""
ClassChangeFailed#0,"""No puedes cambiar tu clase actual."""
ClassChangeFailMessage#0,"""Su clase actual es $(0).<br>No necesita cambiar su clase."""
MainClassChangeFailMessage#0,"""Su clase principal actual es $(0)."""
SubClassChangeFailMessage#0,"""Su subclase actual es $(0)."""
SubClassChangeWpnmanFailMessage#0,"""La clase $(0) no admite la selección de una subclase."""
MainClassChangeWpnmanMessage#0,"""<yellow>Nota: Su subclase actual será eliminada si selecciona $(0).<c>"""
MainClassChangeWpnmanFailMessage#0,"""Debes cumplir la siguiente condición<br>para poder seleccionar la clase $(0).<br><br>- Completa la Orden de Cliente de Cofy titulada<br>[Prueba de Desbloqueo de Clase $(0)].<br><yellow>Estará disponible cuando cualquiera<br>de tus clases alcance el Nivel 75.<br>Después de completar la Orden de Cliente una vez,<br>ya no necesitarás alcanzar el Nivel 75<br>con ningún personaje posterior.<c>"""
MainClassChangeVillainFailMessage#0,"""Debes cumplir la siguiente condición<br>para poder seleccionar la clase $(0).<br><br>- Completa la Orden de Cliente de Cofy titulada<br>[Prueba de Desbloqueo de Clase $(0)].<br><yellow>Estará disponible cuando cualquiera<br>de tus clases alcance el Nivel 75.<br>Después de completar la Orden de Cliente una vez,<br>ya no necesitarás alcanzar el Nivel 75<br>con ningún personaje posterior.<c>"""
MainClassChangeEtoileFailMessage#0,"""Debes cumplir la siguiente condición<br>para poder seleccionar la clase $(0).<br><br>- Completa la Orden de Cliente de Cofy titulada<br>[Prueba de Desbloqueo de Clase $(0)].<br><yellow>Estará disponible cuando cualquiera<br>de tus clases alcance el Nivel 75.<br>Después de completar la Orden de Cliente una vez,<br>ya no necesitarás alcanzar el Nivel 75<br>con ningún personaje posterior.<c>"""
MainClassChangeSlayerFailMessage#0,"""Debes cumplir la siguiente condición<br>para poder seleccionar la clase $(0).<br><br>- Completa la Orden de Cliente de Cofy titulada<br>[Prueba de Desbloqueo de Clase $(0)].<br><yellow>Estará disponible cuando cualquiera<br>de tus clases alcance el Nivel 75.<br>Después de completar la Orden de Cliente una vez,<br>ya no necesitarás alcanzar el Nivel 75<br>con ningún personaje posterior.<c>"""
SkillTreeAdd#0,"""Agregar árbol de habilidades <pict Arcscash>"""
SkillTreeReset#0,"""Restablecer árbol de habilidades <pict Arcscash>"""
SkillTreeResetSG#0,"""Restablecer árbol de habilidades <pict StarGem>"""
SkillTreeResetAll#0,"""Restablecer todos los árboles de habilidades"""
SkillTreeGet#0,"""Aprender la habilidad de la clase"""
SkillTreeReturn#0,"""Salir del mostrador de clases"""
ClassList#0,"""Lista de clase"""
SkillTreeList#0,"""Dejar el contador de la clase"""
SkillTreeAddAsk#0,"""¿Estás seguro de que quieres añadir este árbol de habilidades?"""
SkillTreeAddSuccess#0,"""Árbol de habilidades añadido."""
SkillTreeAddFailed#0,"""No se ha podido añadir el árbol de habilidades."""
SkillTreeAddFailedFull#0,"""No se puede seguir añadiendo."""
SkillTreeApplyAsk#0,"""¿Está seguro de que desea establecer este árbol de habilidades?"""
SkillTreeApplySuccess#0,"""Árbol de habilidades establecido."""
SkillTreeApplyFailed#0,"""No se ha podido establecer el árbol de habilidades."""
SkillTreeApplyFailedCurrent#0,"""Este árbol de habilidades ya está configurado."""
SkillTreeApplyFailedQuest#0,"""No puedes cambiar de clase mientras<br>realizas una búsqueda."""
SkillTreeResetAsk#0,"""¿Estás seguro de que quieres cambiar este árbol de habilidades?"""
SkillTreeResetSuccess#0,"""Árbol de habilidades intercambiado."""
SkillTreeResetFailed#0,"""Error al intercambiar el árbol de habilidades."""
SkillTreeResetFailedCurrent#0,"""No se puede intercambiar un árbol de habilidades que está establecido actualmente."""
SkillTreeResetAllAsk#0,"""“N-Estás a punto de consumir un [N-Reset All Skills]<br>para restablecer todos tus árboles de habilidades,<br>permitiéndote reasignar tus puntos de habilidad.<br><br>¿Estás seguro de que deseas proceder?"""
SkillTreeResetAllSuccess#0,"""Todos los árboles de habilidades se han restablecido. <br>No olvides reasignar tus puntos de habilidad."""
SkillTreeResetAllFailed#0,"""El restablecimiento de todos los árboles de habilidades ha fallado. <br>Por favor, espera un poco y vuelve a intentarlo."""
SkillTreeResetAllFailedNG#0,"""No se ha podido realizar un reinicio<br>porque no posees un<br>[N-Reset All Skills]."""
ClassSelectExplain#0,"""<c f0df60>Puedes cambiar tu clase actual mediante la opción [Select Class]. Si tienes varios árboles de habilidades, puedes elegir el que quieras establecer con la opción [Select Skill Tree].<c>"""
ClassSelectExplain_v#0,"""<c f0df61>Puedes cambiar tu clase con la opción [Select Class]. Si tienes varios árboles de habilidades, elige uno con [Select Skill Tree].<c>"""
SkillTreeAddPath#0,"""<pict Arcscash><c ff4f3f>Se requiere un pago de CA<c><br>Esto añadirá un árbol de habilidades de $(0).<br>¿Estás seguro de que deseas pasar a la pantalla de <br><amarillo>Adición de árbol de habilidades<c> <br>Confirmación de compra?<br><br>(Actualmente tienes: $(1))"""
SkillTreeAddTicket#0,"""<pict Arcscash> <c 5fdf00>Utilizar artículo comprado anteriormente<c><br>¿Estás seguro de que quieres usar una <b>Adición de árbol de habilidades N</b> para<br>añadir un árbol de habilidades $(0)?<br><br>(Actualmente tienes: $(1))"""
SkillTreeResetPath#0,"""<pict Arcscash><c ff4f3f>Se requiere un pago de CA<c><br>¿Estás seguro de que deseas pasar a la pantalla <br><amarillo>N-Cambio de árbol de habilidades adicional<c> <br>Confirmación de compra?<br><br>Antes del cambio: $(1) árbol de habilidades<br>Después del cambio: $(0) árbol de habilidades<br>(Actualmente tienes: $(2))"""
SkillTreeResetPathSG#0,"""<pict StarGem><c 1dedd7>Se requiere el pago de SG<c><br>¿Estás seguro de que deseas pasar a la pantalla de <br><yellow>N-Cambio de árbol de habilidades adicional<c> <br>Confirmación de compra?<br><br>Antes del cambio: $(1) Árbol de habilidades<br>Después del cambio: $(0) Árbol de habilidades<br>(Actualmente tienes: $(2))"""
SkillTreeResetTicket#0,"""<pict Arcscash> <c 5fdf00>Utiliza un objeto comprado anteriormente<c><br>¿Estás seguro de que quieres usar un <b>Cambio de árbol de habilidades adicional</b> para cambiar tu clase de árbol de habilidades?<br><br>Antes del cambio: $(1) Árbol de habilidades<br>Después del cambio: $(0) Árbol de habilidades<br><br>(Actualmente tienes: $(2))"""
SkillTreeResetTicketSG#0,"""<pict StarGem> <c 5fdf00>Utiliza un objeto comprado anteriormente<c><br>¿Estás seguro de que quieres usar un <b>Cambio de árbol de habilidades adicional</b> para cambiar tu clase de árbol de habilidades?<br><br>Antes del cambio: $(1) Árbol de habilidades<br>Después del cambio: $(0) Árbol de habilidades<br><br>(Actualmente tienes: $(2))"""
SkillTreeExplain#0,"""<c f0df60>Consume Puntos de Habilidad (PS) para aprender Habilidades de Clase. Puedes ganar SP al subir de nivel. <c f0df60>Consulta <%NextTabDetails> para más detalles.<c>"""
SkillTreeExplain_v#0,"""<c f0df60>Consume Puntos de Habilidad (PS) para aprender Habilidades de Clase. Puedes ganar SP subiendo de nivel.<c>"""
SkillTreeAddExplain#0,"""<c f0df60>Añade un árbol de habilidades usando un [N-Skill Tree Addition] previamente comprado, o comprando uno con ARKS Cash.<c>"""
SkillTreeResetExplain#0,"""<c f0df60>Restablece tu Árbol de Habilidades usando un [N-Cambio de Árbol de Habilidades Adicional] comprado previamente, o comprando uno con ARKS Cash. Empieza seleccionando el Árbol de Habilidades que quieres restablecer.<c>"""
SkillTreeResetExplainSG#0,"""<c f0df60> Restablece tu árbol de habilidades usando un [Cambio de árbol de habilidades adicional] previamente adquirido o comprando uno con gemas estelares. Comienza seleccionando el Árbol de Habilidades que quieres restablecer.<c>"""
SkillTreeResetExplain_v#0,"""<c f0df61>Restablece tu árbol de habilidades utilizando un [Cambio de árbol de habilidades adicional] previamente adquirido, o comprando uno con ARKS Cash."""
SkillTreeResetExplainSG_v#0,"""<c f0df61>Restablece tu árbol de habilidades utilizando un [Cambio de árbol de habilidades adicional] previamente adquirido o comprando uno con gemas estelares."""
SkillTreeReset2Explain#0,"""<c f0df60>Restablece el árbol de habilidades seleccionado. Durante el restablecimiento también puedes <c f0df60>mover el árbol a otra clase. <c f0df60>Selecciona la clase a la que quieres mover el Árbol de Habilidades.<c>"""
SkillTreeReset2Explain_v#0,"""<c f0df60>Reinicia el Árbol de Habilidades seleccionado. Durante el restablecimiento también puedes <c f0df60>mover el árbol a otra clase. <c f0df61>Selecciona una clase.<c>"""
ClassCounterExplain#0,"""<c f0df60>Puedes cambiar de clase y aprender habilidades de clase a través de los árboles de habilidades.<c>"""
SkillTreeAddNum#0,"""Árboles de hab que se pueden agregar"""
Check#0,"""Confirmar"""
SkillTreeInfoTitle#0,"""Info del árbol de habilidades"""
SkillTreeTotal#0,"""No. de árboles de hab adicionales"""
TreeListCaption#0,"""Árbol ($(0))"""
TreeListPoint#0,"""SP restante"""
MoreDetails#0,"""<pict Sign_SELECT>Detalles"""
MySetExplain#0,"""<c f0df60>Puedes guardar tu Loadout para usarlo más tarde.<c>"""
MySetExplain2button#0,"""<c f0df60>Puedes guardar tu Loadout para usarlo más tarde.<c><red>Nota: Tu tipo de control actual está establecido en una configuración de 2 botones.<c>"""
MySetExplain3button#0,"""<c f0df60>Puedes guardar tu Loadout para usarlo más tarde.<c><red>Nota: Tu tipo de control actual está establecido en una configuración de 3 botones.<c>"""
ManualSkillTreeGet#0,"""Configuración personalizada"""
AutoSkillTreeGet#0,"""Configuración recomendada"""
AutoSkillTreeAsk#0,"""Tus puntos de habilidad se reasignarán automáticamente.<br>¿Estás seguro de que deseas continuar?<br><amarillo>Nota: Tu árbol de habilidades existente se sobrescribirá,<br>incluyendo las habilidades aprendidas.<c>"""
AutoSkillTreeList#0,"""Se sobrescribirán las siguientes habilidades configuradas en base a<br>una Configuración recomendada.<br>¿Estás seguro de que deseas continuar?<br><br>Nota: se requiere un [Pase de restablecimiento de todos los árboles de habilidades] si<br>quieres reasignar los puntos de habilidad tú mismo.<c>"""
AutoSkillTreeListVita#0,"""Las siguientes habilidades que se configuraron en base a<br>una configuración recomendada se sobrescribirán.<br>¿Está seguro de que desea proceder?<br><red>Nota: se requiere un [Reset All Skill Trees Pass].<c>"""
AutoSkillTreeSuccess#0,"""Habilidades recomendadas sobrescritas."""
AutoSkillTreeFailed#0,"""No se han podido sobrescribir las habilidades recomendadas."""
Title#2,"""Detalles de Clase"""
Experience#0,"""Punto de exp"""
NextExperience#0,"""Al sig Lv."""
EquipableWeapon#0,"""Armas equipables"""
Blank#0,"""―"""
Together_EXP#0,"""Link EXP"""
Together_EXP_Max#0,"""Maximum Link EXP"""
ClassLevel#1,"""LV.(MAX)"""
Title#3,"""Detalles de la habilidad de clase"""
NoSelectMessage#0,"""No se ha seleccionado ninguna habilidad de clase."""
MaxLevel#0,"""MAxLv."""
Percent#0,"""$(0)％"""
Second#0,"""$(0)seg"""
Piece#0,"""$(0) unit"""
Shot#0,"""$(0) shot"""
Plus#0,"""＋$(0)"""
Minus#0,"""－$(0)"""
Times#0,"""$(0)veces"""
Blank#1,"""―"""
LevelZero#0,"""No se ha aprendido"""
MaxLevelValue#0,"""（$(0)）"""
Decimal#0,"""$(1).$(0)"""
Prev#0,"""Anterior."""
Next#0,"""Siguiente"""
PartyInfoReb_001#0,"""Debido a que los miembros de su grupo no están presentes, se ha convertido en el sublíder."""
PartyInfoReb_002#0,"""Ya no eres el sublíder debido a un cambio en los miembros de la Alianza."""
PartyInfoReb_003#0,"""$(0) eliminado del grupo."""
PartyInfoReb_004#0,"""$(0) es ahora sub-líder."""
PartyInfoReb_005#0,"""$(0) es ahora el líder."""
EnterConfirmMessage#0,"""No se permite chatear en el salón de belleza.<br> ※Los mensajes recibidos permanecerán en la ventana de registro. <br><br>Tampoco recibirás solicitudes relacionadas con Grupo, coincidencias de amigos o misiones.<br><br><yellow>Si no tienes espacio libre en tu Inventario,<br>no podrás cambiarte de vestuario.<c><br><br>¿Quieres entrar al Salón de Belleza?"""
EnterConfirmMessage2#0,"""No se permite chatear en el salón de belleza.<br> ※Los mensajes recibidos permanecerán en la ventana de registro. <br><br>Tampoco recibirás solicitudes relacionadas con Grupo, coincidencias de amigos o misiones.<br><br><yellow>Si no tienes espacio libre en tu Inventario,<br>no podrás cambiarte de vestuario.<c><br><br>¿Quieres entrar al Salón de Belleza?<br><br>Salon Pass\u3000\u3000\u3000\u3000Re-edit Time: $(0)"""
EnterConfirmMessage3#0,"""No se permite chatear en el salón de belleza.<br> ※Los mensajes recibidos permanecerán en la ventana de registro. <br><br>Tampoco recibirás solicitudes relacionadas con Grupo, coincidencias de amigos o misiones.<br><br><yellow>Si no tienes espacio libre en tu Inventario,<br>no podrás cambiarte de vestuario.<c><br><br>¿Quieres entrar al Salón de Belleza?<br><br>Color Change Pass\u3000\u3000Re-edit Items: $(0)<br>\u3000\u3000\u3000\u3000\u3000\u3000Minimum Time: $(1)<br>\u3000\u3000\u3000\u3000\u3000\u3000$(2)"""
EnterConfirmMessage4#0,"""No se permite chatear en el salón de belleza.<br> ※Los mensajes recibidos permanecerán en la ventana de registro. <br><br>Tampoco recibirás solicitudes relacionadas con Grupo, coincidencias de amigos o misiones.<br><br><yellow>Si no tienes espacio libre en tu Inventario,<br>no podrás cambiarte de vestuario.<c><br><br>¿Quieres entrar al Salón de Belleza?<br><br>Salon Pass	\u3000	Re-edit Time\u3000：$(0)<br>Color Change Pass\u3000Re-edit Items\u3000：$(1)<br>\u3000\u3000\u3000\u3000\u3000Minimum Time\u3000：$(2)<br>\u3000\u3000\u3000\u3000\u3000$(3)"""
EnterConfirmMessage5#0,"""No se permite chatear en el salón de belleza.<br> ※Los mensajes recibidos permanecerán en la ventana de registro. <br><br>Tampoco recibirás solicitudes relacionadas con Grupo, coincidencias de amigos o misiones.<br><br><yellow>Si no tienes espacio libre en tu Inventario,<br>no podrás cambiarte de vestuario.<c><br><br>¿Quieres entrar al Salón de Belleza?<br><br>キャラクター作成\u3000\u3000\u3000再編集可能期間：$(0)"""
EnterConfirmMessage6#0,"""No se permite chatear en el salón de belleza.<br> ※Los mensajes recibidos permanecerán en la ventana de registro. <br><br>Tampoco recibirás solicitudes relacionadas con Grupo, coincidencias de amigos o misiones.<br><br><yellow>Si no tienes espacio libre en tu Inventario,<br>no podrás cambiarte de vestuario.<c><br><br>¿Quieres entrar al Salón de Belleza?<br><br>キャラクター作成\u3000\u3000再編集可能期間：$(0)<br><br>カラーチェンジパス\u3000再編集中アイテム：$(1)個<br>\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000最短残り時間\u3000\u3000：$(2)<br>\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000$(3)"""
FightingPower#0,"""Poder Lvl"""
AttackPower#0,"""Poder de ataque"""
DefencePower#0,"""Poder Defensa"""
Label_WeaponRise#0,"""Weapon Up"""
Labal_Resist_Condition#0,"""Ailment Resist"""
ValueZeroPercent#0,"""+0%"""
Param_ComparePlus_Percent#0,"""<light_orange2>＋$(0)％<c>"""
Param_CompareMinus_Percent#0,"""<vivid_cyan2>－$(0)％<c>"""
LeaderMenuLabel06#0,"""Reunir a los miembros del grupo"""
PartyMenuText06#0,"""$(0) ha solicitado una reunión del grupo.<br>Serás teletransportado automáticamente al siguiente <br>destino en $(1) segundo(s) si seleccionas <br>Sí. ¿Aceptas?<br>Destino: $(2)"""
PartyConfigLabel25#0,"""<pict icon_voice_chat> Se recomienda chat de voz"""
PartyConfigLabel26#0,"""Configuración de Grupo"""
PartyConfigLabel27#0,"""configuraciones actuales"""
Block_help_ClassicBlock#0,"""Volver a los bloques de PSO2."""
Block_help_Beginner#0,"""Un bloque para que los principiantes disfruten. Los jugadores veteranos que quieran ayudar también son<br>más que bienvenidos<br>Nota: El matchmaking estará restringido a los bloques de principiantes."""
Block_help_Normal#0,"""Un bloque para aventurarse con jugadores de la región $(0).<br>Nota: El matchmaking estará restringido a bloques de la misma región."""
Block_help_Stream#0,"""Un bloque recomendado para aquellos en la región de $(0),<br>que quieran tomar fotos y hacer streaming.<br>Nota: El matchmaking estará restringido a los bloques para fotos."""
Block_help_PF_CloudPC#0,"""[Cross-play with both Cloud and PC versions.]"""
Block_help_PF_CloudOnly#0,"""[Cloud version only.]"""
Window_Titletelop_Loginbonus#0,"""Login Bonus"""
Window_Title_LoginbonusInfo#0,"""Login Bonus Info"""
Label_DeliveryPeriod#0,"""Período de entrega"""
Label_Progress#0,"""Progreso"""
Content_DeliveryPeriod#0,"""De $(1) a $(0)"""
Content_Progress#0,"""$(1)/$(0)"""
Mes_Loginbonus#0,"""Aquí hay una descripción de la bonificación por inicio de sesión."""
ItemDetail_Title#0,"""Detalles del artículo"""
LoginBonusTabName_Normal#0,"""Normal $(0)"""
LoginBonusTabName_Limited#0,"""Por tiempo limitado $(0)"""
LoginBonusTabName_Beginner#0,"""初心者$(0)"""
LoginBonusTabName_Comeback#0,"""復帰者$(0)"""
LoginBonusTabName_Inherit#0,"""引き継ぎ$(0)"""
AutoWordTypeTrialStart#0,"""Trial Start"""
AutoWordTypeTrialSuccess#0,"""Trial Completed"""
AutoWordTypeTrialFailure#0,"""Trial Failed"""
AutoWordTypeFastTravelStart#0,"""Starting Fast Travel"""
AutoWordTypeFastTravelEnd#0,"""Fast Travel Completed"""
AutoWordTypePhotonDash#0,"""Photon Dash"""
AutoWordTypePhotonDashAttack#0,"""Dash Attack"""
AutoWordTypePhotonGlide#0,"""Photon Glide"""
AutoWordTypeGlideAttack#0,"""Glide Attack"""
AutoWordTypeWeaponAction#0,"""Weapon Action"""
AutoWordTypeGetGathering#0,"""Gathering"""
PlBadCond:Burn#0,"""Quemar"""
PlBadCond:Freeze#0,"""Congelación"""
PlBadCond:Shock#0,"""Shock"""
PlBadCond:Mirage#0,"""Mirage"""
PlBadCond:Panic#0,"""Panic"""
PlBadCond:Poison#0,"""Poison"""
PlBadCond:Stun#0,"""Stun"""
PlBadCond:Injury#0,"""Lesión"""
