TEST#0,"""テストです。"""
BlockForm_BattleLobbyToBattleLobby_Exp#0,"""バトルブロックの移動をすると、<br>マッチングがキャンセルされます。<br><br>ブロック移動を行いますか？"""
BlockForm_BattleLobbyToBattleLobby_Exp_NoMatching#0,"""別のバトルブロックに移動します。<br>よろしいですか？<br><br><c c0c0c0>※バトルアリーナのマッチングは<br>\u3000すべてのブロックを対象に行われるため、<br>\u3000人の多いブロックに移動する必要はありません。<c>"""
BlockForm_MyRoom_Exp#0,"""Estas seguro que quieres ir a tu cuarto?"""
BlockForm_GuildRoom_Exp#0,"""¿Estas seguro que quieres ir al salon de tu Team?"""
BlockForm_Move_Que#0,"""¿Seguro que quieres moverte<br>al $(0)?"""
BlockForm_BlockName#0,"""Bloque indicado"""
BlockForm_Error_Full#0,"""No puedes entrar al bloque seleccionado<br>debido a que esta lleno."""
BlockForm_Error_NotFound#0,"""Bloque seleccionado no encontrado.<br><br>[No.1000]"""
BlockForm_Error_Unknown#0,"""No puedes ingresar al bloque seleccionado<br>debido a un error.<br><br>[No.1001]"""
BlockForm_Error_Default#0,"""No puedes entrar a este bloque<br>debido a un error desconocido.<br><br>[No.1002]"""
BlockForm_Error_Premium#0,"""Intentaste ingresar a un bloque Premium.<br>Pero no posees un ticket premium,<br>o tu estado Premium expiro,<br>por ende, no puedes moverte a este bloque.<br><br>[No.1003]"""
BlockForm_Error_Platform#0,"""No puedes ingresar a este bloque<br>debido a que estas en una plataforma incorrecta.<br><br>[No.1004]"""
AreaForm_BridgeArea_Exp#0,"""Transferir al puente?"""
AreaForm_CafeArea_Exp#0,"""Deseas ir al cafe de Franka?"""
Bond_message#0,"""$(0)<br><br>$(1)"""
InPublicShipToast#0,"""一時的に共通シップ専用の状態に切り替わりました。"""
InChallengeShipToast#0,"""一時的にチャレンジシップ専用の状態に切り替わりました。"""
InPokaShipToast#0,"""一時的にバトルアリーナ専用の状態に切り替わりました。"""
BlockForm_Move_Exp_HighLevelQuest#0,"""<red>このクエストは「破棄ペナルティー」対象です！<br>破棄すると他のプレイヤーに迷惑がかかるため、<br>発生中の緊急クエストを再受注できなくなります。<br>また、強制的に別ブロックへの移動が行われます。<c><br><br>ブロックを移動すると、参加している<br>パーティーから自動的に脱退し、<br>受注中のクエストも破棄されます。<br><br>また、クエストを受けている場合、<br>クエスト内で得られる効果も<br>消えてしまいます。<br>"""
BlockForm_PublicShip_Exp_HighLevelQuest#0,"""<red>このクエストは「破棄ペナルティー」対象です！<br>破棄すると他のプレイヤーに迷惑がかかるため、<br>発生中の緊急クエストを再受注できなくなります。<br>また、強制的に別ブロックへの移動が行われます。<c><br><br>共通シップに移動すると、参加している<br>パーティーから自動的に脱退し、<br>受注中のクエストも破棄されます。<br><br>また、クエストを受けている場合、<br>クエスト内で得られる効果も<br>消えてしまいます。<br><br>共通シップに移動しますか"""
BlockForm_MyShip_Exp_HighLevelQuest#0,"""<red>このクエストは「破棄ペナルティー」対象です！<br>破棄すると他のプレイヤーに迷惑がかかるため、<br>発生中の緊急クエストを再受注できなくなります。<br>また、強制的に別ブロックへの移動が行われます。<c><br><br>所属シップへ移動すると、参加している<br>パーティーから自動的に脱退し、<br>受注中のクエストも破棄されます。<br><br>また、クエストを受けている場合、<br>クエスト内で得られる効果も<br>消えてしまいます。<br><br>所属シップに移動しますか？"""
Master#0,"""Lider del Team"""
Manager#0,"""Moderador"""
Common#0,"""Miembro del Team"""
Visitor#0,"""Visitante"""
Unknown#0,"""Desconocido"""
NewMail#0,"""Tienes mensajes nuevos"""
NewFriendLIst#0,"""Nueva invitacion de amistad"""
NewParty#0,"""Nueva invitacion de grupo"""
NewTeam#0,"""\""Nueva invitacion de Team"""
NewTrade#0,"""Nueva solicitud de intercambio"""
NewExpMail#0,"""Ha llegado un correo"""
NewExpTrade#0,"""Trade Request Sent"""
NewExpFriendLIst#0,"""Solicitud de amistad enviada"""
NewExpParty#0,"""Solicitud de grupo enviada"""
NewExpTeam#0,"""Solicitud de Team enviada"""
NewTitleParty#0,"""Responder a la solicitud de grupo"""
NewTitleFriend#0,"""Responder a la solicitud de amistad"""
NewTitleTeam#0,"""Responder a la solicitud de Team"""
NewTitleTrade#0,"""Responder al intercambio"""
NewCheckMail#0,"""Indeciso"""
NewCheckFriendList#0,"""$(0) te ha enviado una solicitud de amistad.<br>Abre la lista de amigos para responder<br><br>※Si seleccionas no, puedes responder mas tarde<br>llendo a la lista de amigos."""
NewCheckParty#0,"""$(0) te ha enviado una solicitud de grupo.<br>Abre la lista de grupos para responder<br><br>※Si seleccionas no puedes responder mas tarde<br>llendo a la lista de grupos."""
NewCheckTrade#0,"""$(0) ha solicitado negociar contigo.<br>Quieres abrir la ventana de intercambios?"""
NewCheckTeam#0,"""$(0) Te ha reclutado a su Team.<br>Abrir la ventana de reclutamiento para responder?<br><br>※If you select No you can reply later<br>by going to Team Commands."""
PremiumEnd#0,"""プレミアム有効期間の終了が迫っています。"""
AccessConfirm_Vita#0,"""Webページへ移動します。<br>ログアウトしてゲームを終了しますが<br>¿Seguro que quieres?"""
AccessConfirmTitle_Vita#0,"""ブラウザー起動確認"""
Broken_Vita#0,"""ロードに失敗しました。<br>$(0)データが破損していた為<br>新しいセーブデータを上書きしました。"""
Type_1#0,"""Opciones"""
Type_2#0,"""Sistema"""
Type_3#0,"""Crear"""
Type_4#0,"""Portrait"""
Type_5#0,"""Preferencias de ventana"""
Initialize#0,"""Creating save data... $(0)%"""
title#0,"""Historial de registros (Ultimos 50)"""
login_history_date#0,"""Fechas de ingreso"""
login_history_ip#0,"""Direccion IP"""
login_history_status#0,"""Estado"""
login_history_supplement#0,"""※Si hay un <yellow>e-mail de verificacion<c> o <yellow>entrada<c> que usted no reconoce, Contacte con soporte.※"""
State_OK#0,"""<green>Conectado.<c>"""
State_OK_PcAuth#0,"""<red> Correo de Verificacion.<c>"""
State_Error_Account#0,"""<yellow>Error de inicio<c>"""
State_Error_PcAuth#0,"""<yellow>verificacion de correo erroneo<c>"""
State_Error_PcAuth_send#0,"""<yellow>Verificacion de E-mail enviado.<c>"""
State_Error_OTP#0,"""<yellow>One Time Password Error<c>"""
State_Reject_Maintenance#0,"""En mantenimiento."""
State_Reject_System#0,"""No se pudo iniciar sesion."""
NoDataError#0,"""No se puede recuperar la informacion."""
IPAddress#0,"""$(0).$(1).$(2).$(3)"""
DateWeek#0,"""$(1)/$(2)/$(0) ($(3))"""
DateWeek_v#0,"""$(0)/$(1)/$(2)/($(3))"""
DateTime#0,""" $(0):$(1)"""
DateTime_v#0,"""$(0):$(1)"""
Sunday#0,"""Domingo."""
Monday#0,"""Lunes."""
Tuesday#0,"""Martes."""
Wednesday#0,"""Miercoles."""
Thursday#0,"""Jueves."""
Friday#0,"""Viernes."""
Saturday#0,"""Sabado."""
Notice_Title#0,"""Item Transaction password not set"""
Notice_Text#0,"""「アイテム取引パスワード」とは、<br>不正なログインによりアイテムの取引が<br>行われることを防ぐためのものです。<br><br>アイテムトレード等の機能をご利用頂くには、<br>アイテム取引パスワードの設定が必要です。<br><br>パスワードは、他人から推測されづらくするため<br>生年月日・住所・電話番号などの個人情報、および<br>同じ数字や連番など<yellow>安易に推測される数字<c>を<br>設定しないよう、ご注意ください。"""
Notice_Button1#0,"""Confirmar"""
Notice_Button2#0,"""Cancelar"""
Edit_Title#0,"""Registrando Clave para transacciones de Item"""
Edit_Text#0,"""Por favor ingresa una clave (Debe ser de <yellow>5 numeros<c>)"""
Edit_Menu1#0,"""Clave:"""
Edit_Menu2#0,"""Clave de nuevo:"""
Edit_Notice#0,"""La contrasenia para la transaccion de objetos<br>registrada es requerida para intercambiar items.<br><br>por favor introduce la contrasenia usando el mouse<br>y los botones de la derecha."""
Edit_NoticeV#0,"""登録したアイテム取引パスワードは<br>アイテムを取引する際に必要となります。"""
Edit_NoticePS4#0,"""登録したアイテム取引パスワードは<br>アイテムを取引する際に必要となります。<br><br>右に表示されているボタンから、マウスを使って<br>パスワードを入力することも可能です。"""
Edit_Button1#0,"""Confirmar"""
Edit_Button2#0,"""Cancelar"""
Edit_KeyShuffle#0,"""Revolver"""
Edit_KeyShow#0,"""Mostrar"""
Edit_KeyHide#0,"""Esconder"""
Error_Title#0,"""Item Transaction Password"""
Error_Button1#0,"""OK"""
Input_Error_Text1#0,"""uhm.. parece que introdujistes incorrectamente la Clave"""
Input_Error_Text2#0,"""Por favor, introduzca la nueva clave y vuelva a cofirmar."""
Input_Error_Text3#0,"""Clave incorrecta"""
Complete_Title#0,"""Registrando Clave para transacciones de Item"""
Complete_Text#0,"""El codigo para intercambiar objetos a sido regitrado"""
Complete_Button1#0,"""OK"""
Edit_Error_Title#0,"""Error"""
Edit_Error_Button1#0,"""OK"""
Entry_Title#0,"""Item Transaction Password"""
Entry_Text#0,"""Por favor ingresa una clave (Debe ser de <yellow>5 numeros<c>)"""
Entry_Menu1#0,"""Clave"""
Entry_Notice#0,"""安全のため、右に表示されているボタンから<br>マウスでパスワードを入力してください。<br><br>正しくないパスワードが6回入力されると<br>アイテム取引パスワードがロックされます。<br>パスワードの変更、リセットを行う場合は<br>「変更/リセット」を選択してください。"""
Entry_NoticeV#0,"""正しくないパスワードが6回入力されると<br>アイテム取引パスワードがロックされます。<br><yellow>パスワードを忘れた場合は、オンラインマニュアルの<br>「アイテム取引パスワード」項目をご確認ください。<c>"""
Entry_NoticePS4#0,"""右に表示されているボタンから、マウスを使って<br>パスワードを入力することも可能です。<br><br>正しくないパスワードが6回入力されると<br>アイテム取引パスワードがロックされます。<br><yellow>パスワードを忘れた場合は、オンラインマニュアルの<br>「アイテム取引パスワード」項目をご確認ください。<c>"""
Entry_Button1#0,"""Confirmar"""
Entry_Button2#0,"""Cancelar"""
Entry_Text2#0,"""Change or remove the Item Transaction Password"""
Entry_Button3#0,"""Cambiar / Reiniciar"""
Entry_Button4#0,"""Remover"""
Entry_Button5#0,"""Restablecer clave"""
Lock_Title#0,"""Error"""
Lock_Button1#0,"""OK"""
Change_Title#0,"""Item Transaction Password change"""
Change_Text#0,"""Por favor ingresa una clave (Debe ser de <yellow>5 numeros<c>)"""
Change_Menu1#0,"""Clave antigua:"""
Change_Menu2#0,"""Nueva clave:"""
Change_Menu3#0,"""Clave de nuevo:"""
Change_Notice#0,"""安全のため、右に表示されているボタンから<br>マウスでパスワードを入力してください。<br>パスワードをリセットする場合は<br>「パスワードのリセット」を選択してください。"""
Change_NoticeV#0,"""登録したアイテム取引パスワードは<br>アイテムを取引する際に必要となります。<br><br>パスワードをリセットする場合は<br>「パスワードのリセット」を選択してください。"""
Change_NoticePS4#0,"""右に表示されているボタンから、マウスを使って<br>パスワードを入力することも可能です。<br>パスワードをリセットする場合は<br>「パスワードのリセット」を選択してください。"""
Change_Button2#0,"""Cancelar"""
Change2_Title#0,"""Confirmacion"""
Change2_Text#0,"""Esto va a cambiar el Item Transaction Password a una nueva.<br>¿Estas seguro?"""
Change2_Button1#0,"""Si"""
Change2_Button2#0,"""No"""
Changed_Title#0,"""Item Transaction Password change"""
Changed_Text#0,"""Item Transaction Password has been changed."""
Changed_Button1#0,"""OK"""
Remove_Title#0,"""Item Transaction Password removal"""
Remove_Text#0,"""Por favor ingresa una clave (Debe ser de <yellow>5 numeros<c>)"""
Remove_Menu1#0,"""Clave"""
Remove_Notice#0,"""Porfavor introduce la contraseゃa usando tu mouse<br>y/o los botones de la derecha.<br><br>el sistema sera cerrado si introduces<br>la contraseゃa incorrecta 6 veces."""
Remove_NoticeV#0,"""正しくないパスワードが6回入力されると<br>アイテム取引パスワードがロックされます。<br><yellow>パスワードを忘れた場合は、オンラインマニュアルの<br>「アイテム取引パスワード」項目をご確認ください。<c>"""
Remove_NoticePS4#0,"""右に表示されているボタンから、マウスを使って<br>パスワードを入力することも可能です。<br><br>正しくないパスワードが6回入力されると<br>アイテム取引パスワードがロックされます。"""
Remove_Button1#0,"""Remover"""
Remove_Button2#0,"""Cancelar"""
Remove2_Title#0,"""Confirmacion"""
Remove2_Text#0,"""アイテム取引パスワードを解除します。<br>¿Seguro que quieres?"""
Remove2_Button1#0,"""Si"""
Remove2_Button2#0,"""No"""
Removed_Title#0,"""Item Transaction Password removal"""
Removed_Text#0,"""アイテム取引パスワードを解除しました。"""
Removed_Button1#0,"""OK"""
Erase_Title#0,"""Reset Item Transaction Password"""
Erase_Text#0,"""お客様のプレイ環境を確認し、変更がなければ<br>アイテム取引パスワードのリセットを行います。<br><br>リセットを行いますか？"""
Erased_Text#0,"""Item Transaction Password has been reset."""
VitaOpenWeb_Title#0,"""ブラウザー起動確認"""
VitaOpenWeb_Text#0,"""Webページへ移動します。<br>ログアウトしてゲームを終了しますが<br>¿Seguro que quieres?"""
Erase_Error#0,"""お客様が現在プレイされている環境では、<br>アイテム取引パスワードをリセットできません。<br><br>アイテム取引パスワードのリセットは<br>サポートページでも、受け付けております。<br><br>サポートページより、リセット申請を行いますか？"""
TimeSaleMessage#0,"""現在、$(2)を実施中です！<br><br>$(0)<br><br>$(1)まで"""
GmMsg_000#0,"""予告：$(0)月$(1)日$(2)時$(3)分よりアークスシップ全艦を挙げての第$(4)回アークスシップ対抗戦を開催予定。多くのアークスの参加を期待している。以上。"""
GmMsg_001#0,"""通達：現在、第$(0)回アークスシップ対抗戦\u3000第$(1)ラウンドを開催中。参加するアークス各員は目標を確認し、状況を開始せよ。以上。"""
GmMsg_002#0,"""予告：$(0)月$(1)日$(2)時$(3)分より第$(4)ラウンドを開始する。参加するアークス各員は準備を整え待機せよ。以上。"""
GmMsg_003#0,"""通達：これより第$(0)ラウンドを開始する。参加するアークス各員は目標を確認し、状況を開始せよ。以上。"""
GmMsg_004#0,"""通達：第$(0)ラウンドの終了を宣言する。結果発表まで、しばし待機せよ。以上。"""
GmMsg_005#0,"""報告：$(0)月$(1)日$(2)時$(3)分よりショップエリア、巨大モニター前にて、先ほど終了した第$(4)ラウンドの結果発表を行う。以上。"""
GmMsg_006#0,"""通達：現時刻を以て、アークスシップ全艦を挙げての第$(0)回アークスシップ対抗戦を終了する。全アークスの健闘に感謝する。最終結果の発表まで、今しばし待機せよ。以上。"""
GmMsg_007#0,"""報告：$(0)月$(1)日$(2)時$(3)分より第$(4)回アークスシップ対抗戦最終結果の発表をショップエリア、巨大モニター前にて行う。至急集合されたし。以上。"""
GmMsgF_000#0,"""ご連絡：$(0)月$(1)日$(2)時$(3)分よりアークスシップ全艦をあげての第$(4)回アークスシップ対抗戦を開催いたします。"""
GmMsgF_001#0,"""お知らせ：現在、第$(0)回アークスシップ対抗戦\u3000第$(1)ラウンドを開催中となります。皆々様、ご健闘いただけると幸いです。"""
GmMsgF_002#0,"""ご連絡：$(0)月$(1)日$(2)時$(3)分より第$(4)ラウンドとなります。参加される皆々様につきましては、ご準備のほどを宜しくお願いいたします。"""
GmMsgF_004#0,"""お知らせ：第$(0)ラウンドは終了となります。皆々様、結果発表まで今しばしお待ちいただきますよう、宜しくお願いいたします。"""
GmMsgF_005#0,"""ご報告：$(0)月$(1)日$(2)時$(3)分よりショップエリア、巨大モニター前にて、先程終了いたしましたラウンドの結果発表を行います。皆々様、お集まりくださいませ。"""
GmMsgF_006#0,"""お知らせ：現時刻をもちまして、アークスシップ全艦をあげての第$(0)回アークスシップ対抗戦を終了とさせていただきます。皆々様の健闘に、心より感謝を申し上げます。"""
GmMsgF_007#0,"""ご報告：$(0)月$(1)日$(2)時$(3)分より第$(4)回アークスシップ対抗戦最終結果の発表をショップエリア、巨大モニター前にて行います。皆々様、お集まりくださいますよう、宜しくお願いいたします。"""
PetKind00001#0,"""Wanda"""
PetKind00002#0,"""Trim"""
PetKind00003#0,"""Sally"""
PetKind00004#0,"""Maron"""
PetKind00005#0,"""Melon"""
PetKind00006#0,"""Viola"""
PetKind00007#0,"""Rappy"""
PetKind00008#0,"""Synchro"""
PetKind00009#0,"""Jinga"""
PetKind00010#0,"""Aero"""
PetKind00011#0,"""Popple"""
PetKind00012#0,"""Ledran"""
PetKind00013#0,"""-"""
Ship01#0,"""Ship01:フェオ"""
Ship02#0,"""Ship02:ウル"""
Ship03#0,"""Ship03:ソーン"""
Ship04#0,"""Ship04:アンスール"""
Ship05#0,"""Ship05:ラグズ"""
Ship06#0,"""Ship06:ケン"""
Ship07#0,"""Ship07:ギョーフ"""
Ship08#0,"""Ship08:ウィン"""
Ship09#0,"""Ship09:ハガル"""
Ship10#0,"""Ship10:ナウシズ"""
Self01_01#0,"""Self01_01"""
Self01_02#0,"""Self01_02"""
Self02_01#0,"""Self02_01"""
Self02_02#0,"""Self02_02"""
Ship01_01#0,"""Ship01"""
Ship01_02#0,"""Ship02"""
Ship01#1,"""Ship01"""
Ship02#1,"""Ship02"""
Ship03#1,"""Ship03"""
Ship04#1,"""Ship04"""
Ship05#1,"""Ship05"""
Ship06#1,"""Ship06"""
Ship07#1,"""Ship07"""
Ship08#1,"""Ship08"""
Ship09#1,"""Ship09"""
Ship10#1,"""Ship10"""
AcQuickChargeCoin#0,"""$(0)<pict Arcscash>"""
AcQuickChargePrice#0,"""$(0)円(税込)"""
AcQuickChargeTitle#0,"""ACクイックチャージ確認"""
AcQuickChargeMessage#0,"""お支払用クレジットカードで<br>以下のACチャージ額を購入します。<br>よろしいですか？<br><br>ACチャージ額：$(0)<br>価格：$(1)"""
AcQuickChargeCompTitle#0,"""ACクイックチャージ"""
AcQuickChargeComp#0,"""ACクイックチャージが完了しました。"""
AcQuickChargeErrorTitle#0,"""ACチャージエラー"""
AcQuickChargeError#0,"""ACクイックチャージに失敗しました。"""
MenuCharge#0,"""ACクイックチャージ"""
MenuButtonChargeGo#0,"""ACクイックチャージする"""
MenuButtonChancel#0,"""キャンセル"""
MenuButtonWebGo#0,"""Webページからチャージする"""
MenuButtonPsStoreGo#0,"""PlayStation®StoreからACチャージする"""
MenuButtonLawConfirm#0,"""特定商取引に関する法律に基づく表示"""
Acnum#0,"""ACチャージ額"""
ACPrice#0,"""価格"""
Quick_Guide#0,"""購入するACチャージ額を選択し<br>「ACクイックチャージする」を選択してください。<br><br>「Webページからチャージする」を選ぶと<br>Webで登録情報変更やACチャージができます。"""
Quick_Guide_PS4#0,"""購入するACチャージ額を選択し<br>「ACクイックチャージする」を選択してください。<br><br>「PlayStation®StoreからACチャージする」を<br>選ぶこともできます。"""
