Npc_ShopTrade#0,"""Магазин переработки"""
Type1_3#1,"""貫く力、ヘリクスタイプの具現。<br>目標に向かい、衝角での連撃ののち<br>体躯を活かした踏みつけ攻撃を行う。"""
Type2_1#1,"""譲らぬ力、アイアスタイプの具現。<br>前方広範囲に向けて、炸裂砲弾を<br>次々に発射し、殲滅を行う。"""
Type2_2#1,"""譲らぬ力、アイアスタイプの具現。<br>頭部より発射したフォトンメーザーを<br>目標周囲へ雨霰のように降らせる。"""
Type2_3#1,"""譲らぬ力、アイアスタイプの具現。<br>飛散させた鵬翼はそれぞれが意志を<br>持ち、目標を撃ち抜く弾丸となる。"""
Type3_1#1,"""惑わぬ力、ケートスタイプの具現。<br>周囲の大気中フォトンへ働きかけ<br>ＰＰの自己回復量を増大させる。"""
Type3_2#1,"""惑わぬ力、ケートスタイプの具現。<br>前方に向けて、フォトンを凝縮した<br>レーザーで集束砲撃を行う。"""
Type3_3#1,"""惑わぬ力、ケートスタイプの具現。<br>空間を遊泳し、フォトンを励起させ<br>数多の落雷を発生させる。"""
Type4_1#1,"""A Julius-type avatar with <br>unwavering strength.<br>Warps in close to the target<br>and attacks mulitple times with its arms."""
Type4_2#1,"""揺るがぬ力、ユリウスタイプの具現。<br>目標へ向けて、確実に仕留める<br>刺突尖角を撃ち下ろす。"""
Type4_3#1,"""揺るがぬ力、ユリウスタイプの具現。<br>目標周囲に、限定的な超重力場を<br>発生させ集束、収縮崩壊を行う。"""
Type5_1#1,"""挫けぬ力、イリオスタイプの具現。<br>主の定めた目標に対し、主と連携して<br>追加攻撃を行う。"""
Type5_2#1,"""挫けぬ力、イリオスタイプの具現。<br>主の定めた目標に対し、巨大な剣から<br>両断の波動を撃ち出す。"""
Type5_3#1,"""挫けぬ力、イリオスタイプの具現。<br>主の定めた目標に対し、虚空の彼方<br>より無慈悲な罰を降らせる。"""
TypeNon#2,"""Отсутствует"""
Type1_1#2,"""Не атакует"""
Type2_1#2,"""打撃/アタック"""
Type2_2#2,"""打撃/アッパー"""
Type2_3#2,"""打撃/ブロー"""
Type3_2#2,"""射撃/炎通常弾"""
Type3_3#2,"""射撃/氷通常弾"""
Type3_4#0,"""射撃/雷通常弾"""
Type3_5#0,"""射撃/風通常弾"""
Type3_6#0,"""射撃/闇通常弾"""
Type3_7#0,"""R-ATK / Лайт Bullet"""
Type3_9#0,"""射撃/炎貫通弾"""
Type3_10#0,"""射撃/氷貫通弾"""
Type3_11#0,"""射撃/雷貫通弾"""
Type3_12#0,"""射撃/風貫通弾"""
Type3_13#0,"""射撃/闇貫通弾"""
Type3_14#0,"""R-ATK / Penetrating Лайт Bullet"""
Type3_16#0,"""射撃/炎炸裂弾"""
Type3_17#0,"""射撃/氷炸裂弾"""
Type3_18#0,"""射撃/雷炸裂弾"""
Type3_19#0,"""射撃/風炸裂弾"""
Type3_20#0,"""射撃/闇炸裂弾"""
Type3_21#0,"""R-ATK / Exploding Лайт Bullet"""
Type4_1#2,"""法撃/フォイエ"""
Type4_2#2,"""法撃/バータ"""
Type4_3#2,"""法撃/ゾンデ"""
Type4_4#0,"""法撃/ザン"""
Type4_5#0,"""法撃/メギド"""
Type4_6#0,"""法撃/グランツ"""
TypeNon#3,"""Отсутствует"""
Type1_1#3,"""Не атакует"""
Type2_1#3,"""Бьёт противника."""
Type2_2#3,"""Бьёт и подбрасывает противника."""
Type2_3#3,"""Бьет и оглушает противника."""
Type3_2#3,"""Стреляет пулями с атрибутом огня."""
Type3_3#3,"""Стреляет пулями с атрибутом льда."""
Type3_4#1,"""Стреляет пулями с атрибутом молнии."""
Type3_5#1,"""Стреляет пулями с атрибутом ветра."""
Type3_6#1,"""Стреляет пулями с атрибутом тьмы."""
Type3_7#1,"""Стреляет пулями с атрибутом света."""
Type3_9#1,"""Стреляет проникающими пулями с атрибутом огня."""
Type3_10#1,"""Стреляет проникающими пулями с атрибутом льда."""
Type3_11#1,"""Стреляет проникающими пулями с атрибутом молнии."""
Type3_12#1,"""Стреляет проникающими пулями с атрибутом ветра."""
Type3_13#1,"""Стреляет проникающими пулями с атрибутом тьмы."""
Type3_14#1,"""Стреляет проникающими пулями с атрибутом света."""
Type3_16#1,"""Стреляет разрывными пулями с атрибутом огня."""
Type3_17#1,"""Стреляет разрывными пулями с атрибутом льда."""
Type3_18#1,"""Стреляет разрывными пулями с атрибутом молнии."""
Type3_19#1,"""Стреляет разрывными пулями с атрибутом ветра."""
Type3_20#1,"""Стреляет разрывными пулями с атрибутом тьмы."""
Type3_21#1,"""Стреляет разрывными пулями с атрибутом света."""
Type4_1#3,"""Применяет Foie."""
Type4_2#3,"""Применяет Barta."""
Type4_3#3,"""Применяет Zonde."""
Type4_4#1,"""Применяет Zan."""
Type4_5#1,"""Применяет Megid."""
Type4_6#1,"""Применяет Grants."""
None#0,"""Отсутствует"""
mag_Basher#0,"""SP打撃/乱舞"""
mag_VulcanCannon#0,"""SP射撃/速射"""
mag_TechCharger#0,"""SP法撃/集束"""
mag_Reflector#0,"""SP技量/鉄壁"""
None#1,"""Отсутствует"""
mag_Basher#1,"""プレイヤーの周囲を攻撃する。<br>ヒットごとにPPを回復し<br>攻撃力アップ効果を得る。"""
mag_VulcanCannon#1,"""敵単体に高速射撃を行い<br>ヒットごとにPPを回復する。"""
mag_TechCharger#1,"""効果時間中、法撃の<br>チャージ時間を短縮する。"""
mag_Reflector#1,"""攻撃を受けたときに発動。<br>効果時間中、ダメージを減少させ<br>打ち上げや吹き飛ばしも防ぐ。"""
TypeNon#4,"""Отсутствует"""
Type2_1_1#0,"""支援/ＨＰ回復Ａ"""
Type2_1_2#0,"""支援/ＨＰ回復Ｂ"""
Type2_1_3#0,"""支援/ＨＰ回復Ｃ"""
Type1_4_1#0,"""支援/能力上昇Ａ"""
Type1_4_2#0,"""支援/能力上昇Ｂ"""
Type1_4_3#0,"""支援/能力上昇Ｃ"""
Type1_8_1#0,"""支援/ＰＰ回復Ａ"""
Type1_8_2#0,"""支援/ＰＰ回復Ｂ"""
Type1_8_3#0,"""支援/ＰＰ回復Ｃ"""
Type4_5_1#0,"""支援/状態異常Ａ"""
Type4_5_2#0,"""支援/状態異常Ｂ"""
Type4_5_3#0,"""支援/状態異常Ｃ"""
Type5_6_1#0,"""支援/無敵Ａ"""
Type5_6_2#0,"""支援/無敵Ｃ"""
Type5_6_3#0,"""支援/無敵３"""
Type5_4_1#0,"""支援/能力上昇Ｄ"""
Type5_4_2#0,"""支援/能力上昇Ｅ"""
Type5_4_3#0,"""支援/能力上昇Ｆ"""
Type5_8_1#0,"""支援/ＰＰ回復Ｄ"""
Type5_8_2#0,"""支援/ＰＰ回復Ｅ"""
Type5_8_3#0,"""支援/ＰＰ回復Ｆ"""
Type6_4_1#0,"""支援/能力上昇Ｇ"""
Type6_4_2#0,"""支援/能力上昇Ｈ"""
Type6_4_3#0,"""支援/能力上昇Ｉ"""
Type6_8_1#0,"""支援/ＰＰ回復Ｇ"""
Type6_8_2#0,"""支援/ＰＰ回復Ｈ"""
Type6_8_3#0,"""支援/ＰＰ回復Ｉ"""
Type3_7_1#0,"""支援/復活Ａ"""
Type3_7_2#0,"""支援/復活Ｂ"""
Type7_1_1#0,"""支援/ＨＰ回復Ｊ"""
Type7_1_2#0,"""支援/ＨＰ回復Ｋ"""
Type7_1_3#0,"""支援/ＨＰ回復Ｌ"""
Type7_4_1#0,"""支援/能力上昇Ｊ"""
Type7_4_2#0,"""支援/能力上昇Ｋ"""
Type7_4_3#0,"""支援/能力上昇Ｌ"""
Type7_8_1#0,"""支援/ＰＰ回復Ｊ"""
Type7_8_2#0,"""支援/ＰＰ回復Ｋ"""
Type7_8_3#0,"""支援/ＰＰ回復Ｌ"""
Type7_9_1#0,"""生産/ＨＰ回復系"""
Type7_9_2#0,"""生産/範囲回復系"""
Type7_9_3#0,"""生産/トラップ系"""
Type7_9_4#0,"""生産/特殊系１"""
Type7_9_5#0,"""生産/特殊系２"""
Type7_9_6#0,"""生産/特殊系３"""
Type7_9_7#0,"""生産/特殊系４"""
Type7_9_8#0,"""トリガーアクション46"""
Type7_9_9#0,"""トリガーアクション47"""
TypeNon#5,"""Отсутствует"""
Type2_1_1#1,"""Восстанавливает HP,<br>если HP менее 25%.<br>Высокая вероятность,<br>медленная перезарядка."""
Type2_1_2#1,"""Восстанавливает HP,<br>если HP менее 25%.<br>Средняя вероятность,<br>средняя скорость перезарядки."""
Type2_1_3#1,"""Восстанавливает HP,<br>если HP менее 25%.<br>Низкая вероятность,<br>быстрая перезарядка."""
Type1_4_1#1,"""Увеличивает характеристики<br>при смене локации.<br>Низкая вероятность,<br>низкая продолжительность."""
Type1_4_2#1,"""Увеличивает характеристики<br>при смене локации.<br>Средняя вероятность,<br>средняя продолжительность."""
Type1_4_3#1,"""Увеличивает характеристики<br>при смене локации.<br>Высокая вероятность,<br>высокая продолжительность."""
Type1_8_1#1,"""Увеличивает регенерацию PP<br>при смене локации.<br>Высокая вероятность,<br>низкая продолжительность."""
Type1_8_2#1,"""Увеличивает регенерацию PP<br>при смене локации.<br>Средняя вероятность,<br>средняя продолжительность."""
Type1_8_3#1,"""Увеличивает регенерацию PP<br>при смене локации.<br>Низкая вероятность,<br>высокая продолжительность."""
Type4_5_1#1,"""Снимает негативные эффекты.<br>Низкая вероятность, быстрая перезарядка."""
Type4_5_2#1,"""Снимает негативные эффекты.<br>Средняя вероятность, средняя скорость перезарядки."""
Type4_5_3#1,"""Снимает негативные эффекты.<br>Высокая вероятность, медленная перезарядка."""
Type5_6_1#1,"""Делает неуязвимым при заполнении счётчика PB.<br>Низкая продолжительность."""
Type5_6_2#1,"""Делает неуязвимым при заполнении счётчика PB.<br>Средняя продолжительность."""
Type5_6_3#1,"""Делает неуязвимым при заполнении счётчика PB.<br>Высокая продолжительность."""
Type5_4_1#1,"""Увеличивает характеристики при заполнении счётчика PB.<br>Низкая продолжительность."""
Type5_4_2#1,"""Увеличивает характеристики при заполнении счётчика PB.<br>Средняя продолжительность."""
Type5_4_3#1,"""Увеличивает характеристики при заполнении счётчика PB.<br>Высокая продолжительность."""
Type5_8_1#1,"""Увеличивает регенерацию PP при заполнении счётчика PB.<br>Низкая продолжительность."""
Type5_8_2#1,"""Увеличивает регенерацию PP при заполнении счётчика PB.<br>Средняя продолжительность."""
Type5_8_3#1,"""Увеличивает регенерацию PP при заполнении счётчика PB.<br>Высокая продолжительность."""
Type6_4_1#1,"""Увеличивает характеристики при старте <br>Emergency Trial.<br>Низкая вероятность, быстрая перезарядка."""
Type6_4_2#1,"""Увеличивает характеристики при старте <br>Emergency Trial.<br>Средняя вероятность, средняя скорость перезарядки."""
Type6_4_3#1,"""Увеличивает характеристики при старте <br>Emergency Trial.<br>Высокая вероятность, медленная перезарядка."""
Type6_8_1#1,"""Увеличивает регенерацию PP при старте <br>Emergency Trial.<br>Высокая вероятность, низкая продолжительность."""
Type6_8_2#1,"""Увеличивает регенерацию PP при старте <br>Emergency Trial.<br>Средняя вероятность, средняя продолжительность."""
Type6_8_3#1,"""Увеличивает регенерацию PP при старте <br>Emergency Trial.<br>Низкая вероятность, высокая продолжительность."""
Type3_7_1#1,"""Воскрешает после смерти.<br>Очень низкая вероятность."""
Type3_7_2#1,"""Воскрешает после смерти.<br>Низкая вероятность."""
Type7_1_1#1,"""Восстанавливает HP через определенный период.<br>Короткий период ожидания, слабое лечение."""
Type7_1_2#1,"""Восстанавливает HP через определенный период.<br>Средний период ожидания, среднее лечение."""
Type7_1_3#1,"""Восстанавливает HP через определенный период.<br>Длинный период ожидания, сильное лечение."""
Type7_4_1#1,"""Увеличивает характеристики через определенный период.<br>Длинный период ожидания."""
Type7_4_2#1,"""Увеличивает характеристики через определенный период.<br>Средний период ожидания."""
Type7_4_3#1,"""Увеличивает характеристики через определенный период.<br>Короткий период ожидания."""
Type7_8_1#1,"""Восстанавливает РP через определенный период.<br>Короткий период ожидания, слабый эффект."""
Type7_8_2#1,"""Восстанавливает РP через определенный период.<br>Средний период ожидания, средний эффект."""
Type7_8_3#1,"""Восстанавливает РP через определенный период.<br>Длинный период ожидания, сильный эффект."""
Type7_9_1#1,"""Производит Monomate<br>через определенный период."""
Type7_9_2#1,"""Производит Sol Atomizer<br>через определенный период."""
Type7_9_3#1,"""Производит ловушки<br>через определенный период."""
Type7_9_4#1,"""Производит особые предметы<br>через определенный период."""
Type7_9_5#1,"""トリガーアクション説明43"""
Type7_9_6#1,"""トリガーアクション説明44"""
Type7_9_7#1,"""トリガーアクション説明45"""
Type7_9_8#1,"""トリガーアクション説明46"""
Type7_9_9#1,"""トリガーアクション説明47"""
Darker#0,"""Даркеров"""
Native#0,"""Животных Набериуса"""
Machine#0,"""Машин Лилипы"""
Dragon#0,"""Драконкинов"""
Another#0,"""Межпространственных"""
Chimera#0,"""Океанидов"""
TitanBlack#0,"""Куронитов"""
TitanWhite#0,"""Широнитов"""
UltDarker#0,"""Мутировавших даркеров"""
UltNative#0,"""Мутировавших животных Набериуса"""
UltMachine#0,"""Мутировавших машин Лилипы"""
UltDragon#0,"""Мутировавших драконов"""
Phantom#0,"""Фантомов"""
All#0,"""Любых врагов"""
Generic#0,"""Врагов"""
SoldierAnt#0,"""Даган"""
SoldierAntElite#0,"""Эру Даган"""
SoldierAntEliteRare#0,"""Даган Неро"""
QueenAnt#0,"""Бриада"""
AntEgg#0,"""Яйцо Дагана"""
Snail#0,"""Картаго"""
NativeBeast#0,"""Удан"""
NativeBeastThrower#0,"""Дза Удан"""
FishShield#0,"""Га Вонда"""
FishShieldReverse#0,"""Гу Вонда"""
FishBigBeastA#0,"""Волгада"""
FishBigBeastB#0,"""Алонагада"""
HologramRobot#0,"""Сигно Бит"""
HologramRobotRare#0,"""Сигно Блу"""
TransformMechaA#0,"""Транмайзер"""
TransformMechaRare#0,"""Транзексия"""
Spider#0,"""Дарк Рагна"""
SpiderRare#0,"""Дарк Аграни"""
YetiA#0,"""Кинг Йедэ"""
YetiB#0,"""Йедэ"""
ZombieRobot#0,"""Гилнас"""
ZombieRobotUpper#0,"""Руки Гилнаса"""
ZombieRobotLower#0,"""Ноги Гилнаса"""
ZombieRobotCore#0,"""Ядро Гилнаса"""
ZombieRobotB#0,"""Гилнач"""
MachineKickShot#0,"""Старк Ган"""
MachineKickNear#0,"""Батра Ган"""
DragonMagma#0,"""Вул. Дракон"""
DragonMagmaRare#0,"""Бёрн Дорал"""
DragonMagmaUniq#0,"""Хи Рога"""
DragonCrystal#0,"""Кварц. Дракон"""
DragonCrystalRare#0,"""Крис Дорал"""
DragonCrystalUniq#0,"""Ко Рера"""
DragonGladiator#0,"""Дракон Экс"""
DragonGladiatorRare#0,"""Ноар Дорал"""
PterosaurA#0,"""Агинис"""
WolfA#0,"""Фонгальф"""
WolfB#0,"""Гальф"""
WolfSnowA#0,"""Фонгальфур"""
WolfSnowB#0,"""Гальфур"""
MachineWolf#0,"""Винто Варг"""
MachineWolfShot#0,"""Ганон Варг"""
MachineWolfBoost#0,"""Джагд Варг"""
MarineDog#0,"""Акульпус"""
AbyssDog#0,"""Таг Акулпус"""
ArmadilloA#0,"""Гаронго"""
BigBeastA#0,"""Рокбер"""
BigBeastRare#0,"""Рокбельт"""
RagRappyA#0,"""Наб Рэппи"""
Rappy#0,"""Рэппи"""
RappyEaster#0,"""Пасхальный Рэппи"""
RappyFrog#0,"""Лягушка Рэппи"""
RappyHelloween#0,"""Латан Рэппи"""
RappySanta#0,"""Сэнт Рэппи"""
RappySummer#0,"""Летний Рэппи"""
RappyValentine#0,"""Лав Рэппи"""
RappyWhiteday#0,"""Лавли Рэппи"""
RappyDragon#0,"""Драг Рэппи"""
RappyElep#0,"""Элеф Рэппи"""
DragonRaptor#0,"""Дигг"""
DragonRaptorRare#0,"""Диггнас"""
DragonRizardmanA#0,"""Сил-Диниан"""
DragonRizardmanB#0,"""Сол-Диниан"""
DragonRizardmanC#0,"""Диниан"""
DragonRizardmanSA#0,"""Сил-Садиниан"""
DragonRizardmanSB#0,"""Сол-Садиниан"""
DragonRizardmanSC#0,"""Садиниан"""
DragonRizardmanSD#0,"""Сет-Садиниан"""
DragonRizardmanUniq#0,"""Чи Моб"""
DragonWolfA#0,"""Фодоран"""
DragonWolfB#0,"""Нодиран"""
DragonWolfSA#0,"""Фодоранса"""
DragonWolfSB#0,"""Нодиранса"""
DragonHammerA#0,"""Пендран"""
DragonFlyraptorBite#0,"""Дигалла"""
DragonFlyraptorShot#0,"""Сол Дигалла"""
FloatageFishA#0,"""Дагаш"""
FloatageFishB#0,"""Дагача"""
FloatageFishRare#0,"""Дагаш Нэро"""
CanadinA#0,"""Гардин"""
CanadinB#0,"""Гардинан"""
CanadinCustom#0,"""Заказной Гардинан"""
PantherA#0,"""Фанг Бансар"""
PantherB#0,"""Фанг Банши"""
PantherARare#0,"""Банса Онг"""
PantherBRare#0,"""Банса Донна"""
PantherSnowA#0,"""Сноу Банса"""
PantherSnowB#0,"""Сноу Банши"""
PantherSnowARare#0,"""Банса Оран"""
PantherSnowBRare#0,"""Банса Елена"""
Doodlebug#0,"""Гванада"""
DoodlebugNeedle#0,"""Гванада Бит"""
DoodlebugRare#0,"""Гванада Нэро"""
DoodlebugNeedleRare#0,"""Гванада Бит Неро"""
DragonWorm#0,"""Кятодаран"""
DragonWormB#0,"""Кятодаранса"""
DragonWormRare#0,"""Катодорал"""
AntReaper#0,"""Эру Ада"""
Locust#0,"""Крада"""
MimicA#0,"""Микуда"""
MimicB#0,"""Ору Микуда"""
MimicC#0,"""Ми Микуда"""
BirdBirdcrowA#0,"""Шутрада"""
BirdBirdcrowB#0,"""Тиралуда"""
BirdBirdcrowARare#0,"""Бал Шутрада"""
BirdCentaur#0,"""Блу Рингада"""
BirdCentaurRare#0,"""Нове Рингадал"""
GormaA#0,"""Спардан A"""
GormaB#0,"""Спарган"""
GormaC#0,"""Спарзайл"""
DpHuman#0,"""Фальц Хунар"""
DpHumanUniq#0,"""Фальц Хунар"""
DpHumanUniq2#0,"""Фальц Хунар"""
DpFishArm#0,"""Рука Фальца"""
DpFishElder#0,"""Дарк Фальц Элдер"""
Umblla#0,"""Мистер Анбра"""
UmbllaSanta#0,"""Сэинт Анбра"""
Crab#0,"""Крабада"""
DragonWyvern#0,"""Виндира"""
DragonBeast#0,"""Баридоран"""
Char01_Maskman#0,"""[Персона]"""
Chr02_Gettem#0,"""Геттемхарт"""
Chr03_Huey#0,"""Хьюи"""
Chr04_KK#0,"""Кларисс Крейс"""
CannonRobot#0,"""Сигноган"""
MammothA#0,"""Де-Мармос"""
MammothB#0,"""Мармос"""
MammothRare#0,"""Дал Малри"""
BossMechaA#0,"""Биг Варда"""
BossMechaMine#0,"""Киндид"""
BossMechaRare#0,"""Кинг Варда"""
BossMechaMineRare#0,"""Винвид"""
BossMechaRepair#0,"""Ядро Гилнача"""
MonoeyeA#0,"""Куклонада"""
MonoeyeB#0,"""Сайклонеда"""
AlligatorSnapperA#0,"""Зешрейда"""
AlligatorSnapperRare#0,"""Ригшрейда"""
DragonBerserkA#0,"""Хром Дракон"""
DragonBerserkAUniq1#0,"""Хадред"""
DragonBerserkAUniq2#0,"""Хадред"""
DragonBerserkARare#0,"""Хейз Дарал"""
MantisWarriorA#0,"""Предикада"""
MantisWarriorB#0,"""Дикада"""
MantisWarriorRare#0,"""Предикада Нэро"""
BirdSoldierA#0,"""Солда Капита"""
BirdSoldierB#0,"""Гул Солда"""
BirdSoldierC#0,"""Дуэ Солда"""
DragonChariotVanguard#0,"""Дирандал"""
DragonChariotRearguard#0,"""Сол Дирандал"""
DragonSummoner#0,"""Горон Зоран"""
DragonSummonerIllusion#0,"""Enemy"""
DragonSummonerRare#0,"""Зорон Гораал"""
DragonSummonerIllusionRare#0,"""Enemy"""
Cougar#0,"""Коугар NX"""
CougarRare#0,"""Коугар NX ACE"""
MarineOarfish#0,"""Бал Родос"""
MarineOarfishRare#0,"""Бал Доминус"""
AbyssChameleon#0,"""Сегурезун"""
AbyssChameleonRare#0,"""Дегирезун"""
BirdDoubleHead#0,"""Луда Сорсара"""
Mesetan#0,"""Месетан"""
Byakko#0,"""Тагами Казучи"""
MarineTetra#0,"""Торбон"""
AbyssTetra#0,"""Блуторбон"""
MechaMineCustom#0,"""Заказной Киндидд"""
MarineFlower#0,"""Блумегала"""
MarineFlowerJr#0,"""Блуметта"""
MarineFlowerRare#0,"""Фьоргалла"""
MachineCCanon#0,"""Дингелл"""
MachineCShield#0,"""Яг Дингелл"""
MachineCCanonRare#0,"""Динга Полсе"""
MachineCShieldRare#0,"""Динга Ноче"""
HummingBird#0,"""Блундар"""
HummingBirdRare#0,"""Бал Блундарл"""
MarineOrca#0,"""Орг Блан"""
MarineOrcaRare#0,"""Орг Кератос"""
MachineLittleBoss#0,"""Варда Сома"""
MachineLittleBossRare#0,"""Эмбрио Варда"""
BirdStacked#0,"""Декол Маллуда"""
BirdStackedRare#0,"""Новэ Малидар"""
AbyssFlower#0,"""Биол Медуна"""
AbyssFlowerRare#0,"""Магиза Медуна"""
AbyssFlowerUniq#0,"""Биол Медуна"""
AbyssPenguin#0,"""Таробеко"""
AbyssPenguinRare#0,"""Сиглубеко"""
AbyssGidora#0,"""Вид Гилос"""
BirdCrest#0,"""Дорюада"""
AbyssCrab#0,"""Фалкабон"""
Cockroach#0,"""Голдрада"""
CockroachRare#0,"""Ринзе Драда"""
BirdOstrich#0,"""Доблун"""
BirdOstrichRare#0,"""Бал Доблун"""
BirdOstrichHeal#0,"""Доблунде"""
Pillbug#0,"""Видолуда"""
MarineManClaw#0,"""Севаниан"""
MarineManOctpass#0,"""Таг Севаниан"""
MassiveLillipa#0,"""Варвалиллипан"""
Beetle#0,"""Дарк Вибрас"""
BeetleRare#0,"""Дарк Ринзес"""
BeetleB#0,"""Дарк Вибрас Юга"""
BeetleBRare#0,"""Дарк Ринзес Юга"""
Ladybird#0,"""Сорза Брада"""
DpBird#0,"""Дакр Фальц Лузер"""
DpBirdFake#0,"""Дакр Фальц Лузер"""
BirdBat#0,"""Ланз Вареда"""
BirdBatRare#0,"""Вада Ланзуне"""
JackBox#0,"""Мистер Джонсон"""
BirdDpHuman#0,"""Фальц Ангел"""
BirdDpHumanUniq#0,"""Фальц Ангел"""
BirdOwl#0,"""Апос Дориос"""
BirdOwlRare#0,"""Аполстол Дритцер"""
Char12_ZHu1#0,"""АРКС \""Бездна\"" (Х/М)"""
Char12_ZHu2#0,"""АРКС \""Бездна\"" (Х/Ж)"""
Char12_ZRa1#0,"""АРКС \""Бездна\"" (Р/М)"""
Char12_ZRa2#0,"""АРКС \""Бездна\"" (Р/Ж)"""
Char12_ZFo1#0,"""АРКС \""Бездна\"" (Ф/М)"""
Char12_ZFo2#0,"""АРКС \""Бездна\"" (Ф/Ж)"""
Char05_O#0,"""Оза"""
Char06_M#0,"""Марлур"""
Char07_R#0,"""Риса"""
Char08_F#0,"""Фурье"""
Char10_K_GS#0,"""Касра"""
Char10_K_TH#0,"""Касра"""
Char11_L#0,"""Лютер"""
Char13_T#0,"""Теодор"""
Char09_Reg#0,"""Региус"""
Chr04_KK_ep2#0,"""Кларисс Крейс"""
Char14_ClCl#0,"""Клон Кларисс Крейс"""
KG#0,"""Найт Гир"""
KGRare#0,"""Маги-Найт Гир"""
Char01_MaskmanDS#0,"""[Персона]"""
Char17_Ma#0,"""Матои Виель"""
Mono1EyefootA#0,"""Падзи-Гири"""
Mono1OniClub#0,"""Иза-Огар"""
Mono1OniGun#0,"""Адо-Огар"""
Mono1OniWhite#0,"""Летар-Огга"""
Mono1OniWhiteB#0,"""Летара-Мегго"""
Mono1OniWhiteUnique#0,"""Котоширо"""
Mono1OrkThunder#0,"""Ганна-Гам"""
Mono1OrkThunderRare#0,"""Гимна-Гамри"""
Mono1OrkWind#0,"""Ленрам-Гам"""
Mono1OrkWindRare#0,"""Орна-Гамри"""
Mono1PlateA#0,"""Ануши-Загри"""
Mono1PlateARare#0,"""Ёмна-Загри"""
Mono1Roller#0,"""Анжаду-Лили"""
Mono1RollerRare#0,"""Йог'жаду-Лили"""
Mono1RollerII#0,"""Пажаду-Лин"""
Mono1YoroiA#0,"""Гигур Гунне-Гам"""
Mono1YoroiRare#0,"""Гунне Гинна-гам"""
ToyBoxBite#0,"""Питта Вадда"""
ToyBoxMissile#0,"""Парата Пикода"""
ToyCrazyBear#0,"""Бонта Бирадда"""
UnknownCat#0,"""Няу"""
UnknownCatArcs#0,"""Церемон. Няу"""
UnknownCatJan1#0,"""Ноя Няу"""
UnknownCatTK#0,"""Торо Куро Няу"""
UnknownCatSpring#0,"""Сакура Няу"""
UnknownCatSH#0,"""Соник Няу"""
UnknownCatSummer#0,"""Летний Няу"""
UnknownCatAutumn#0,"""Лунный Няу"""
Wop3ApeA#0,"""Фалгарбон"""
Wop3ApeARare#0,"""Габонарогг"""
Wop3Dog#0,"""Тарволпус"""
Wop3GaicoEdge#0,"""Варадиан"""
Wop3GaicoGun#0,"""O Варадиан"""
Wop3GaicoJuggle#0,"""Су Варадиан"""
Wop3GaicoMagic#0,"""Вланадиан"""
Wop3Massive#0,"""Шильт Гримиан"""
Wop3ShieldA#0,"""Баноридиан"""
Wop3Sleigh#0,"""Непто Кассадора"""
Wop3SleighRare#0,"""Кассадо Бадул"""
Wop3Wany#0,"""Рео Мадуллард"""
Wop3WanyRare#0,"""Мальдузарид"""
MarineOarfishII#0,"""Бал Родос"""
MarineOarfishIIRare#0,"""Бал Доминус"""
UltNativeBeast#0,"""Герагодан"""
UltNativeBeastThrower#0,"""Гибблодан"""
UltWolfA#0,"""Баргруфф"""
UltWolfB#0,"""Зугруфф"""
UltWolfARare#0,"""Баргруфф Гуэ"""
UltWolfBRare#0,"""Зугруфф Гуэ"""
UltYetiA#0,"""Кайсефуэго"""
UltYetiB#0,"""Фуэго"""
UltMammothA#0,"""Плозиорглес"""
UltMammothARare#0,"""Игнитиоглес"""
UltMammothB#0,"""Джармаглес"""
UltPterosaurA#0,"""Фогинис"""
UltBigBeastA#0,"""Баяриблс"""
UltBigBeastRare#0,"""Брегррибруйза"""
UltDragonMagma#0,"""Дьябо Игритис"""
UltDragonMagmaRare#0,"""Вомос Бродотис"""
UltArmadilloA#0,"""Грандильга"""
UltSoldierAnt#0,"""Даган Юга"""
UltSoldierAntRare#0,"""Югарл Даган"""
UltMantisWarriorA#0,"""Югадикада"""
UltMantisWarriorARare#0,"""Дергадикада"""
UltCockroach#0,"""Югулдрада"""
UltCockroachRare#0,"""Юрисгадрада"""
UltWakerCore#0,"""Анга Фандарге"""
UltWakerSymbolA#0,"""Анга Фандарге"""
UltWakerSymbolB#0,"""Анга Фандарге"""
Mono0GreatEvilA#0,"""Магацу"""
Mono0Eyefoot#0,"""Мага Падзи-гри"""
Mono0OniClub#0,"""Мага Иза-огар"""
Mono0Plate#0,"""Мага Ануши-загри"""
Mono0GreatEvilEX1#0,"""Магацу Шиган"""
Mono0GreatEvilEX2#0,"""Магацу Хиган"""
Mono0GreatEvilEX3#0,"""Магацу Сай"""
Char15_AOld#0,"""[Аппрентис] Доппельгангер"""
Char16_LC#0,"""[Лузер] Доппельгангер"""
Char15_AOldEx#0,"""[Аппрентис] Доппельгангер"""
Char01_MaskmanDSEx#0,"""[Персона]"""
UltGormaA#0,"""Джагд Спардан"""
UltCannonRobot#0,"""Ганкайзер"""
UltHologramRobot#0,"""Синоу Рапидус"""
UltHologramRobotRare#0,"""Синоу Роззо"""
UltMachineWolf#0,"""Кайзер Варгр"""
UltZombieRobot#0,"""Рапид Гилнас"""
UltMachineCCanon#0,"""Блейд Дингелл"""
UltMachineCCanonRare#0,"""Дингабруз"""
UltMachineLittleBoss#0,"""Зета  Гуранз"""
