Title_DeadMenu#0,"""Incapacitation Menu"""
SkillTreeResetPath#0,"""<pict Arcscash><c ff4f3f>AC消費コンテンツ<c><br><yellow>“N-追加スキルツリー振り替え”<c>の<br>購入確認画面に進みますか？<br><br>振り替え前\u3000\u3000/ $(1) 用スキルツリー<br>振り替え後\u3000\u3000/ $(0) 用スキルツリー<br><br>（所持数：$(2)）"""
SkillTreeResetPathSG#0,"""<pict StarGem><c 1dedd7>SG消費コンテンツ<c><br><yellow>“N-追加スキルツリー振り替え”<c>の<br>購入確認画面に進みますか？<br><br>振り替え前\u3000\u3000 / $(1) 用スキルツリー<br>振り替え後\u3000\u3000 / $(0) 用スキルツリー<br><br>（所持数：$(2)）"""
SkillTreeResetTicket#0,"""<pict Arcscash><pict 4space><c 5fdf00>購入済アイテムの使用<c><br><yellow>“N-追加スキルツリー振り替え”<c>を使用し、<br>スキルツリーを振り替えますか？<br><br>振り替え前\u3000\u3000/ $(1) 用スキルツリー<br>振り替え後\u3000\u3000/ $(0) 用スキルツリー<br><br>（所持数：$(2)）"""
SkillTreeResetTicketSG#0,"""<pict StarGem><pict 4space><c 5fdf00>購入済アイテムの使用<c><br><yellow>“N-追加スキルツリー振り替え”<c>を使用し、<br>スキルツリーを振り替えますか？<br><br>振り替え前\u3000\u3000/ $(1) 用スキルツリー<br>振り替え後\u3000\u3000/ $(0) 用スキルツリー<br><br>（所持数：$(2)）"""
SkillTreeExplain#0,"""<c f0df60>スキルポイント(SP)を消費して、クラススキルを習得できます。SPはレベルアップ時に獲得できます。<%NextTabDetails><c f0df60>で詳細を確認できます。<c>"""
SkillTreeExplain_v#0,"""<c f0df60>スキルポイント(SP)を消費して、クラススキルを習得できます。SPはレベルアップ時に獲得できます。<c>"""
SkillTreeAddExplain#0,"""<c f0df60>“N-スキルツリー追加”を使用またはACで購入して、スキルツリーを追加することができます。<c>"""
SkillTreeResetExplain#0,"""<c f0df60>“N-追加スキルツリー振り替え”を使用またはACで購入して、スキルツリーを初期化できます。最初に、振り替えるツリーを選択してください。<c>"""
SkillTreeResetExplainSG#0,"""<c f0df60>“N-追加スキルツリー振り替え”を使用またはＳＧで購入して、スキルツリーを初期化できます。最初に、振り替えるツリーを選択してください。<c>"""
SkillTreeResetExplain_v#0,"""<c f0df61>“N-追加スキルツリー振り替え”を使用、またはACで購入して、スキルツリーを初期化できます。"""
SkillTreeResetExplainSG_v#0,"""<c f0df61>“N-追加スキルツリー振り替え”を使用、またはＳＧで購入して、スキルツリーを初期化できます。<c>"""
SkillTreeReset2Explain#0,"""<c f0df60>選択したツリーを、<yellow>別のクラス用に振り替えることも可能です。<c f0df60>どのクラス用に振り替えるか選択してください。<c>"""
SkillTreeReset2Explain_v#0,"""<c f0df60>選択したツリーを、<yellow>別のクラス用に振り替えることも可能です。<c f0df61>クラスを選択してください。<c>"""
ClassCounterExplain#0,"""<c f0df60>クラスを変更したり、スキルツリーでクラススキルを習得したりできます。<c>"""
SkillTreeAddNum#0,"""Skill Trees that can be added"""
Check#0,"""Confirm"""
SkillTreeInfoTitle#0,"""Skill Tree Information"""
SkillTreeTotal#0,"""No. of Extra Skill Trees"""
TreeListCaption#0,"""Tree ($(0))"""
TreeListPoint#0,"""SP Remaining"""
MoreDetails#0,"""<pict Sign_SELECT>Details"""
MySetExplain#0,"""<c f0df60>マイセットを保存したり、適用することができます。<c>"""
MySetExplain2button#0,"""<c f0df60>マイセットを保存したり、適用することができます。<c><red>※現在の操作タイプは2ボタンタイプです。<c>"""
MySetExplain3button#0,"""<c f0df60>マイセットを保存したり、適用することができます。<c><red>※現在の操作タイプは3ボタンタイプです。<c>"""
ManualSkillTreeGet#0,"""自分で振り分ける"""
AutoSkillTreeGet#0,"""オススメ設定"""
AutoSkillTreeAsk#0,"""自動的にスキルポイントを振り直します。<br>よろしいですか？<br><yellow>※習得済みスキルも含め<br>\u3000スキルツリーが上書きされます。<c>"""
AutoSkillTreeList#0,"""オススメ設定された以下のスキルを上書きします。<br>よろしいですか？<br><br><red>※任意で振り直したい場合は<br>全スキルツリー初期化パスが必要になります。<c>"""
AutoSkillTreeListVita#0,"""オススメ設定された以下のスキルを上書きします。<br>よろしいですか？<br><red>※任意で振り直したい場合は<br>全スキルツリー初期化パスが必要になります。<c>"""
AutoSkillTreeSuccess#0,"""オススメスキルを上書きしました。"""
AutoSkillTreeFailed#0,"""オススメスキルの上書きに失敗しました。"""
Title#2,"""Class Details"""
Experience#0,"""Experience Point(s)"""
NextExperience#0,"""To Next Lv."""
EquipableWeapon#0,"""Equippable Weapons"""
Blank#0,"""―"""
Together_EXP#0,"""連動経験値"""
Together_EXP_Max#0,"""連動経験値上限"""
ClassLevel#1,"""Lv.(MAX)"""
Title#3,"""Class Skill Details"""
NoSelectMessage#0,"""クラススキルが選択されていません"""
MaxLevel#0,"""MAXLv."""
Percent#0,"""$(0)％"""
Second#0,"""$(0) sec"""
Piece#0,"""$(0) pc(s)"""
Shot#0,"""$(0) shot(s)"""
Plus#0,"""+$(0)"""
Minus#0,"""-$(0)"""
Times#0,"""$(0) times"""
Blank#1,"""―"""
LevelZero#0,"""Not Learned"""
MaxLevelValue#0,"""($(0))"""
Decimal#0,"""$(1).$(0)"""
Prev#0,"""Prev."""
Next#0,"""Next"""
PartyInfoReb_001#0,"""Due to members of your Party not present, you have become the Subleader."""
PartyInfoReb_002#0,"""You are no longer the Subleader due to a change in Party composition."""
PartyInfoReb_003#0,"""$(0) was removed from Party."""
PartyInfoReb_004#0,"""$(0) has become Subleader."""
PartyInfoReb_005#0,"""$(0) has become Leader."""
EnterConfirmMessage#0,"""You cannot chat while in the Beauty Salon.<br>※Any chat you receive will remain in the Log Window.<br><br>Also, you will not receive any Party-related or Quest-related notifications, and you will be ineligible for Quest matchmaking.<br><br><yellow>You will not be able to change into costumes from your Character Storage if your Item Pack doesn't have enough space to hold them.<c><br><br>Do you want to enter the Beauty Salon?<br><br><red>※Paid features of the Salon show the SG symbol, but you can also use Salon Passes purchased with AC.<c>"""
EnterConfirmMessage2#0,"""You cannot chat while in the Beauty Salon.<br>※Any chat you receive will remain in the Log Window.<br><br>Also, you will not receive any Party-related or Quest-related notifications, and you will be ineligible for Quest matchmaking.<br><br><yellow>You will not be able to change into costumes from your Character Storage if your Item Pack doesn't have enough space to hold them.<c><br><br>Do you want to enter the Beauty Salon?<br><br>Salon Pass\u3000\u3000\u3000\u3000Re-edit Time: $(0)"""
EnterConfirmMessage3#0,"""You cannot chat while in the Beauty Salon.<br>※Any chat you receive will remain in the Log Window.<br><br>Also, you will not receive any Party-related or Quest-related notifications, and you will be ineligible for Quest matchmaking.<br><br><yellow>You will not be able to change into costumes from your Character Storage if your Item Pack doesn't have enough space to hold them.<c><br><br>Do you want to enter the Beauty Salon?<br><br>Color Change Pass\u3000\u3000Re-edit Items: $(0)<br>\u3000\u3000\u3000\u3000\u3000\u3000Minimum Time: $(1)<br>\u3000\u3000\u3000\u3000\u3000\u3000$(2)"""
EnterConfirmMessage4#0,"""You cannot chat while in the Beauty Salon.<br>※Any chat you receive will remain in the Log Window.<br><br>Also, you will not receive any Party-related or Quest-related notifications, and you will be ineligible for Quest matchmaking.<br><br><yellow>You will not be able to change into costumes from your Character Storage if your Item Pack doesn't have enough space to hold them.<c><br><br>Do you want to enter the Beauty Salon?<br><br>Salon Pass	\u3000	Re-edit Time\u3000：$(0)<br>Color Change Pass\u3000Re-edit Items\u3000：$(1)<br>\u3000\u3000\u3000\u3000\u3000Minimum Time\u3000：$(2)<br>\u3000\u3000\u3000\u3000\u3000$(3)"""
EnterConfirmMessage5#0,"""You cannot chat while in the Beauty Salon.<br>※Any chat you receive will remain in the Log Window.<br><br>Also, you will not receive any Party-related or Quest-related notifications, and you will be ineligible for Quest matchmaking.<br><br><yellow>You will not be able to change into costumes from your Character Storage if your Item Pack doesn't have enough space to hold them.<c><br><br>Do you want to enter the Beauty Salon?<br><br>Character creation re-edit period: $(0)"""
EnterConfirmMessage6#0,"""You cannot chat while in the Beauty Salon.<br>※Any chat you receive will remain in the Log Window.<br><br>Also, you will not receive any Party-related or Quest-related notifications, and you will be ineligible for Quest matchmaking.<br><br><yellow>You will not be able to change into costumes from your Character Storage if your Item Pack doesn't have enough space to hold them.<c><br><br>Do you want to enter the Beauty Salon?<br><br>Character creation re-edit period: $(0)<br><br>Color Change Pass re-editable items: $(1)<br>\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000Time remaining: $(2)<br>\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000$(3)"""
FightingPower#0,"""Power Level"""
AttackPower#0,"""Attack Power"""
DefencePower#0,"""Defense Power"""
Label_WeaponRise#0,"""Weapon Upgrades"""
Labal_Resist_Condition#0,"""Status Resists"""
ValueZeroPercent#0,"""+0%"""
Param_ComparePlus_Percent#0,"""<light_orange2>＋$(0)％<c>"""
Param_CompareMinus_Percent#0,"""<vivid_cyan2>－$(0)％<c>"""
LeaderMenuLabel06#0,"""パーティーメンバー集合"""
PartyMenuText06#0,"""$(0)から、集合の要請がありました。<br>$(1)秒以内に<yellow>“はい”<c>を選ぶと、自動的に以下の場所に移動します。要請を承諾しますか？<br>転送予定エリア：$(2)"""
PartyConfigLabel25#0,"""<pict icon_voice_chat> Voice Chat Recommended"""
PartyConfigLabel26#0,"""Party Settings"""
PartyConfigLabel27#0,"""Current Settings"""
Block_help_ClassicBlock#0,"""Go back to the PSO2 Blocks."""
Block_help_Beginner#0,"""ビギナーの方が楽しむためのブロックです。<br>手助けしてくれるベテランプレイヤーも大歓迎！<br>※マッチングはビギナーブロック限定で行なわれます。"""
Block_help_Normal#0,"""$(0)リージョンで冒険をしたい方どうしが<br>集まるためのブロックです。<br>※マッチングは同一リージョンのブロック間で行なわれます。"""
Block_help_Stream#0,"""$(0)リージョンで撮影・配信を行う場合に利用を推奨。<br>プレイ中のキャラクターがメディアで公開される場合があります。<br>※マッチングは撮影推奨ブロック限定で行なわれます。"""
Block_help_PF_CloudPC#0,"""【“クラウド”＆“PC”共用】"""
Block_help_PF_CloudOnly#0,"""【“クラウド”専用】"""
Window_Titletelop_Loginbonus#0,"""Login Bonus"""
Window_Title_LoginbonusInfo#0,"""Login Bonus Info"""
Label_DeliveryPeriod#0,"""Distribution Period"""
Label_Progress#0,"""Progress"""
Content_DeliveryPeriod#0,"""From $(1) to $(0)"""
Content_Progress#0,"""$(1)/$(0)"""
Mes_Loginbonus#0,"""Here's a description of the Login Bonus."""
ItemDetail_Title#0,"""Item Info"""
LoginBonusTabName_Normal#0,"""通常$(0)"""
LoginBonusTabName_Limited#0,"""期間限定$(0)"""
LoginBonusTabName_Beginner#0,"""初心者$(0)"""
LoginBonusTabName_Comeback#0,"""復帰者$(0)"""
LoginBonusTabName_Inherit#0,"""引き継ぎ$(0)"""
AutoWordTypeTrialStart#0,"""Trial Start"""
AutoWordTypeTrialSuccess#0,"""Trial Completed"""
AutoWordTypeTrialFailure#0,"""Trial Failed"""
AutoWordTypeFastTravelStart#0,"""Starting Fast Travel"""
AutoWordTypeFastTravelEnd#0,"""Fast Travel Completed"""
AutoWordTypePhotonDash#0,"""Photon Dash"""
AutoWordTypePhotonDashAttack#0,"""Dash Attack"""
AutoWordTypePhotonGlide#0,"""Photon Glide"""
AutoWordTypeGlideAttack#0,"""Glide Attack"""
AutoWordTypeWeaponAction#0,"""Weapon Action"""
AutoWordTypeGetGathering#0,"""Gathering"""
PlBadCond:Burn#0,"""Burn"""
PlBadCond:Freeze#0,"""Freeze"""
PlBadCond:Shock#0,"""Shock"""
PlBadCond:Mirage#0,"""Mirage"""
PlBadCond:Panic#0,"""Panic"""
PlBadCond:Poison#0,"""Poison"""
PlBadCond:Stun#0,"""Stun"""
PlBadCond:Injury#0,"""Injury"""
