01_MainLobby_001#0,"""在使用「VIP服務」的期間，委託最多可以同時接受40件。"""
Dead_DpBird_003#0,"""黑暗法爾斯・盧瑟胸口的核心通常是被防護罩保護著的。<br>破壞了上手臂的話防護罩會解除一段時間，便可以攻擊核心。"""
Dead_DpBird_004#0,"""黑暗法爾斯・盧瑟的時間停止攻擊可以透過連續按下移動鍵來解除。<br>趕緊將飄浮著的劍破壞，並避開致命攻擊吧。"""
Dead_DpBird_005#0,"""處於憤怒状態的黑暗法爾斯・盧瑟的攻擊雖然會被強化，但毎當破壞了胸部的寶石，便能弱化各種攻擊。"""
Dead_FishBigBeastA_001#0,"""黑暗力士的弱點<br>是雙肩的紅色核心。"""
Dead_FishBigBeastA_002#0,"""黑暗力士的踩踏攻擊有震撼效果。<br>高舉單脚離開那個地方進行閃避吧。"""
Dead_FishBigBeastA_003#0,"""黑暗力士的連續掌撃有很高的追蹤性能。<br>朝著右前方進行閃避動作就可以迴避。"""
Dead_FishBigBeastA_004#0,"""生氣的黑暗力士會連續進行用頭撞撃和踩踏。<br>頭撞撃時因為追蹤性能會提升要專心閃避。"""
Dead_AlligatorSnapperA_001#0,"""破壞黑暗巨龜的脚，動作就會變得踉蹌。<br>這時再進行攻擊，就可以讓他反轉。"""
Dead_AlligatorSnapperA_002#0,"""黑暗巨龜在回轉進行砲撃後，有時會伸出頭。<br>此時給予一定的破壞就可以讓他反轉。"""
Dead_AlligatorSnapperA_003#0,"""反轉的黑暗巨龜是可以騎乘的。"""
Dead_AlligatorSnapperA_004#0,"""砲撃後，如果黑暗巨龜的尾巴伸出來，<br>會從尾巴的相反方向伸出頭。"""
Dead_DpHuman_001#0,"""法爾斯・黒曜暴躯使用地面的衝撃攻擊，<br>可以透過左右來回繞著移動來閃避。"""
Dead_DpHuman_002#0,"""法爾斯・黒曜暴躯會將巨大的氣纏繞在劍上進行攻擊。<br>配合劍的震動來做閃避動作。"""
Dead_DpHuman_003#0,"""法爾斯・黒曜暴躯的飛踢攻擊速度很快。<br>透過朝向前方的迴避動作可以閃避。"""
Dead_DpHuman_004#0,"""法爾斯・黒曜暴躯的劍是可以破壞的。"""
Dead_DpHumanUniq_001#0,"""如果有故事專用的TIPS，會寫上後再更新lua資料"""
Dead_DpHumanUniq_002#0,"""如果有故事專用的TIPS，會寫上後再更新lua資料"""
Dead_DpHumanUniq_003#0,"""如果有故事專用的TIPS，會寫上後再更新lua資料"""
Dead_DpHumanUniq_004#0,"""如果有故事專用的TIPS，會寫上後再更新lua資料"""
Dead_DpFishArm_001#0,"""法爾斯之腕的部分可以破壞各個指尖。<br>如果全破壞的話，就會有一定時間停在地面。"""
Dead_DpFishArm_002#0,"""和法爾斯之腕戰鬥時，要了解其他手臂的位置。"""
Dead_DpFishArm_003#0,"""和法爾斯之腕戰鬥中時，遠方的黑暗法爾斯・愛爾達<br>會進行雷射攻擊。"""
Dead_DpFishArm_004#0,"""麻痺状態對法爾斯之腕是有效的。<br>只要讓它麻痺，就可以停止他一定時間的動作。"""
Dead_DpFishArmEx_001#0,"""如果有稀有專用的TIPS，會寫上後再更新lua資料"""
Dead_DpFishArmEx_002#0,"""如果有稀有專用的TIPS，會寫上後再更新lua資料"""
Dead_DpFishArmEx_003#0,"""如果有稀有專用的TIPS，會寫上後再更新lua資料"""
Dead_DpFishArmEx_004#0,"""如果有稀有專用的TIPS，會寫上後再更新lua資料"""
Dead_DpFishElder_001#0,"""除了黑暗法爾斯・愛爾達的手腕最下方的部分外，<br>都可以破壞。"""
Dead_DpFishElder_002#0,"""黑暗法爾斯・愛爾達的眼睛進行的雷射攻擊部分，<br>可以待在區域的四個角落來閃避。"""
Dead_DpFishElder_003#0,"""黑暗法爾斯・愛爾達的攻擊部分，<br>因為會被吸到中央去，要專心閃避。"""
Dead_DpFishElder_004#0,"""麻痺状態對黑暗法爾斯・愛爾達是有效的。<br>只要讓它麻痺，全部的手腕就會一定時間在地面。"""
Dead_DpFishElderEx_001#0,"""如果有稀有專用的TIPS，會寫上後再更新lua資料"""
Dead_DpFishElderEx_002#0,"""如果有稀有專用的TIPS，會寫上後再更新lua資料"""
Dead_DpFishElderEx_003#0,"""如果有稀有專用的TIPS，會寫上後再更新lua資料"""
Dead_DpFishElderEx_004#0,"""如果有稀有專用的TIPS，會寫上後再更新lua資料"""
Dead_UltMachineLittleBoss_001#0,"""當你破壊膝蓋部分的機槍後，會破壊巨型機甲・澤塔・古蘭佐的平衡、<br>讓他一段時間跪下。積極的瞄準膝蓋部分攻擊吧。"""
Dead_UltMachineLittleBoss_002#0,"""當巨型機甲・澤塔・古蘭佐膝蓋上的兩把機槍破壊後，<br>保護腰部的護甲會脫落，弱點部位將會暴露出來。"""
Dead_UltMachineLittleBoss_003#0,"""巨型機甲・澤塔・古蘭佐會從４個盾型装甲中発射出許多導彈。<br>破壊導彈吊艙來減少発射的導彈數量吧。"""
Dead_UltMachineLittleBoss_004#0,"""「燒傷」對巨型機甲・澤塔・古蘭佐有効。<br>可以停止他移動一定時間動並中断其攻擊。"""
Dead_UltMechaPanthBlade_001#0,"""當破壊機動特化・狂牙雄獅的脚部後<br>被破壊的脚部搔抓攻擊範囲會變狭小。"""
Dead_UltMechaPanthBlade_002#0,"""當破壊機動特化・狂牙雄獅的両翼後<br>突進攻擊的最後會発生翻倒、將產生空隙。"""
Dead_UltMechaPanthBlade_003#0,"""當破壊機動特化・狂牙雄獅的頭部後<br>在頭部的弱点部位會露出。"""
Dead_UltMechaPanthBlade_004#0,"""「燒傷」對機動特化・狂牙雄獅是有効的。<br>可以停止他移動一定時間動並中断其攻擊。"""
Dead_UltMechaPanthBuster_001#0,"""當破壊制壓特化・武裝獵豹的脚部後<br>破壊的脚部將不會発射導彈。"""
Dead_UltMechaPanthBuster_002#0,"""當破制壓特化・武裝獵豹的機翼後<br>導弾與炸弾將不再從破壊的機翼射出。"""
Dead_UltMechaPanthBuster_003#0,"""當破壊制壓特化・武裝獵豹的頭部後<br>頭部弱点部位將會露出。"""
Dead_UltMechaPanthBuster_004#0,"""「燒傷」對制壓特化・武裝獵豹是有効的。<br>可以停止移動一定時間動並中断其攻擊。"""
Dead_GG_001#0,"""當風雷獅鷲・加魯飛行在空中的期間、將其翅膀部位破壊<br>他會平衡崩壞落下地面、將很大的産生空隙。"""
Dead_GG_002#0,"""當風雷獅鷲・加魯的両翼被破壊後、在天空中飛行的能力會減退<br>其飛上天空的高度會降低下。"""
Dead_GG_003#0,"""風雷獅鷲・加魯的蹄可以被破壊。<br>如果他腳下的４個蹄全部破壊、其會下降一段時間。"""
Dead_GG_004#0,"""「麻痺」對風雷獅鷲・加魯有効。<br>身體被麻痺後、可停止一段時間的動作。"""
Dead_DK_001#0,"""「麻痺」對奧丁有効。<br>身體被麻痺後、可停止移動一段時間。"""
Dead_DK_002#0,"""奧丁產生傷害的領域<br>將刺在地面的「永恆之槍」破壊後領域將會消失。"""
Dead_DK_003#0,"""奧丁所進行的攻擊中，在地面會出現有予兆。<br>為了不進入予兆的範囲，讓我們巧妙地回避攻擊吧。"""
Dead_DK_004#0,"""當奧丁將剣高高地舉向空中時、這是斬鉄剣発動的意向。<br>嘗試全力攻擊、在其発動予以撃破。"""
Dead_Wop3Sleigh_001#0,"""瘋狂飛人・推進海馬的武器被破壞後、進行一定的攻擊會倒地。<br>瞄準時攻擊頭部弱點。"""
Dead_Wop3Sleigh_002#0,"""瘋狂飛人・推進海馬那像雪橇的前脚可以被破壊。<br>破壊後會降低移動速度和旋廻速度、這時在積極攻擊他。"""
Dead_Wop3Sleigh_003#0,"""瘋狂飛人・推進海馬可以破壊発射砲弾的後腿。<br>破壊後、発射砲弾的數量會減少。"""
Dead_Wop3Sleigh_004#0,"""ネプト・キャサドーラには「フリーズ」が有効だ。<br>体が凍りつき、一定時間動きを止めることができる。 """
Dead_Wop3Wany_001#0,"""如果你破壊了兩栖咽食者的前脚指甲，它會在特定的攻擊後崩壞平衡。<br>空隙隨之產生，並積極地破壊吧。"""
Dead_Wop3Wany_002#0,"""在兩栖咽食者腹部有弱点。<br>攻擊腹部容易使其撃倒。"""
Dead_Wop3Wany_003#0,"""在体色發生変化時，「燒傷」對兩栖咽食者是有効的。<br>体色恢復原狀時，解除其強化状態。"""
Dead_Wop3Wany_004#0,"""如果触摸到兩栖咽食者所射出的液體，就會受到傷害。<br>有時會被付与「混乱」，所以不要太靠近。"""
Dead_MarineOarfishII_001#0,"""大炮對海龍・羅德斯有効。<br>對其口射中一定数量的砲弾後就會被撃倒。"""
Dead_MarineOarfishII_002#0,"""當海龍・羅德斯嘴閉起來時，只要進行部位破壊嘴就會稍微張開。<br>瞄準嘴巴張開的瞬間，向口中射撃大炮的砲弾。"""
Dead_MarineOarfishII_003#0,"""如果海龍・羅德斯在戦闘中出現咆哮的話，就是將要進行連続吐息攻擊的信號。<br>用雷達地圖確認位置並左右迴避吧。"""
Dead_MarineOarfishII_004#0,"""バル・ロドスの顔や尻尾は、乗り上げたタイミングで上に乗ることができる。<br>ジャンプして飛び乗り、部位を破壊しよう。 """
Dead_Mono1Roller_001#0,"""如果破壊輪入道の腕的念珠、<br>突可以縮短突進時発生的火焰長度。"""
Dead_Mono1Roller_002#0,"""在輪入道發火之前，「擊飛陷阱」對其有效。<br>命中後會倒地一定段時間，將會產生很大的空隙。"""
Dead_Mono1Roller_003#0,"""無法對輪入道的車輪造成大傷害。<br>從側面攻擊頭部吧。"""
Dead_Mono1Roller_004#0,"""如果持續對入道的頭部造成傷害，<br>會発生一段時間的倒地。積極的攻擊頭部吧。"""
Dead_Mono1YoroiA_001#0,"""疑懼者・冰華鬼王在放出強烈的氷攻撃後，會有一段時間內無法動彈。<br>以因攻擊而発生的冰為立足點，瞄準頭部進行攻擊吧。"""
Dead_Mono1YoroiA_002#0,"""「燒傷」對疑懼者・冰華鬼王的閃耀紫色光輝的結晶是有効的。<br>結晶變成燃燒的状態後，會造成巨大的傷害。"""
Dead_Mono1YoroiA_003#0,"""一旦破壊了腳的装甲，疑懼者・冰華鬼王就會跪下。<br>就在這期間瞄準頭部或腹部結晶等通常難以攻擊的地方吧。"""
Dead_Mono1YoroiA_004#0,"""ギグル・グンネガムの周囲の氷塊は、紫に輝く結晶によって生成される。<br>2つの結晶を破壊すると、氷塊は生成されなくなる。 """
Dead_Mono1YoroiA_005#0,"""如果破壊疑懼者・冰華鬼王的頭盔，頭上會出現第2個結晶<br>兩個結晶都破壊的話，可以使頭部的屏障始終無効化。"""
Dead_Mono0GreatEvilA_001#0,"""如果破壊禍津之神的膝蓋臉，他將會跪下一段時間。<br>因為可以停止其前進，所以積極的攻擊吧。"""
Dead_Mono0GreatEvilA_002#0,"""禍津之神的手臂與肩上發光的臉都可以被破壊。<br>臉部被破壊後就不會発生攻擊了。"""
Dead_Mono0GreatEvilA_003#0,"""如果破壊禍津之神的頭、腹、雙肩等巨大的面，這些面將會張開並生成立足點。<br>面的内側是弱点、站上立足點攻擊吧。"""
Dead_Mono0GreatEvilA_004#0,"""當巨型光束聚集在禍津之神頭部時，這是巨型光束攻擊的前兆。<br>因為在頭部和腹部的立足點上會受到傷害，所以從立足點下來迴避吧。"""
Dead_Mono2Xcutioner_001#0,"""魂斷女郎的腹部的鏡子可以被破壊。<br>破壊鏡子後，變成可以隨時瞄準弱点的状態。"""
Dead_Mono2Xcutioner_002#0,"""破壊魂斷女郎的２條尾巴<br>能減少發射過來的能量弾的数量。"""
Dead_Mono2Xcutioner_003#0,"""受到魂斷女郎的特殊鎌刀攻擊，將會陷入無法戦闘。<br>在靈魂被完全吸收之前，攻擊臀部以釋放靈魂吧。"""
Dead_Mono2Xcutioner_004#0,"""「中毒」對魂斷女郎是有効的。<br>當中毒後、可停止他一段時間的動作。"""
Dead_UltBigBeastA_001#0,"""憤怒狀態的霸道碎岩熊可以連続進行旋転衝壓攻擊。<br>躲避一次攻擊之後，先看清動作再進行攻擊吧。"""
Dead_UltBigBeastA_002#0,"""霸道碎岩熊的臉是弱点。在踢撃之後、<br>趁着動作間的空隙進行攻擊吧。"""
Dead_UltBigBeastA_003#0,"""憤怒狀態的霸道碎岩熊，有時在空中旋転後立即進行突進攻擊。<br>以非常快的速度使用迴避動作迴避吧。"""
Dead_UltBigBeastA_004#0,"""「凍結」對霸道碎岩熊是有効的。<br>可以停止他移動一定時間動並中断其攻擊。"""
Dead_UltMammothA_001#0,"""如果破壊了炎壊猛瑪象頭部的2個腫包、<br>會削弱一部分的火焰攻擊。"""
Dead_UltMammothA_002#0,"""雖然炎壊猛瑪象的背部腫包也是弱点<br>但被破壊的話會進行強有力的火焰攻擊，所以要注意。"""
Dead_UltMammothA_003#0,"""「凍結」對炎壊猛瑪象是有効的。<br>可以停止他移動一段時間動並中断其攻擊。"""
Dead_UltDragonMagma_001#0,"""破壊帝凰燎原獸的尾巴就會露出弱点。"""
Dead_UltDragonMagma_002#0,"""帝凰燎原獸的頭角是弱点。<br>注意手吐息攻擊與使用角的上突攻擊。"""
Dead_UltDragonMagma_003#0,"""「凍結」對帝凰燎原獸的脚是有効的。<br>可以停止他移動一定時間動並中断其攻擊。"""
Dead_UltDragonMagma_004#0,"""帝凰燎原獸可以從空中突進，着地的同時進行旋転攻擊。<br>移動時的迴避很難，所以在他着地的同時使用迴避動作吧。"""
Dead_WakerSymbolA_001#0,"""滅壊幻精獸・歪精的6個飛行在空中的部位是可以破壊的。<br>如果破壊了所有的部位，就會発生倒地，弱点核心會露出來。"""
Dead_WakerSymbolA_002#0,"""「混乱」對滅壊幻精獸・歪精是有効的。<br>會發生一段時間的倒地，這時集中攻擊吧。"""
Dead_Beetle_001#0,"""在黑暗兜蟲・畢布羅斯的羽毛下有一個弱点。<br>羽毛被破壊後、弱点才會變成保持可被瞄準的状態。"""
Dead_Beetle_002#0,"""當黑暗兜蟲・畢布羅斯的脚受到不斷的傷害時<br>他可能會下降一段時間。積極瞄準他的脚下吧。"""
Dead_Beetle_003#0,"""「混乱」對黑暗兜蟲・畢布羅斯有効。<br>混乱發生時、可停止他一段時間的動作。"""
Dead_Beetle_004#0,"""當黑暗兜蟲・畢布羅斯的被破壊時<br>可以減少其能量弾的威力。 """
Dead_DpInsect_001#0,"""「燒傷」對DF若人・幼體有効。<br>燒傷状態時會露出弱点並呈現恐懼，就可停止他一段時間的動作。"""
Dead_DpInsect_002#0,"""如果DF若人・幼體在地面突刺２個觸手時<br>這是要以瘴気攻擊的意圖。注意不要接触到地面吹出的瘴気。"""
Dead_DpInsect_003#0,"""當DF若人・幼體発射巨大的光束攻擊、<br>將発射部位破壊可以使攻擊中断、可以產生很大空隙。"""
Dead_DpInsect_004#0,"""DF若人・幼體龐大的身體起來時、這是衝撃波攻擊的意圖。<br>注意広闊的攻擊範囲吧。"""
Dead_Char01_Maskman_001#0,"""赤いオーラをまとう前の【仮面】は、攻撃をジャストガードされると体勢を崩す。<br>体勢を立て直す隙を狙って攻撃しよう。"""
Dead_Char01_MaskmanDS_001#0,"""赤いオーラをまとう前の【仮面】は、攻撃をジャストガードされると体勢を崩す。<br>体勢を立て直す隙を狙って攻撃しよう。"""
Dead_Char01_MaskmanDS_002#0,"""【仮面】はダブルセイバーを高速回転させてガードを行う。<br>正面から攻撃を行うと反撃されるので、背後から攻撃しよう。"""
Dead_Char15_AOld_001#0,"""赤いオーラをまとう前の【若人】複製体は、攻撃をジャストガードされると<br>攻撃を中断する。体勢を立て直す隙を狙って攻撃しよう。"""
Dead_Char15_AOld_002#0,"""【若人】複製体には「バーン」が有効だ。一定時間ダウンし、大きな隙が生まれる。<br>ただし、ダウン後は強力な反撃を行うので注意しよう。"""
Dead_ToyBlock_001#0,"""コドッタ・イーデッタの本体は巨大な外装の中に隠れている。<br>４箇所の関節を破壊して外装を崩し、本体を攻撃しよう。"""
Dead_ToyBlock_002#0,"""コドッタ・イーデッタが足を展開したら急上昇攻撃の合図だ。<br>攻撃範囲が広いので、距離をとって回避しよう。"""
Dead_ToyBlock_003#0,"""コドッタ・イーデッタは空中で高速回転した後、落下攻撃を行う。<br>回りこむように移動して攻撃を回避しよう。"""
Dead_ToyBlock_004#0,"""コドッタ・イーデッタには「フリーズ」が有効だ。<br>体が凍りつき、一定時間動きを止めることができる。"""
Dead_ToyDpHumanM_001#0,"""ファルス・ダランの右腕を破壊することで<br>ダーカーコアが露出し、ダメージを与えやすくなる。"""
Dead_ToyDpHumanM_002#0,"""ファルス・ダリルの左腕を破壊することで<br>ダーカーコアが露出し、ダメージを与えやすくなる。"""
Dead_ToyDpHumanM_003#0,"""露出したダーカーコアにダメージを与え続けることで<br>リアクションが発生するので露出後も積極的に狙おう。"""
Dead_ToyDpHumanM_004#0,"""２体戦闘時に破壊した部位は融合後へも引き継がれる。<br>先に部位破壊を行い、融合後の戦闘を有利に進められるよう備えよう。"""
Dead_ToyDpHumanF_001#0,"""ファルス・ダランの右腕を破壊することで<br>ダーカーコアが露出し、ダメージを与えやすくなる。"""
Dead_ToyDpHumanF_002#0,"""ファルス・ダリルの左腕を破壊することで<br>ダーカーコアが露出し、ダメージを与えやすくなる。"""
Dead_ToyDpHumanF_003#0,"""露出したダーカーコアにダメージを与え続けることで<br>リアクションが発生するので露出後も積極的に狙おう。"""
Dead_ToyDpHumanF_004#0,"""２体戦闘時に破壊した部位は融合後へも引き継がれる。<br>先に部位破壊を行い、融合後の戦闘を有利に進められるよう備えよう。"""
Dead_DpAbyssHuman_001#0,"""ディーオ・ヒューナルが纏っているバリアは、ダメージを軽減してしまうが<br>左右の大きな腕についているコアを破壊することで、バリアを無力化できる。"""
Dead_DpAbyssHuman_002#0,"""ディーオ・ヒューナルが巨大な右腕を構え、ブレードを展開した時は<br>強力な連続攻撃の合図だ。間合いの中に入らないように注意しよう。"""
Dead_DpAbyssHuman_003#0,"""ディーオ・ヒューナルが巨大な左腕を構え、ランチャーを展開した時は<br>射程の長いビーム攻撃の合図だ。左右に移動して回避しよう。"""
Dead_DpAbyssHuman_004#0,"""ディーオ・ヒューナルが急上昇した時は、吸い込み攻撃の合図。<br>吸い込んでいる最中の追撃にも注意しよう。"""
Dead_DpAbyssHumanUniq_001#0,"""ヴィエル・ヒューナルが纏っているバリアは、ダメージを軽減してしまうが<br>左右の大きな腕についているコアを破壊することで、バリアを無力化できる。"""
Dead_DpAbyssHumanUniq_002#0,"""ヴィエル・ヒューナルが巨大な右腕を構え、ブレードを展開した時は<br>強力な連続攻撃の合図だ。間合いの中に入らないように注意しよう。"""
Dead_DpAbyssHumanUniq_003#0,"""ヴィエル・ヒューナルが巨大な左腕を構え、ランチャーを展開した時は<br>射程の長いビーム攻撃の合図だ。左右に移動して回避しよう。"""
Dead_DpAbyssHumanUniq_004#0,"""ヴィエル・ヒューナルが急上昇した時は、吸い込み攻撃の合図。<br>吸い込んでいる最中の追撃にも注意しよう。"""
Dead_Char17_Ma_001#0,"""マトイ・ヴィエルは弾速の速い法撃と<br>追尾性の高い法撃を連続で放つ。性能を見極めて回避しよう。"""
Dead_Char17_Ma_002#0,"""マトイ・ヴィエルは一定数の攻撃を行うと力を溜め動きを止める。<br>この隙を狙って集中的に攻撃しよう。"""
Dead_Char17_Ma_003#0,"""マトイ・ヴィエルの周囲レーザー攻撃は強力だが<br>ジャンプして回避する事が可能だ。"""
Dead_Char17_Ma_004#0,"""マトイ・ヴィエルはワープによって間合いを調節する。<br>背後に回りこまれぬように注意しよう。"""
Dead_DpToy_001#0,"""ダークファルス・ダブルの中央塔の周囲にある6つの塔から飛び出した<br>部位2箇所のうち1箇所を破壊したら再生する前に2箇所同時に破壊しよう。"""
Dead_DpToy_002#0,"""ダークファルス・ダブルの位置や塔の配置によって<br>攻撃パターンが決まっているので見極めよう。"""
Dead_DpToy_003#0,"""ロックオン可能部位に状態異常「パニック」を与えると確率で<br>ダークファルス・ダブルがダウンし、一定時間動かなくなる。"""
Dead_DpToy_004#0,"""迫りくる壁の攻撃は門が開いた部分を通ることで<br>スムーズに回避することができる。"""
Dead_DpToyEx_001#0,"""ダークファルス・ダブルの中央塔の周囲にある6つの塔から飛び出した<br>部位2箇所のうち1箇所を破壊したら再生する前に2箇所同時に破壊しよう。"""
Dead_DpToyEx_002#0,"""ダークファルス・ダブルの位置や塔の配置によって<br>攻撃パターンが決まっているので見極めよう。"""
Dead_DpToyEx_003#0,"""ロックオン可能部位に状態異常「パニック」を与えると確率で<br>ダークファルス・ダブルがダウンし、一定時間動かなくなる。"""
Dead_DpToyEx_004#0,"""迫りくる壁と回転する壁の攻撃は<br>どちらも門の開いた部分を通ることでスムーズに回避することができる。"""
Dead_DpAbyss_001#0,"""【深遠なる闇】の攻撃部位には「パニック」が有効だ。<br>パニック状態にすることで、攻撃部位を怯ませることができる。"""
Dead_DpAbyss_002#0,"""【深遠なる闇】の攻撃部位を複数箇所破壊すると<br>蕾の中の弱点を露出させることができる。"""
Dead_DpAbyss_003#0,"""【深遠なる闇】は、腕や頭が弱点となっている。<br>露出した際には、隙をみて積極的に攻撃を仕掛けよう。"""
Dead_DpAbyss_004#0,"""【深遠なる闇】は、射出するビットを全て破壊することで<br>一定時間、怯ませることができる。"""
Dead_DpAbyssEx_001#0,"""【深遠なる闇】は、攻撃部位を複数箇所破壊することでビットを射出する。<br>ビットを全て破壊すると、蕾の中の弱点を露出させることができる。"""
Dead_DpAbyssEx_002#0,"""【深遠なる闇】が大技を発動する瞬間、何者かの行動により<br>大技を阻止することができる。"""
Dead_DpAbyssEx_003#0,"""【深遠なる闇】は、目玉のような部位を露出させて攻撃することがある。<br>強力だが、同時に弱点であり、破壊することで怯ませることができる。"""
Dead_DpAbyssEx_004#0,"""【深遠なる闇】は、射出するビットを全て破壊することで<br>一定時間、怯ませることができる。ビット射出時は優先して攻撃しよう。"""
Dead_PhantomTank_001#0,"""１５式戦車が砲塔から兵器を具現化させて行う攻撃の時は<br>正面装甲の弱点が露出し、ダメージを与えやすくなる。"""
Dead_PhantomTank_002#0,"""１５式戦車のミサイルポッドから撒かれた炎に触れるとダメージを受ける。<br>「バーン」が付与されることもあるので、近づかないようにしよう。"""
Dead_PhantomTank_003#0,"""１５式戦車の火炎放射攻撃中に燃料タンクを破壊することで<br>一定時間動きを止めることが出来る。"""
Dead_PhantomTank_004#0,"""１５式戦車には「フリーズ」が有効だ。<br>砲塔が凍りつき、一部の攻撃範囲を制限することができる。"""
Dead_PhantomTrainA_001#0,"""トレイン・ギドランの各頭と尻尾にあるドアを破壊すると<br>具現化攻撃時、攻撃に使用している部位の破壊箇所に弱点が現れる。"""
Dead_PhantomTrainA_002#0,"""トレイン・ギドランに状態異常「ミラージュ」を与えると<br>確率でダウンし、一定時間動かなくなる。"""
Dead_PhantomTrainA_003#0,"""トレイン・ギドランの脚にダメージを蓄積させていくことで<br>一定時間ダウンが発生し、頭のドアが攻撃し易い位置へおりてくる。"""
Dead_PhantomTrainA_004#0,"""トレイン・ギドランの頭と尻尾から繰り出される具現化攻撃には<br>攻撃後に必ず大きな隙があるので、落ち着いて回避した後に攻撃しよう。"""
Dead_PhantomTrack_001#0,"""デビルズトレーラーはコンテナからジャグラーピエロと<br>チェーンソーピエロを召喚する。邪魔される前にピエロを倒そう。"""
Dead_PhantomTrack_002#0,"""デビルズトレーラーのタイヤを破壊すると一定時間動きが止まる。<br>破壊したタイヤの数に応じて止まる時間が長くなるぞ。"""
Dead_PhantomTrack_003#0,"""デビルズトレーラーは具現化するとキャリアカーのような姿となり<br>自動車を射出する。回避してフロント部分の弱点を攻撃しよう。"""
Dead_PhantomTrack_004#0,"""デビルズトレーラーが行う横滑りの突進攻撃は<br>怒り状態になるとコンテナを具現化しながら行い、攻撃範囲が広くなる。"""
Dead_PhantomGoddess_001#0,"""ベガス・イリュージアには「ショック」が有効だ。<br>体を麻痺させて一定時間動きを止めることができるぞ。"""
Dead_PhantomGoddess_002#0,"""ベガス・イリュージアの足を破壊すると<br>一部攻撃にあわせて、破壊箇所から弱点が現れるぞ。"""
Dead_PhantomGoddess_003#0,"""怒り状態のベガス・イリュージアは松明から大量のコインを具現化してくる。<br>攻撃せず、回避に専念しよう。"""
Dead_PhantomGoddess_004#0,"""ベガス・イリュージアが大きくジャンプを行うと門の攻撃の合図だ。<br>落下地点に予兆が出るので、予兆を見て回避しよう。"""
Dead_PhantomLaplace_001#0,"""ラプラスの悪魔がワープを始めたら急接近ひっかきの合図だ。<br>ワープしてきた瞬間をよく見て、回避しよう。"""
Dead_PhantomLaplace_002#0,"""ラプラスの悪魔の連続弾攻撃は、最初に口から吐く光弾に当たると<br>「バインド」が付与される。初弾は確実に回避しよう。"""
Dead_PhantomLaplace_003#0,"""ラプラスの悪魔が展開するバリアは<br>マクスウェルの悪魔を倒した時の爆発を当てると解除ができる。"""
Dead_PhantomLaplace_004#0,"""ラプラスの悪魔が赤い目玉を具現化したらカウンター攻撃の合図だ。<br>前方に展開されるバリアには攻撃せず、回り込んで攻撃をしよう。"""
Dead_Char24_ALT_001#0,"""アラトロン・フェムトはハンマーを力の源としている。<br>ハンマーを破壊することで無敵状態が解除され、ダウンが発生する。"""
Dead_Char24_ALT_002#0,"""アラトロン・フェムトの弱点は胸部にあるコアだ。<br>最初は鎧に守られているが、破壊するとコアが露出する。"""
Dead_Char24_ALT_003#0,"""アラトロン・フェムトが両手でハンマーを大きく振りかぶったら<br>ガード不可能の強力な攻撃の合図だ。滞空して回避しよう。"""
Dead_Char24_ALT_004#0,"""アラトロン・フェムトがハンマーを地面に突き立てている間<br>ハンマーの上空には落雷が発生しない。ハンマーに乗って戦うと安全だ。"""
Dead_DPP2_001#0,"""独立した腕は、それぞれ固有の攻撃を行うが<br>腕を破壊することで攻撃を無力化することが出来る。"""
Dead_DPP2_002#0,"""フィールド内を浮遊している腕を全て破壊することで<br>エスカファルス・マザーを一定時間動けなくし、弱点を露出させることが出来る。"""
Dead_DPP2_003#0,"""エスカファルス・マザーが消えた後に現れる球体に対し、攻撃を行っても<br>ダメージを与えることは出来ない。浮遊している腕を攻撃しよう。"""
Dead_DPP2_004#0,"""エスカファルス・マザーが上空に浮き上がり、エネルギーを集め出したら注意しよう。<br>外から中央に移動する物体を破壊することで危険を回避できる。"""
Dead_PtmBirdStacked_001#0,"""デコル・マリューズの腹部のコアを全て破壊すると頭部から弱点コアが露出する。<br>ダメージを与えやすくなるが、攻撃が強力になるので注意しよう。"""
Dead_PtmBirdStacked_002#0,"""デコル・マリューズが体を上下に開いたら捕縛攻撃の合図。<br>回避できれば大きな隙が生まれるので、回避アクションで左右に避けよう。"""
Dead_PtmBirdStacked_003#0,"""デコル・マリューズの爪を破壊することで、爪を使った攻撃の<br>攻撃範囲を狭くすることができる。"""
Dead_PtmBirdStacked_004#0,"""デコル・マリューズには「ミラージュ」が有効だ。<br>ミラージュがかかると一定時間動きを止めることができる。"""
Dead_PtmSpider_001#0,"""エスカ・ラグナスが発射するカマイタチ攻撃に当たってしまうと<br>「バインド」が付与されるため、確実に避けよう。"""
Dead_PtmSpider_002#0,"""エスカ・ラグナスは１つの脚部を破壊しただけではダウンしない。<br>全ての脚部を破壊することでダウンが発生する。"""
Dead_PtmSpider_003#0,"""エスカ・ラグナスが前足を大きくあげたら蜘蛛の巣を作る合図だ。<br>目の前に蜘蛛の巣が張られてしまうので回りこんで攻撃しよう。"""
Dead_PtmSpider_004#0,"""エスカ・ラグナスの体力が低下すると<br>発射するカマイタチや雷の数が多くなる。"""
Dead_UltDragonTransform_001#0,"""ボクス・ドゥバルスの背部クリスタルを破壊することで<br>口の弱点が露出し、ダメージが与えやすくなる。"""
Dead_UltDragonTransform_002#0,"""ボクス・ドゥバルスが怒り状態になると口からビームを発射する。<br>遠距離にいても当たるので注意しよう。"""
