MySpaceCommonLabel_EditMode#0,"""Edit Mode"""
NoBlueprint#0,"""Blueprints ไม่พร้อมใช้งาน<br><br>มีเพียงเจ้าของพื้นที่เท่านั้นที่สามารถลงทะเบียนและแก้ไข Blueprints ได้"""
DownloadedMessage_Text#0,"""ข้อความ"""
DownloadedMessage#0,"""ดาวน์โหลด Blueprint สำเร็จแล้ว"""
EditFormTitle#0,"""แก้ไข Blueprint"""
DownloadFormTitle#0,"""ดาวน์โหลด Blueprint"""
BlueprintInfo_Edit#0,"""แก้ไขข้อมูล Blueprint"""
SaveButtonText#0,"""บันทึก"""
PublishButtonText#0,"""เผยแพร่"""
DownloadButtonText#0,"""ดาวน์โหลด Blueprint"""
UnpublishGuideText#0,"""Blueprints นี้ถูกเผยแพร่สู่สาธารณะแล้ว<br>คุณต้องยกเลิกการเผยแพร่ก่อนจึงจะทำการเปลี่ยนแปลงใดๆ ได้"""
UnpublishButtonText#0,"""ยกเลิกการเผยแพร่ Blueprint"""
MySpace_Notice_NoReplaceBlueprintEditing#0,"""ไม่สามารถแก้ไขภายในระยะของ Blueprint ได้"""
MySpace_Notice_NoReplaceBlueprintPublic#0,"""ไม่สามารถแก้ไขภายในระยะของ Blueprint ได้"""
MySpace_Notice_NoEditBlueprintEditing#0,"""ไม่สามารถแก้ไขภายในระยะของ Blueprint ได้"""
MySpace_Notice_NoEditBlueprintPublic#0,"""ไม่สามารถแก้ไขภายในระยะของ Blueprint ได้"""
Guide_Brueprint_RangeSet#0,"""เคลื่อนที่: <swguidetype ActionLStick>\u3000\u3000กระโดด: <%Jump>\u3000\u3000ซูมออก: <%Function>\u3000\u3000ซูมเข้า: <%NextWidget>\u3000\u3000สลับการแสดงผลระยะ: <%TabForward>\u3000\u3000เสร็จสิ้นการตั้งค่าระยะ: <%MainMenu>"""
Guide_Brueprint_RangeView#0,"""เคลื่อนที่: <swguidetype ActionLStick>\u3000\u3000กระโดด: <%Jump>\u3000\u3000ซูมออก: <%Function>\u3000\u3000ซูมเข้า: <%NextWidget>\u3000\u3000สลับการแสดงผลระยะ: <%TabForward>\u3000\u3000เสร็จสิ้นการตรวจสอบระยะ: <%MainMenu>"""
Guide_Brueprint_Save#0,"""ตกลง: <%Decide>\u3000\u3000ลบ: <%Exception>\u3000\u3000ยกเลิก: <%Cancel>\u3000\u3000ย้ายออบเจกต์: <%NextWidget>\u3000\u3000เปลี่ยนหน้าต่าง: <%ChangeCtrlWindowForward>"""
MySpaceBlueprintError_InvalidSlotNumber#0,"""ไม่มี Blueprint ที่บันทึกไว้"""
MySpaceBlueprintError_ObjectListEmpty#0,"""เกิดปัญหาขณะโหลด Build Parts"""
MySpaceBlueprintError_BlueprintIsPSOnly#0,"""Blueprint นี้ไม่สามารถใช้งานได้เนื่องจากการตั้งค่า Creative Space ในปัจจุบัน"""
MySpaceBlueprintError_BlueprintIsBan_Title#0,"""ข้อความ"""
MySpaceBlueprintError_BlueprintIsBan#0,"""Blueprint นี้ถูกยกเลิกการใช้งานแล้ว"""
MySpaceBlueprintError_DisableBlueprint_Title#0,"""ข้อความ"""
MySpaceBlueprintError_DisableBlueprint#0,"""Blueprint นี้ถูกยกเลิกการใช้งานแล้ว<br>ต้องการลบหรือไม่?"""
MySpaceBlueprintError_ErrorOther#0,"""พบปัญหาขณะใช้งาน Blueprint นี้"""
MySpaceBlueprintError_PartsNumberOver#0,"""การติดตั้งสิ่งนี้จะทำให้เกินขีดจำกัด Parts ของคุณ"""
MagMenuTitle#0,"""Team Mag"""
MagMenu_Item_Boost#0,"""รับ Team Mag Boost<pict 4space><pict myspace_point>"""
MagMenu_Item_Energy#0,"""เพิ่มระดับ Team Mag Boost<pict 4space><pict reb_team>"""
MagMenu_Item_Appearance#0,"""เปลี่ยนรูปลักษณ์ Team Mag<pict 4space><pict reb_team>"""
MagMenu_SupEnergy_Title#0,"""Team Mag Boost"""
MagMenu_SupEnergy_Info#0,"""ระดับ Boost จะลดลง 1 ระดับทุกเช้าเวลา $(1) (ระดับต่ำสุด: 1)<br><br>ผู้เล่นสามารถรับ Team Mag Boosts ได้โดยการเลือกเอฟเฟกต์ Boost จำนวนเท่าใดก็ได้ และจ่าย $(0) Genesis Points ต่อแต่ละเอฟเฟกต์"""
MagMenu_buff_LV#0,"""Boost $(0)"""
MagMenu_buff_info#0,"""เอฟเฟกต์ Boost"""
MagMenu_Reward_Title#0,"""รางวัล Boost ที่ได้รับ"""
MagMenu_Reward_Info_Saving#0,"""เกจจะเพิ่มขึ้นเมื่อมีผู้เล่นได้รับเอฟเฟกต์ Boost<br>สามารถรับรางวัลได้เมื่อเกจเต็ม"""
MagMenu_Reward_Info_Received#0,"""รับรางวัลไปแล้ว<br>จนกว่าจะถึงการอัปเดตครั้งต่อไป: $(0)"""
MagMenu_Reward_Info_Stop#0,"""คุณไม่สามารถรับรางวัลได้ในระหว่าง<br>สัปดาห์ที่คุณเพิ่งเข้าร่วมทีม"""
MagMenu_Reward_Info_Joining#0,"""รับรางวัลไปแล้ว<br>จนกว่าจะถึงการอัปเดตครั้งต่อไป: $(0)"""
MagMenu_Reward_to#0,"""จำนวนวันจนกว่าจะได้รับรางวัล:"""
MagMenu_UnusedBoost#0,"""ไม่ได้ใช้งาน"""
MagMenu_PossessInfo_Title#0,"""แต้มที่มี"""
MagMenu_PossessInfo_GeneratePoint#0,"""Genesis Point"""
MagMenu_Boost_Title#0,"""การเลือก Team Mag Boost"""
MagMenu_Boost_Info#0,"""เลือก Team Mag Boosts ที่คุณต้องการรับ<br>เอฟเฟกต์ Boost แต่ละอันใช้ $(0) GP"""
MagMenu_UseGeneratePoint_Title#0,"""ข้อความ"""
MagMenu_UseGeneratePoint_Info#0,"""การกระทำนี้จะใช้ $(1) GP เพื่อรับเอฟเฟกต์ Boost ด้านล่าง<br>ต้องการดำเนินการต่อหรือไม่?<br><br>(GP ที่มี: $(0))<br><br><yellow>※Boosts ที่เลือกหากเปิดใช้งานอยู่แล้วจะถูกเขียนทับ<c>"""
MagMenu_Mag_Title#0,"""เพิ่มระดับ Team Mag Boost"""
MagMenu_Give_Title#0,"""กำหนดระดับ"""
MagMenu_Give_Info#0,"""ใช้ N-Team Points เพื่อเพิ่ม<br>ระดับ Team Mag Boost ของคุณ"""
MagMenu_Give_LV#0,"""Lv. ของ Boost"""
MagMenu_Give_Buff#0,"""เอฟเฟกต์ Boost"""
MagMenu_NTeamPoint#0,"""N-Team Point"""
MagMenu_Give_TeamPoint#0,"""N-Team Point ที่ต้องใช้"""
MagMenu_Give_Confirm#0,"""การกระทำนี้จะใช้ $(2) N-Team Points เพื่อเพิ่มประสิทธิภาพเอฟเฟกต์ Boost เป็นระดับ $(1)<br>ต้องการดำเนินการต่อหรือไม่?<br><br>(N-Team Points ที่มี: $(0))"""
MagMenu_Appearance_Title#0,"""เปลี่ยนรูปลักษณ์ Team Mag"""
MagMenu_Appearance_SubTitle_L#0,"""รูปลักษณ์ Mag"""
MagMenu_Appearance_SubTitle_R#0,"""N-Team Point ที่ต้องใช้"""
MagMenu_Appearance_Preview_Title#0,"""รูปลักษณ์หลังการเปลี่ยน"""
MagMenu_Appearance_Confirm#0,"""การกระทำนี้จะใช้ $(1)<pict 4space><pict reb_team>TP เพื่อเปลี่ยนรูปลักษณ์ Team Mag ของคุณ<br>ต้องการดำเนินการต่อหรือไม่?<br><br>(N-Team Points ที่มี: $(0)<pict 4space><pict reb_team>TP)<br><br><yellow>※การเปลี่ยนรูปลักษณ์แต่ละครั้งต้องใช้ N-Team Points<c>"""
MagMenu_Message_Loading#0,"""กำลังโหลด…"""
MagMenu_Message_Busy#0,"""กำลังยุ่ง…"""
MagMenu_Success_Boost#0,"""เกิดเอฟเฟกต์ Team Mag Boost ขึ้น"""
MagMenu_Success_Give#0,"""ระดับ Team Mag Boost ถูกเพิ่มขึ้นแล้ว"""
MagMenu_Success_Appearance#0,"""Team Mag ถูกเปลี่ยนรูปลักษณ์แล้ว"""
MagMenu_Success_Reward#0,"""ได้รับรางวัลจาก Boost ที่มอบให้แล้ว"""
MagMenu_Failed_Reward#0,"""ไม่ได้รับรางวัลจาก Boost ที่มอบให้"""
MagMenu_Error_Generic#0,"""ประมวลผลคำสั่ง Team Mag ล้มเหลว"""
MagMenu_Error_Generic_Error#0,"""ไม่สามารถประมวลผลคำสั่งได้เนื่องจากเกิดข้อผิดพลาด"""
MagMenu_Error_Generic_Authority#0,"""คุณไม่มีสิทธิ์สำหรับคำสั่งนี้"""
MagMenu_Error_Boost#0,"""รับ Team Mag Boost ล้มเหลว"""
MagMenu_Error_UseGeneratePoint#0,"""Genesis Points ไม่เพียงพอ: คำสั่งล้มเหลว"""
MagMenu_Error_Diff#0,"""เนื่องจากมีการเปลี่ยนแปลงระดับ Team Mag Boost คำสั่งก่อนหน้าจึงถูกยกเลิก"""
MagMenu_Error_Appearance#0,"""Team Mag ไม่สามารถเปลี่ยนรูปลักษณ์ได้"""
MagMenu_Error_Appearance_TP#0,"""N-Team Points ไม่เพียงพอ: การเปลี่ยนรูปลักษณ์ล้มเหลว"""
MagMenu_Error_Appearance_Equal#0,"""รูปลักษณ์ของ Mag กำลังอยู่ในระหว่างการเปลี่ยนแปลง"""
MagMenu_Error_Appearance_Simultaneous#0,"""ยกเลิกการเปลี่ยนรูปลักษณ์: ผู้เล่นอื่นได้เปลี่ยนรูปลักษณ์ของ Mag ไปแล้ว"""
MagMenu_Error_Give#0,"""เพิ่มระดับ Team Mag Boost ล้มเหลว"""
MagMenu_Error_Give_Full#0,"""Team Mag Boost อยู่ในระดับสูงสุดแล้ว"""
MagMenu_Error_Give_Diff#0,"""คำสั่งถูกยกเลิก: ผู้เล่นอื่นได้เปลี่ยนระดับ Team Mag Boost ไปแล้ว"""
0000#0,"""Team Mag"""
0001#0,"""Team Mag CV"""
0002#0,"""Team Mag CV 2"""
0003#0,"""Team Mag CV 3"""
0004#0,"""Team Mag UC"""
0005#0,"""Team Mag UC 2"""
0006#0,"""Team Mag UC 3"""
